runup_rank,symbol,name,runup_pct,runup_start_date,runup_end_date,runup_start_price,runup_end_price,runup_days,period_return_pct,amount_avg,amount_at_start,candidate_count,candidate_dates,has_pullback_confirm_candidate,candidate_only_filter_reasons,base_trade_count,base_entry_dates,base_best_return_pct,stable_trade_count,stable_entry_dates,stable_best_return_pct,nearest_date,stage_status,setup_score_at_anchor,candidate_ok_at_anchor,primary_anchor_reason,anchor_total_amount,anchor_distribution_score,anchor_pre20_return_pct,anchor_pre20_super_price_divergence,anchor_pre20_main_price_divergence,anchor_pre5_return_pct,anchor_pre5_super_price_divergence,anchor_launch_start,anchor_launch_end,anchor_pullback_confirm_date,anchor_pullback_reason,anchor_launch3_return_pct,anchor_launch3_max_drawdown_pct,anchor_launch3_super_net_ratio,anchor_launch3_main_net_ratio,anchor_launch3_add_buy_ratio,anchor_pullback_super_net_ratio,anchor_pullback_main_net_ratio,anchor_pullback_support_spread_avg,anchor_confirm_distribution_score,anchor_launch_cancel_buy_to_add_buy,anchor_launch_cancel_buy_to_add_buy_vs_hist,reason_bucket,recommended_owner,next_action
64,sz000967,盈峰环境,83.17,2026-03-04,2026-04-20,7.96,14.58,32,53.8,1170548817.52,256245065.52,0,,False,,0,,,0,,,2026-03-04,setup_rejected,2.51,False,setup_score<50;前20日涨幅>12;资金价格背离不足,256245065.52,52.51,14.37,-0.15083,-0.11485,1.37,-0.04764,2026-03-05,2026-03-09,2026-03-24,pullback_absorption_confirm,4.78,0.0,0.01687,0.0564,1.55145,-0.01182,0.03219,0.12369,12.0,0.00016,0.3404,启动前已涨过,趋势中继策略,研究二波/中继，不强塞回调策略
65,sz002560,通达股份,82.3,2026-03-23,2026-04-21,9.04,16.48,20,29.55,1018711489.4,254617571.99,0,,False,,0,,,0,,,2026-03-23,setup_rejected,31.64,False,setup_score<50,254617571.99,82.31,-6.42,0.04559,0.03191,-8.03,0.04704,2026-03-27,2026-03-31,,no_pullback_confirm,11.35,0.0,0.1507,0.16756,2.38601,,,,,0.03991,132.7726,低位资金结构不达标,资金流回调稳健策略,可优化发现层打分
66,sz002975,博杰股份,82.16,2026-03-23,2026-04-24,65.6,119.5,22,45.33,584302756.2,315330114.6,0,,False,,0,,,0,,,2026-03-23,setup_rejected,33.87,False,setup_score<50,315330114.6,76.0,-6.45,0.05881,0.06014,-5.02,0.02346,,,,no_launch,,,,,,,,,,,,低位资金结构不达标,资金流回调稳健策略,可优化发现层打分
67,sh600370,三房巷,82.08,2026-03-04,2026-03-19,2.12,3.86,12,13.79,400361778.35,90047692.0,1,2026-03-02,True,,1,2026-03-11,62.3,1,2026-03-11,62.3,2026-03-04,setup_rejected,71.95,False,成交额<2.5亿,90047692.0,74.0,-18.52,0.21266,0.18448,-15.71,0.15121,2026-03-05,2026-03-09,2026-03-10,pullback_absorption_confirm,4.09,-0.87,0.01041,0.02154,1.17565,0.01238,-0.03486,0.21601,56.92,0.55976,1.1735,当前策略已抓到,资金流回调稳健策略,保留
68,sh600773,西藏城投,81.96,2026-03-02,2026-04-24,13.75,25.02,37,60.97,774212772.11,760214166.13,0,,False,,0,,,0,,,2026-03-02,setup_rejected,12.82,False,setup_score<50;前5日涨幅>8,760214166.13,68.17,-3.87,0.01976,0.00966,8.34,-0.05986,2026-03-04,2026-03-06,2026-03-09,pullback_absorption_confirm,9.38,0.0,0.05623,0.04887,1.2614,-0.02263,0.00847,-0.03403,38.25,0.59102,1.3467,启动前已涨过,趋势中继策略,研究二波/中继，不强塞回调策略
69,sz002730,电光科技,81.53,2026-03-04,2026-04-02,17.0,30.86,22,62.39,752135195.55,367848387.1,0,,False,,0,,,0,,,2026-03-04,setup_rejected,6.81,False,setup_score<50;资金价格背离不足,367848387.1,37.68,8.7,-0.07883,-0.05033,2.36,-0.02226,2026-03-05,2026-03-09,2026-03-16,pullback_absorption_confirm,8.67,-1.19,0.11637,0.11949,2.09833,-0.01846,0.01812,-0.12581,38.0,0.03327,494.7558,资金流特征不足,消息事件重估策略,需要新闻/公司研究解释
70,sh603052,可川科技,81.35,2026-03-18,2026-04-23,54.04,98.0,24,53.32,678303091.42,1044197957.32,0,,False,,0,,,0,,,2026-03-18,anchor_chain_passed,70.67,True,锚点附近链路可通过,1044197957.32,26.0,-6.22,0.07448,0.07619,-4.66,0.05247,2026-03-23,2026-03-25,2026-03-27,pullback_absorption_confirm,15.2,0.0,0.09076,0.07554,1.3997,-0.01475,-0.02772,0.05217,52.63,0.55336,1.1644,链路可过但未进Top10,资金流回调稳健策略,优化排序/每日容量
71,sh603026,石大胜华,81.09,2026-03-09,2026-04-23,60.08,108.8,31,57.67,1545987839.81,577633640.26,0,,False,,0,,,0,,,2026-03-09,setup_rejected,29.78,False,setup_score<50,577633640.26,54.35,-2.68,0.01587,0.01679,-4.85,0.01615,2026-03-09,2026-03-11,2026-03-12,pullback_absorption_confirm,5.04,0.0,0.01689,0.03666,0.9777,0.02711,0.08475,-0.14512,52.0,0.49766,0.9607,低位资金结构不达标,资金流回调稳健策略,可优化发现层打分
72,sh605268,王力安防,80.98,2026-03-04,2026-03-11,10.25,18.55,6,28.95,163879052.96,103872231.32,0,,False,,0,,,0,,,2026-03-04,setup_rejected,42.49,False,成交额<2.5亿;setup_score<50,103872231.32,26.25,-2.79,0.02365,0.00145,-5.93,0.06964,2026-03-04,2026-03-06,2026-03-19,pullback_absorption_confirm,21.01,0.0,0.5558,0.41314,5.90625,-0.00883,0.04012,-0.05507,44.81,0.83328,2.2531,成交额硬门槛错过,资金流回调稳健策略,改相对成交额/换手/历史分位
73,sz000889,中嘉博创,80.46,2026-03-23,2026-04-20,3.02,5.45,19,33.8,316051861.78,81195902.2,0,,False,,0,,,0,,,2026-03-23,setup_rejected,53.82,False,成交额<2.5亿,81195902.2,50.0,-12.67,0.0984,0.06349,-6.09,-0.00738,2026-03-23,2026-03-25,2026-03-26,pullback_absorption_confirm,16.45,0.0,0.07757,0.02432,2.84978,-0.02151,0.08146,-0.01213,16.37,0.00094,1.3113,成交额硬门槛错过,资金流回调稳健策略,改相对成交额/换手/历史分位
74,sz002418,康盛股份,80.25,2026-03-24,2026-04-23,3.95,7.12,20,24.49,626110806.26,202537364.0,0,,False,,0,,,0,,,2026-03-24,setup_rejected,85.0,False,成交额<2.5亿,202537364.0,38.67,-19.72,0.17072,0.15827,-12.88,0.10945,2026-03-24,2026-03-26,2026-03-27,pullback_absorption_confirm,10.05,0.0,0.09073,0.09623,2.66793,0.05295,0.0344,-0.00121,12.43,0.06025,300.3647,成交额硬门槛错过,资金流回调稳健策略,改相对成交额/换手/历史分位
75,sh601016,节能风电,80.19,2026-03-04,2026-03-26,3.18,5.73,17,37.0,2561778882.31,374904565.64,0,,False,,0,,,0,,,2026-03-04,setup_rejected,5.47,False,setup_score<50;资金价格背离不足,374904565.64,64.86,0.94,-0.01326,-0.01909,0.31,-0.03327,2026-03-04,2026-03-06,,no_pullback_confirm,5.25,0.0,0.00321,0.02062,1.15546,,,,,0.56384,1.1851,资金流特征不足,消息事件重估策略,需要新闻/公司研究解释
76,sh600152,维科技术,79.67,2026-03-02,2026-04-20,8.51,15.29,34,39.35,832141420.9,600596953.5,0,,False,,0,,,0,,,2026-03-02,setup_rejected,5.54,False,setup_score<50;前5日涨幅>8;资金价格背离不足,600596953.5,44.27,11.46,-0.12908,-0.12677,11.18,-0.12144,2026-03-03,2026-03-05,2026-03-16,pullback_absorption_confirm,4.82,0.0,-0.00436,0.03711,0.82792,0.01816,0.0371,-0.00394,27.83,0.43692,0.9735,启动前已涨过,趋势中继策略,研究二波/中继，不强塞回调策略
77,sh600791,京能置业,79.35,2026-03-02,2026-04-09,7.7,13.81,28,58.22,265941219.42,246462072.1,0,,False,,0,,,0,,,2026-03-02,setup_rejected,0.0,False,成交额<2.5亿;setup_score<50;前20日涨幅>12;前5日涨幅>8;资金价格背离不足,246462072.1,65.89,38.36,-0.37168,-0.37624,25.15,-0.27093,,,,no_launch,,,,,,,,,,,,成交额硬门槛错过,资金流回调稳健策略,改相对成交额/换手/历史分位
78,sz002008,大族激光,79.04,2026-03-23,2026-04-24,59.2,105.99,22,37.31,2888642526.48,2372033333.62,1,2026-03-27,False,v1_3_ladder_pull_filter:1,0,,,0,,,2026-03-23,setup_rejected,31.65,False,setup_score<50;前20日涨幅>12,2372033333.62,55.01,29.75,-0.28791,-0.31655,-4.11,0.05492,2026-03-23,2026-03-25,2026-03-26,pullback_absorption_confirm,6.66,0.0,0.0107,0.02191,1.4222,-0.04934,-0.03651,0.04689,43.91,0.00014,0.7774,被撤买单风险过滤,组合风险模块复核,研究强资金豁免
79,sh600310,广西能源,78.82,2026-03-04,2026-03-30,4.06,7.26,19,22.65,721837876.28,141010717.98,0,,False,,0,,,0,,,2026-03-04,setup_rejected,0.0,False,成交额<2.5亿;setup_score<50;资金价格背离不足,141010717.98,82.94,5.38,-0.04729,-0.06601,2.75,-0.01901,2026-03-10,2026-03-12,2026-03-13,pullback_absorption_confirm,5.32,0.0,0.00102,0.0173,1.10253,-0.03613,-0.06202,0.19916,67.92,0.54767,1.0154,成交额硬门槛错过,资金流回调稳健策略,改相对成交额/换手/历史分位
80,sh601778,晶科科技,78.68,2026-03-04,2026-04-24,4.41,7.88,35,55.87,2435307831.35,631146319.69,0,,False,,0,,,0,,,2026-03-04,setup_rejected,13.82,False,setup_score<50;资金价格背离不足,631146319.69,50.69,7.86,-0.09091,-0.08846,-2.16,0.00985,2026-03-04,2026-03-06,2026-03-09,pullback_absorption_confirm,7.27,0.0,0.05637,0.06679,0.93579,-0.00218,0.01131,-0.13791,52.0,0.47697,1.4088,资金流特征不足,消息事件重估策略,需要新闻/公司研究解释
81,sz002620,ST瑞和,78.66,2026-03-04,2026-04-24,6.14,10.97,35,63.24,179774264.79,57247399.66,0,,False,,0,,,0,,,2026-03-04,setup_rejected,16.82,False,成交额<2.5亿;setup_score<50;资金价格背离不足,57247399.66,38.49,0.16,-0.02902,-0.07375,-2.6,-0.00542,2026-03-09,2026-03-11,2026-03-12,pullback_absorption_confirm,7.64,0.0,0.03914,0.04461,1.48167,0.07578,0.04463,-0.27889,48.0,0.0,0.0,成交额硬门槛错过,资金流回调稳健策略,改相对成交额/换手/历史分位
82,sz000815,美利云,78.24,2026-03-03,2026-04-17,12.96,23.1,32,33.13,2663351883.9,1158746523.76,0,,False,,0,,,0,,,2026-03-03,setup_rejected,1.41,False,setup_score<50;资金价格背离不足,1158746523.76,86.0,10.94,-0.09805,-0.12927,0.98,-0.03437,2026-03-03,2026-03-05,,no_pullback_confirm,14.43,0.0,0.12354,0.04504,3.15131,,,,,0.0101,63.1421,资金流特征不足,消息事件重估策略,需要新闻/公司研究解释
83,sz002364,中恒电气,78.03,2026-04-02,2026-04-21,25.53,45.45,12,16.91,1665940249.97,565667476.62,2,"2026-04-01,2026-04-03",False,,0,,,0,,,2026-04-02,launch_ok_no_pullback,64.03,True,启动通过但未等到回调承接,565667476.62,72.46,-17.67,0.17727,0.15211,-6.7,0.04568,2026-04-02,2026-04-07,,no_pullback_confirm,7.53,0.0,0.03241,0.0449,1.37228,,,,,0.00023,0.1052,有发现但无回调买点,趋势中继策略,研究无标准回调的中继买点
