symbol,signal_date,score,pre20_return_pct,pre10_return_pct,pre5_return_pct,drawdown_from_20d_high_pct,close_vs_20d_high_pct,amount,amount_anomaly_20d,signal_return_1d_pct,active_buy_strength,support_pressure_spread,pre20_super_net_ratio,pre20_main_net_ratio,pre10_super_net_ratio,pre10_main_net_ratio,pre20_super_positive_day_ratio,pre20_main_positive_day_ratio,pre5_order_available_ratio,trend_score,fund_score,repair_score,liquidity_score,rank,strategy_name,observe_date,entry_signal_date,buy_point_reason,confirm_date,confirm_return_1d_pct,confirm_amount_anomaly_20d,confirm_super_net_ratio,confirm_main_net_ratio,confirm_super3_ratio,confirm_main3_ratio,confirm_support_pressure_spread,confirm_active_buy_strength,confirm_close_vs_20d_high_pct,confirm_pullback_from_observe_peak_pct,confirm_cancel_buy_ratio,confirm_add_sell_ratio,prior3_amount_anomaly_avg,buy_point_type
sz002150,2026-02-09,71.83,28.84,9.35,5.19,-16.91,-3.29,968204586.5600001,1.5597743980693919,4.0419743490089255,-4.421079175227327,0.0,0.03607,0.04547,0.04268,0.05765,0.45,0.65,0.0,67.3,95.71,39.37,83.0,7,趋势中继原型,2026-02-09,2026-02-12,回踩均线承接,2026-02-12,1.18,0.94,0.0512,0.05857,0.07297,0.14156,0.0,5.85714,-2.44,-13.12,0.0,0.0,1.396,回踩均线承接
sz002921,2026-02-09,71.77,42.79,8.84,14.15,-14.46,-3.54,436294495.5100001,2.3035270494977444,-3.5367275553828237,1.7975665314852058,0.0,0.01657,0.03454,-0.0023,0.01623,0.55,0.7,0.0,84.31,83.47,45.53,58.75,8,趋势中继原型,2026-02-09,2026-02-10,回踩均线承接,2026-02-10,-0.16,1.107,0.0419,0.10419,0.08391,0.26575,0.0,10.41851,-7.33,-9.12,0.0,0.0,1.272,回踩均线承接
sh603730,2026-02-09,71.24,30.96,5.95,8.59,-11.09,4.06,587074748.72,1.6699376600405784,6.163753449861997,-1.9618977677224692,0.0,-0.00355,0.00653,0.02415,0.06082,0.45,0.65,0.0,69.4,86.22,57.46,58.78,9,趋势中继原型,2026-02-09,2026-02-12,回踩均线承接,2026-02-12,-0.97,0.773,0.06343,0.08572,0.02548,0.04913,0.0,8.5716,-4.36,-7.01,0.0,0.0,1.164,回踩均线承接
sz002015,2026-02-09,70.52,11.87,9.24,15.74,-15.34,10.03,2025647175.3,3.866363425307805,10.033167495854055,8.125925784959179,0.0,0.02713,0.02952,0.05101,0.05244,0.5,0.5,0.0,47.8,82.86,68.71,100.0,10,趋势中继原型,2026-02-09,2026-02-26,回踩均线承接,2026-02-26,2.47,1.47,0.04093,0.07266,0.02973,-0.03088,0.0,7.26639,-3.38,-9.68,0.0,0.0,1.434,回踩均线承接
sz002983,2026-02-09,66.43,11.3,12.63,8.08,-16.22,2.63,327926914.8599999,1.6071351798467122,4.605511513778793,4.574032642731897,0.0,0.02777,0.01874,0.04226,0.03925,0.6,0.5,0.0,50.09,91.43,62.54,37.73,14,趋势中继原型,2026-02-09,2026-02-26,回踩均线承接,2026-02-26,1.92,0.737,0.01723,0.02866,-0.01136,0.03175,0.0,2.86591,-7.15,-10.4,0.0,0.0,0.665,回踩均线承接
sz002943,2026-02-09,62.03,48.52,20.51,14.4,-21.68,-3.42,1677960488.55,1.5955591916530856,-0.14224751066856944,1.9656301447539803,0.0,0.00823,0.00617,0.01486,0.00963,0.5,0.5,0.0,97.34,43.04,36.46,86.52,17,趋势中继原型,2026-02-09,2026-02-11,回踩均线承接,2026-02-11,-0.64,0.726,0.02635,0.05559,0.05946,-0.03122,0.0,5.55905,-9.32,-12.12,0.0,0.0,1.445,回踩均线承接
sh600987,2026-02-09,61.39,19.28,11.13,13.25,-13.16,1.91,690344500.64,3.88570823350638,2.7744270205066313,-5.571875920549818,0.0,0.03789,0.00515,0.05883,0.02249,0.5,0.35,0.0,59.01,71.91,43.12,77.34,18,趋势中继原型,2026-02-09,2026-02-12,回踩均线承接,2026-02-12,-0.93,1.164,-0.00812,0.03081,0.08978,0.20753,0.0,3.08128,-2.95,-6.82,0.0,0.0,2.587,回踩均线承接
sz000767,2026-02-09,61.14,17.53,12.5,8.92,-14.04,-2.63,1213691413.81,3.5831258220169593,-2.631578947368418,-6.365227675747079,0.0,0.04591,0.05648,0.06935,0.08063,0.4,0.45,0.0,56.8,78.57,26.4,100.0,19,趋势中继原型,2026-02-09,2026-02-11,回踩均线承接,2026-02-11,0.92,1.743,0.02124,0.00712,-0.20331,-0.17987,0.0,0.71175,-4.08,-5.54,0.0,0.0,3.005,回踩均线承接
sz000822,2026-02-09,60.77,15.76,7.94,17.9,-20.54,-1.34,799384283.95,3.6198083878766067,3.7558685446009488,-3.041676473779763,0.0,0.07074,0.04486,0.10972,0.08922,0.5,0.35,0.0,51.64,82.86,31.0,85.32,20,趋势中继原型,2026-02-09,2026-02-11,回踩均线承接,2026-02-11,3.1,2.157,0.027,0.05183,-0.0696,-0.09545,0.0,5.18265,-1.19,-8.5,0.0,0.0,3.509,回踩均线承接
sh603163,2026-02-10,81.04,54.84,10.11,2.23,-18.8,5.68,539473690.0,0.997535821518959,5.998569640622198,3.9684551622897466,0.0,0.04922,0.05278,0.04776,0.05702,0.65,0.7,0.0,91.17,100.0,61.59,32.89,1,趋势中继原型,2026-02-10,2026-02-12,回踩均线承接,2026-02-12,-0.41,0.753,0.06702,0.07077,0.01235,0.05861,0.0,7.07737,-2.74,-9.45,0.0,0.0,0.783,回踩均线承接
