variant_id,period,trade_date,rank,symbol,name,final_score,big_runup_score,buyability_score,risk_penalty,entry_date,entry_buyable,entry_gap_pct,entry_open,max_runup_pct,max_drawdown_pct,close_return_pct,daily_mfe_rank,daily_mfe_pct_rank,daily_top1pct,daily_top3pct,hit_15pct,hit_20pct
pure_001_rank_full,final_2026,2026-02-02,1,sz002292,sz002292,72.70683217784828,72.70683217784828,86.84790764866622,2.5917926565874883,2026-02-03,1,1.2958963282937441,9.38,15.991471215351805,-12.260127931769727,-9.3816631130064,730.0,0.2869496855345912,0,0,1,0
pure_001_rank_full,final_2026,2026-02-02,2,sz002425,sz002425,71.94184702198311,71.94184702198311,80.9555100198872,2.094240837696315,2026-02-03,1,1.0471204188481575,3.86,11.398963730569944,-12.95336787564767,-9.067357512953366,1093.0,0.4296383647798742,0,0,0,0
pure_001_rank_full,final_2026,2026-02-02,3,sz000720,sz000720,71.29973411874813,71.29973411874813,83.51917447587346,0.5494505494505475,2026-02-03,1,0.27472527472527375,3.65,27.397260273972623,-2.1917808219178103,18.356164383561648,305.0,0.11988993710691824,0,0,1,1
pure_001_rank_full,final_2026,2026-02-03,1,sz002283,sz002283,73.94929412384988,73.94929412384988,85.0154363185533,3.6793692509855536,2026-02-04,1,1.8396846254927768,7.75,46.83870967741937,0.0,18.45161290322581,82.0,0.03545179420665802,0,0,1,1
pure_001_rank_full,final_2026,2026-02-03,2,sh600307,sh600307,73.77121055159678,73.77121055159678,83.34229257817476,1.086956521739113,2026-02-04,1,0.5434782608695565,1.85,19.999999999999996,-4.86486486486487,19.999999999999996,449.0,0.19412019022913965,0,0,1,1
pure_001_rank_full,final_2026,2026-02-03,3,sz000981,sz000981,73.37820418678479,73.37820418678479,97.74376410331777,0.40650406504063596,2026-02-04,1,0.20325203252031798,4.93,5.476673427991896,-14.807302231237319,-14.60446247464503,1606.0,0.6943363597060095,0,0,0,0
pure_001_rank_full,final_2026,2026-02-04,1,sz002694,sz002694,72.41856335657796,72.41856335657796,79.59280040557994,3.5820895522387985,2026-02-05,1,1.7910447761193993,3.41,6.158357771260992,-13.48973607038123,-4.985337243401755,1429.0,0.6019376579612469,0,0,0,0
pure_001_rank_full,final_2026,2026-02-04,2,sz002713,sz002713,71.90312749771827,71.90312749771827,86.23478964663006,0.0,2026-02-05,1,-0.3278688524590234,9.12,23.245614035087737,-1.425438596491213,16.228070175438614,378.0,0.15922493681550126,0,0,1,1
pure_001_rank_full,final_2026,2026-02-04,3,sz002514,sz002514,71.40656274356756,71.40656274356756,85.37786274129134,0.0,2026-02-05,1,-0.20000000000000018,4.99,18.23647294589179,-6.012024048096187,-1.603206412825653,528.0,0.22240943555181128,0,0,1,0
pure_001_rank_full,final_2026,2026-02-05,1,sz002409,sz002409,72.62652967218547,72.62652967218547,91.45621597089773,0.0,2026-02-06,1,-1.3537906137184197,87.44,13.826623970722785,-3.1678865507776766,-0.7319304666056681,836.0,0.36427015250544664,0,0,0,0
pure_001_rank_full,final_2026,2026-02-05,2,sz002283,sz002283,72.61910940921199,72.61910940921199,90.64955541185539,0.0,2026-02-06,1,-2.19780219780219,8.01,42.07240948813984,-1.2484394506866336,13.607990012484382,158.0,0.06884531590413943,0,0,1,1
pure_001_rank_full,final_2026,2026-02-05,3,sz002506,sz002506,70.61306872300533,70.61306872300533,99.3847402892496,0.0,2026-02-06,1,-3.3653846153846256,4.02,58.20895522388063,-5.472636815920396,40.04975124378112,61.0,0.026579520697167756,0,1,1,1
pure_001_rank_full,final_2026,2026-02-06,1,sz002706,sz002706,72.88875965160227,72.88875965160227,80.51640545916388,4.878048780487809,2026-02-09,1,2.4390243902439046,10.5,26.761904761904766,-1.1428571428571344,10.571428571428566,258.0,0.11202778983933999,0,0,1,1
pure_001_rank_full,final_2026,2026-02-06,2,sz002169,sz002169,72.06748045319155,72.06748045319155,84.34625177456624,3.361344537815114,2026-02-09,1,1.680672268907557,13.31,25.093914350112676,-3.2306536438767797,13.223140495867769,293.0,0.12722535822839776,0,0,1,1
pure_001_rank_full,final_2026,2026-02-06,3,sz003031,sz003031,72.04413318593097,72.04413318593097,83.12505364930905,5.250000000000021,2026-02-09,1,2.6250000000000107,73.89,19.190688861821627,-1.7999729327378478,5.562322371092154,459.0,0.1993052540165002,0,0,1,0
pure_001_rank_full,final_2026,2026-02-09,1,sz002506,sz002506,76.42521755991692,76.42521755991692,76.1350872496195,15.07936507936507,2026-02-10,1,7.539682539682535,5.42,17.34317343173433,-20.664206642066418,-2.029520295202958,499.0,0.21527178602243313,0,0,1,0
pure_001_rank_full,final_2026,2026-02-09,2,sz002309,sz002309,73.72283574575115,73.72283574575115,85.02906090071467,4.081632653061229,2026-02-10,1,2.0408163265306145,3.5,6.2857142857142945,-7.14285714285714,-1.1428571428571455,1160.0,0.5004314063848145,0,0,0,0
pure_001_rank_full,final_2026,2026-02-09,3,sh600307,sh600307,72.39516812518823,72.39516812518823,84.19516047805695,0.0,2026-02-10,1,-0.5347593582887722,1.86,34.94623655913978,-5.376344086021511,22.580645161290303,158.0,0.06816220880069025,0,0,1,1
pure_001_rank_full,final_2026,2026-02-10,1,sz000973,sz000973,74.09200225485979,74.09200225485979,88.85662822313381,0.0,2026-02-11,1,-0.3016591251885359,13.22,34.6444780635401,-5.068078668683807,18.986384266263244,148.0,0.06724216265333939,0,0,1,1
pure_001_rank_full,final_2026,2026-02-10,2,sz000016,sz000016,72.51847447560932,72.51847447560932,88.09780577847478,0.4975124378109985,2026-02-11,1,0.24875621890549926,4.03,2.481389578163773,-21.33995037220844,-20.347394540942933,1562.0,0.7096774193548387,0,0,0,0
pure_001_rank_full,final_2026,2026-02-10,3,sz002334,sz002334,70.86192010288792,70.86192010288792,89.8694239383565,0.0,2026-02-11,1,-0.4012036108325012,9.93,5.1359516616314105,-15.70996978851964,-15.609264853977834,1220.0,0.5542935029532031,0,0,0,0
pure_001_rank_full,final_2026,2026-02-11,1,sz000603,sz000603,73.62204539696363,73.62204539696363,92.57883836974204,0.0,2026-02-12,1,-0.46160302140159093,47.44,20.067453625632382,-26.032883642495776,-26.032883642495776,369.0,0.17504743833017078,0,0,1,1
pure_001_rank_full,final_2026,2026-02-11,2,sz000426,sz000426,73.05207929423821,73.05207929423821,96.52658957981514,0.0,2026-02-12,1,-0.33736852550109164,50.22,20.41019514137794,-28.61409796893667,-28.13620071684587,360.0,0.17077798861480076,0,0,1,1
pure_001_rank_full,final_2026,2026-02-11,3,sz002716,sz002716,72.34146888407183,72.34146888407183,97.88766512807494,0.28188865398171004,2026-02-12,1,0.14094432699085502,14.21,22.23786066150597,-22.378606615059827,-21.674876847290637,312.0,0.14800759013282733,0,0,1,1
pure_001_rank_full,final_2026,2026-02-12,1,sz002706,sz002706,72.40823714872342,72.40823714872342,91.40246648874245,18.0,2026-02-13,1,-1.068566340160293,11.11,19.80198019801982,-5.220522052205223,1.6201620162016095,393.0,0.17466666666666666,0,0,1,0
pure_001_rank_full,final_2026,2026-02-12,2,sz000682,sz000682,72.34341048741936,72.34341048741936,89.37785958807564,0.0,2026-02-13,1,-0.9950248756218971,13.93,11.127063890882983,-13.49605168700645,-10.839913854989236,770.0,0.3422222222222222,0,0,0,0
pure_001_rank_full,final_2026,2026-02-12,3,sz002448,sz002448,72.29698443152917,72.29698443152917,90.37300317650983,0.0,2026-02-13,1,-0.8679479231246012,15.99,12.382739212007499,-17.82363977485929,-13.69606003752345,681.0,0.30266666666666664,0,0,0,0
pure_001_rank_full,final_2026,2026-02-13,1,sz002243,sz002243,72.19760770871562,72.19760770871562,80.50086960258865,4.220183486238538,2026-02-24,1,2.110091743119269,11.13,2.336028751123087,-20.75471698113208,-17.520215633423184,1579.0,0.7511893434823977,0,0,0,0
pure_001_rank_full,final_2026,2026-02-13,2,sz000973,sz000973,71.95683774441545,71.95683774441545,85.62805053821836,4.899135446685898,2026-02-24,1,2.449567723342949,14.22,25.175808720112514,-11.744022503516172,19.760900140646974,237.0,0.11274976213130353,0,0,1,1
pure_001_rank_full,final_2026,2026-02-13,3,sz002263,sz002263,71.79902587632867,71.79902587632867,82.18468815629109,1.775147928994114,2026-02-24,1,0.887573964497057,3.41,9.090909090909083,-8.797653958944284,-1.4662756598240567,837.0,0.3981921979067555,0,0,0,0
pure_001_rank_full,final_2026,2026-02-24,1,sh600188,sh600188,75.4760135811831,75.4760135811831,93.57255351479623,0.0,2026-02-25,1,-0.5652911249293457,17.59,29.846503695281413,-4.718590108015908,16.657191586128484,161.0,0.07018308631211857,0,0,1,1
pure_001_rank_full,final_2026,2026-02-24,2,sh603268,sh603268,75.36405676600876,75.36405676600876,88.66896302575425,0.0,2026-02-25,1,-4.994742376445849,90.35,46.76258992805755,0.0,26.961815163254023,61.0,0.02659110723626853,0,1,1,1
pure_001_rank_full,final_2026,2026-02-24,3,sh600482,sh600482,74.54991492354726,74.54991492354726,95.31093030980662,0.0,2026-02-25,1,-0.8436275986743014,32.91,19.29504709814647,-11.577028258887868,-5.22637496201761,347.0,0.15126416739319964,0,0,1,0
pure_001_rank_full,final_2026,2026-02-25,1,sz000973,sz000973,75.92387034893399,75.92387034893399,91.00130882160983,0.0,2026-02-26,1,-0.1378359751895264,14.49,36.300897170462385,-13.388543823326426,35.19668737060042,101.0,0.04259805989034163,0,0,1,1
pure_001_rank_full,final_2026,2026-02-25,2,sz000859,sz000859,74.6103713192205,74.6103713192205,92.66964293333746,0.0,2026-02-26,1,-1.2345679012345734,12.0,1.750000000000007,-25.16666666666666,-14.000000000000002,1618.0,0.6824124841838887,0,0,0,0
pure_001_rank_full,final_2026,2026-02-25,3,sz000833,sz000833,74.32224423388548,74.32224423388548,92.62373444219817,0.0,2026-02-26,1,0.0,24.28,24.835255354200967,-6.672158154859975,5.436573311367376,200.0,0.08435259384226065,0,0,1,1
pure_001_rank_full,final_2026,2026-02-26,1,sz002169,sz002169,75.7441704957264,75.7441704957264,92.61353182501844,0.0,2026-02-27,1,-0.9726443768997006,16.29,2.20994475138121,-18.907305095150384,-11.35666052793124,1549.0,0.6726009552757273,0,0,0,0
