variant_id,period,month,top1_days,top1_picks,top1_avg_mfe_22d_pct,top1_median_mfe_22d_pct,top1_p75_mfe_22d_pct,top1_hit15_rate,top1_hit20_rate,top1_hit30_rate,top1_hit40_rate,top1_daily_top1pct_rate,top1_daily_top3pct_rate,top1_avg_buyability_score,top1_avg_risk_penalty,top3_pick_days,top3_pick_picks,top3_pick_avg_mfe_22d_pct,top3_pick_median_mfe_22d_pct,top3_pick_p75_mfe_22d_pct,top3_pick_hit15_rate,top3_pick_hit20_rate,top3_pick_hit30_rate,top3_pick_hit40_rate,top3_pick_daily_top1pct_rate,top3_pick_daily_top3pct_rate,top3_pick_avg_buyability_score,top3_pick_avg_risk_penalty,top3_any_hit20_rate,top3_any_hit30_rate,top3_any_hit40_rate,top3_daily_best_avg_mfe_22d_pct,top3_daily_best_median_mfe_22d_pct,month_selector_score
pure_018_rank_orderbook,internal_2025,2025-11,20,20,22.3688,10.6494,30.6126,0.4,0.35,0.3,0.1,0.0,0.05,83.5133,9.6867,20,60,28.6486,14.6837,30.3127,0.4833,0.4167,0.2667,0.1667,0.0167,0.0833,83.0701,11.7951,0.75,0.6,0.45,60.0341,31.9746,46.661
pure_018_rank_orderbook,internal_2025,2025-12,23,23,40.6503,46.8504,55.6375,0.7391,0.6957,0.5217,0.5217,0.087,0.2174,83.2951,10.6241,23,69,38.4415,25.0,59.8131,0.6812,0.5942,0.4493,0.4203,0.1014,0.2464,82.7475,10.2946,0.9565,0.9565,0.913,73.0205,69.1026,96.5152
pure_018_rank_orderbook,final_2026,2026-01,20,20,14.0169,6.1995,16.962,0.3,0.2,0.15,0.1,0.0,0.1,89.0363,1.5647,20,60,18.2689,11.9178,21.4094,0.3833,0.3167,0.1833,0.15,0.0333,0.1333,87.6972,3.6964,0.65,0.45,0.4,34.1061,22.4649,28.2067
pure_018_rank_orderbook,final_2026,2026-02,14,14,15.6371,8.3377,20.4101,0.2857,0.2857,0.2143,0.1429,0.0,0.1429,90.1376,0.9223,14,42,18.0145,11.6269,24.4343,0.4048,0.381,0.1667,0.0952,0.0238,0.0952,89.3317,2.1266,0.9286,0.3571,0.2143,35.0703,26.6696,33.3889
pure_018_rank_orderbook,final_2026,2026-03,22,22,9.1237,4.342,12.7373,0.2273,0.1364,0.0455,0.0,0.0,0.0,88.7908,4.028,22,66,16.2585,9.8007,24.9062,0.3485,0.3182,0.1667,0.1061,0.0303,0.0606,86.1268,4.846,0.6818,0.3636,0.2727,30.6553,27.5334,17.7156
pure_018_rank_orderbook,final_2026,2026-04,8,8,25.3112,22.4062,37.3423,0.625,0.5,0.375,0.25,0.0,0.0,74.4069,10.7052,8,24,28.034,17.2573,44.261,0.5833,0.4583,0.3333,0.2917,0.0,0.0833,84.5744,9.5631,0.875,0.625,0.5,46.4685,46.6756,59.894
pure_019_hit30_orderbook,internal_2025,2025-10,17,17,24.6833,12.9841,27.7681,0.3529,0.3529,0.2353,0.1176,0.0,0.0588,82.1913,9.006,17,51,23.5351,10.9346,21.3447,0.3333,0.2941,0.2157,0.1765,0.0196,0.0588,81.4789,4.8396,0.7647,0.6471,0.5294,56.8548,42.9066,48.6435
pure_019_hit30_orderbook,internal_2025,2025-11,20,20,10.4524,7.1058,14.4404,0.25,0.15,0.0,0.0,0.0,0.0,81.2731,5.0548,20,60,15.211,11.4634,23.1497,0.4,0.2833,0.1,0.0667,0.0,0.0,81.9727,5.5574,0.7,0.3,0.2,27.3727,25.5932,18.75
pure_019_hit30_orderbook,internal_2025,2025-12,23,23,26.6358,16.4294,38.9714,0.5217,0.4783,0.3043,0.2609,0.0435,0.087,82.2146,3.7868,23,69,20.201,12.0553,27.8947,0.4203,0.3478,0.1739,0.1159,0.029,0.058,83.0168,4.2247,0.7391,0.4348,0.3478,40.9382,28.4987,54.6372
pure_019_hit30_orderbook,final_2026,2026-01,20,20,9.8209,9.3533,13.7567,0.25,0.15,0.0,0.0,0.0,0.0,85.1124,0.4029,20,60,13.029,9.9157,19.8413,0.35,0.25,0.05,0.0333,0.0,0.0167,85.9361,1.7358,0.6,0.15,0.1,23.2673,21.1737,17.9299
pure_019_hit30_orderbook,final_2026,2026-02,14,14,7.1688,4.0659,8.4285,0.0714,0.0714,0.0714,0.0,0.0,0.0,85.2137,0.2306,14,42,13.9881,7.4806,21.3714,0.3571,0.3095,0.1429,0.0476,0.0238,0.0476,86.816,0.3414,0.6429,0.3571,0.1429,27.1716,22.8015,15.1397
pure_019_hit30_orderbook,final_2026,2026-03,22,22,12.044,9.3591,19.6408,0.4545,0.2273,0.0,0.0,0.0,0.0,84.9065,2.1008,22,66,12.368,5.4948,19.0549,0.3485,0.197,0.0909,0.0303,0.0,0.0606,84.984,1.4761,0.4545,0.2273,0.0455,22.1055,19.7525,22.1654
pure_019_hit30_orderbook,final_2026,2026-04,8,8,14.3497,15.1653,20.5955,0.5,0.375,0.0,0.0,0.0,0.0,84.6751,2.363,8,24,13.716,12.3391,20.5955,0.375,0.2917,0.0417,0.0,0.0,0.0,84.0662,3.6933,0.5,0.125,0.0,20.9628,21.8353,28.9241
pure_020_rank_heat,internal_2025,2025-10,17,17,58.6417,48.465,91.4767,0.7647,0.7059,0.6471,0.5882,0.0,0.2353,88.09,7.7136,17,51,43.1811,28.1381,63.08,0.7059,0.6275,0.4706,0.3725,0.0,0.1176,84.5538,5.8596,0.9412,0.7647,0.6471,71.7713,72.4324,117.3935
pure_020_rank_heat,internal_2025,2025-11,20,20,44.5262,51.8552,72.4907,0.65,0.65,0.6,0.6,0.0,0.1,86.4013,2.0379,20,60,39.0679,35.0126,57.8539,0.7167,0.6667,0.5667,0.4833,0.0,0.0667,84.1391,3.0596,0.95,0.9,0.85,64.6002,68.7504,103.561
pure_020_rank_heat,internal_2025,2025-12,23,23,31.9562,22.125,50.7495,0.6087,0.5217,0.3913,0.3478,0.0,0.1304,85.8867,3.9654,23,69,30.2299,26.5967,47.1541,0.6812,0.5507,0.4203,0.3623,0.0,0.0725,85.6053,4.6075,0.8261,0.6522,0.6087,46.144,47.1541,67.4771
pure_020_rank_heat,final_2026,2026-01,20,20,23.0313,7.4474,26.2354,0.3,0.25,0.25,0.25,0.1,0.25,87.6451,0.3815,20,60,22.3141,8.4298,25.4721,0.3167,0.3,0.2167,0.2,0.0833,0.1667,86.869,1.3082,0.45,0.35,0.3,34.1284,16.0238,40.6826
pure_020_rank_heat,final_2026,2026-02,14,14,16.1651,17.1078,20.9738,0.6429,0.2857,0.0714,0.0,0.0,0.0,90.6488,2.1793,14,42,14.154,14.6928,20.5195,0.4762,0.2619,0.0476,0.0,0.0,0.0,88.8165,1.4262,0.4286,0.1429,0.0,19.8154,19.0296,32.1486
pure_020_rank_heat,final_2026,2026-03,22,22,6.8954,4.0737,10.9387,0.1364,0.0909,0.0,0.0,0.0,0.0,90.2195,1.604,22,66,9.7068,5.2247,15.4887,0.2576,0.197,0.0455,0.0152,0.0,0.0152,89.3991,1.2067,0.4091,0.1364,0.0455,16.6726,14.2145,11.456
pure_020_rank_heat,final_2026,2026-04,8,8,17.2724,19.3999,21.5494,0.625,0.5,0.0,0.0,0.0,0.0,89.2919,2.132,8,24,26.9928,19.9686,23.8237,0.5833,0.5,0.2083,0.1667,0.0417,0.1667,88.3557,2.0865,1.0,0.625,0.5,53.2427,46.768,40.0024
pure_021_hit30_heat,internal_2025,2025-10,17,17,24.4375,7.3339,12.4155,0.2353,0.1765,0.1176,0.1176,0.0,0.1176,87.201,4.3773,17,51,27.0418,12.1446,36.3897,0.4706,0.3922,0.3137,0.2353,0.0,0.0392,85.2823,3.4234,0.7647,0.5882,0.5294,51.0124,40.4738,38.9132
pure_021_hit30_heat,internal_2025,2025-11,20,20,23.6204,14.5545,31.6909,0.45,0.4,0.3,0.15,0.0,0.0,87.3732,3.3893,20,60,27.5006,21.2962,44.3142,0.5333,0.5167,0.3167,0.2667,0.0167,0.0167,85.0317,2.915,0.8,0.6,0.55,49.116,45.152,50.5699
pure_021_hit30_heat,internal_2025,2025-12,23,23,26.1023,15.3462,36.1839,0.5217,0.3913,0.3043,0.2174,0.0,0.087,85.0197,3.2227,23,69,26.3912,19.2229,39.6226,0.6377,0.4783,0.3333,0.2464,0.0,0.0435,83.0491,3.5036,0.8696,0.6087,0.3913,40.981,38.5757,53.4415
pure_021_hit30_heat,final_2026,2026-01,20,20,12.8093,8.8203,14.5484,0.25,0.1,0.05,0.05,0.0,0.05,86.7549,0.4901,20,60,16.7482,8.5549,17.1781,0.3,0.2167,0.15,0.1167,0.0,0.0833,87.2857,1.6508,0.45,0.3,0.25,28.585,18.1621,22.3784
pure_021_hit30_heat,final_2026,2026-02,14,14,10.0891,6.4267,17.4214,0.3571,0.2143,0.0,0.0,0.0,0.0,87.2952,0.4456,14,42,16.8919,14.3848,22.0784,0.4762,0.3571,0.1429,0.0952,0.0,0.0238,87.0776,0.612,0.6429,0.4286,0.2857,28.8829,28.8745,20.2673
pure_021_hit30_heat,final_2026,2026-03,22,22,4.9654,3.099,8.0068,0.0455,0.0,0.0,0.0,0.0,0.0,84.4302,0.9951,22,66,5.9881,3.8344,9.1317,0.0909,0.0455,0.0,0.0,0.0,0.0,86.04,0.9964,0.1364,0.0,0.0,11.0674,10.2319,6.3599
pure_021_hit30_heat,final_2026,2026-04,8,8,13.442,8.7203,20.705,0.375,0.25,0.125,0.0,0.0,0.0,87.8888,1.3146,8,24,21.4054,11.58,27.7987,0.4167,0.375,0.2083,0.125,0.0,0.0833,86.6574,2.1595,0.75,0.5,0.375,40.086,29.543,29.3661
pure_022_rank_anti_overfit,internal_2025,2025-10,17,17,27.6637,20.509,53.7519,0.5882,0.5882,0.3529,0.3529,0.0,0.0,85.3252,16.02,17,51,35.747,20.509,52.4545,0.6275,0.5294,0.4118,0.3725,0.0196,0.0392,84.5916,14.1476,0.8824,0.7647,0.7647,66.6332,59.109,63.4792
pure_022_rank_anti_overfit,internal_2025,2025-11,20,20,24.9063,16.7151,30.4556,0.5,0.45,0.3,0.15,0.0,0.1,89.436,13.0885,20,60,24.7651,15.7828,31.4455,0.55,0.45,0.3,0.2167,0.0,0.05,86.762,13.5572,0.9,0.75,0.6,48.7119,46.1242,54.9281
pure_022_rank_anti_overfit,internal_2025,2025-12,23,23,30.3733,21.5266,30.6042,0.7391,0.6087,0.2609,0.2174,0.087,0.087,84.2206,11.8086,23,69,27.252,20.1011,32.4723,0.6522,0.5072,0.2899,0.1884,0.058,0.0725,83.8549,12.3062,0.9565,0.6087,0.3913,49.377,32.6174,63.1917
pure_022_rank_anti_overfit,final_2026,2026-01,20,20,18.4857,6.5512,14.444,0.25,0.15,0.15,0.15,0.05,0.15,88.919,4.3245,20,60,19.6157,10.4413,21.7427,0.3833,0.2833,0.15,0.1167,0.0667,0.1167,87.6034,3.2443,0.6,0.35,0.3,36.5389,22.7042,31.1337
pure_022_rank_anti_overfit,final_2026,2026-02,14,14,15.3777,10.5067,16.9479,0.2857,0.2143,0.1429,0.1429,0.0714,0.1429,90.3899,1.6217,14,42,17.0062,11.5729,25.3262,0.4286,0.3095,0.2143,0.119,0.0238,0.0952,90.3795,2.229,0.7857,0.6429,0.3571,33.5707,32.0867,33.1075
pure_022_rank_anti_overfit,final_2026,2026-03,22,22,27.514,27.5404,39.0197,0.6364,0.5909,0.4545,0.2273,0.0909,0.2273,88.2698,4.5493,22,66,20.7539,15.4402,32.5048,0.5152,0.4545,0.303,0.1364,0.0455,0.1061,89.3261,4.7568,0.7727,0.5,0.2727,33.4404,30.4398,67.2694
pure_022_rank_anti_overfit,final_2026,2026-04,8,8,37.4257,32.4041,53.9547,0.625,0.5,0.5,0.5,0.0,0.25,90.1038,13.8116,8,24,32.7788,24.0789,46.0065,0.7083,0.625,0.4167,0.2917,0.0417,0.1667,90.3777,11.0129,0.875,0.875,0.875,60.1376,59.8913,82.0075
pure_023_tail_anti_overfit,internal_2025,2025-10,17,17,25.1066,11.0748,27.5964,0.4118,0.3529,0.2353,0.1765,0.0,0.0588,86.3169,13.8586,17,51,35.5207,22.2397,42.4192,0.5686,0.5294,0.4118,0.2745,0.0392,0.0784,83.8201,13.451,0.8824,0.7647,0.5294,67.9077,40.1639,49.1485
pure_023_tail_anti_overfit,internal_2025,2025-11,20,20,27.3302,13.9234,32.1889,0.5,0.4,0.25,0.25,0.0,0.1,85.1543,14.242,20,60,25.1711,12.9554,38.9146,0.45,0.3667,0.2833,0.25,0.0,0.0667,85.7243,13.5289,0.75,0.65,0.6,49.3154,43.4306,52.9957
pure_023_tail_anti_overfit,internal_2025,2025-12,23,23,38.6373,29.0968,56.4922,0.8696,0.7826,0.4348,0.3478,0.087,0.2174,84.1784,15.3683,23,69,34.8887,24.2184,44.1881,0.7536,0.6232,0.3768,0.2899,0.0725,0.1594,85.2412,13.2128,1.0,0.7826,0.6522,63.815,53.4553,84.2529
pure_023_tail_anti_overfit,final_2026,2026-01,20,20,14.0636,9.0174,17.1453,0.3,0.25,0.05,0.05,0.05,0.05,88.3255,3.0571,20,60,19.1729,10.7364,23.8744,0.4167,0.3667,0.2,0.1167,0.05,0.1,88.288,3.0188,0.75,0.5,0.3,38.0246,30.0866,28.0214
pure_023_tail_anti_overfit,final_2026,2026-02,14,14,15.4136,10.7241,18.0086,0.3571,0.2143,0.1429,0.1429,0.0,0.0714,90.6235,3.1473,14,42,22.6328,16.8376,32.4957,0.5714,0.4286,0.2619,0.1905,0.0476,0.119,89.3588,3.2854,0.8571,0.5714,0.5,40.208,39.4689,32.6692
pure_023_tail_anti_overfit,final_2026,2026-03,22,22,19.1212,20.0834,29.4235,0.5455,0.5,0.2727,0.0455,0.0455,0.0455,90.5282,4.5961,22,66,20.3437,15.0845,31.6977,0.5,0.4394,0.2727,0.1212,0.0455,0.0909,89.2383,4.7744,0.7273,0.5909,0.3182,35.2141,33.4253,49.5215
pure_023_tail_anti_overfit,final_2026,2026-04,8,8,37.7354,19.6244,34.6675,0.625,0.5,0.25,0.25,0.125,0.125,93.7768,8.7747,8,24,35.0266,25.0025,51.4437,0.7083,0.6667,0.4167,0.2917,0.0417,0.125,86.3825,10.7443,1.0,0.75,0.5,56.1102,42.6608,68.5664
