date,open,close,high,low,volume,amount,amplitude_pct,change_pct,change,turnover_pct
2024-09-04,16240,16075,16270,16065,360358,58183090688,1.26,-1.41,-230,0.00
2024-09-05,16105,16180,16295,16090,346297,56061831936,1.27,0.22,35,0.00
2024-09-06,16210,16545,16560,16185,452112,73791893504,2.32,2.22,360,0.00
2024-09-09,16605,16880,16950,16385,741676,123161165824,3.46,3.43,560,0.00
2024-09-10,16865,16780,16945,16725,556627,93766430720,1.32,1.05,175,0.00
2024-09-11,16710,16745,16895,16630,547142,91802095616,1.57,-0.59,-100,0.00
2024-09-12,16745,17045,17080,16670,607532,102331600896,2.44,1.61,270,0.00
2024-09-13,17065,17025,17195,16950,496911,84745719808,1.45,1.10,185,0.00
2024-09-18,17500,17715,17880,17410,526091,93091352576,2.76,3.90,665,0.00
2024-09-19,17700,18020,18045,17650,603108,107705729024,2.23,1.87,330,0.00
2024-09-20,18045,17875,18045,17805,477912,85716664320,1.34,0.11,20,0.00
2024-09-23,17850,17460,17850,17310,660629,115626160128,3.01,-2.65,-475,0.00
2024-09-24,17505,18215,18245,17495,647861,115076546560,4.29,4.09,715,0.00
2024-09-25,18285,18300,18825,18220,975851,180695871488,3.41,3.04,540,0.00
2024-09-26,18200,18440,18730,18100,894703,165379543040,3.40,-0.41,-75,0.00
2024-09-27,18590,18555,18665,18220,719399,132738740224,2.41,0.41,75,0.00
2024-09-30,18550,19645,19780,18420,784439,150112382976,7.37,6.48,1195,0.00
2024-10-08,19815,18890,19850,18760,545233,104813146112,5.70,-1.28,-245,0.00
2024-10-09,18890,18920,19485,18830,758807,145718153216,3.41,-1.56,-300,0.00
2024-10-10,18750,18045,18935,18045,821371,152908070912,4.64,-6.02,-1155,0.00
2024-10-11,17920,18100,18150,17745,726031,130354987008,2.18,-2.77,-515,0.00
2024-10-14,18220,18180,18525,18030,609030,111408115712,2.76,1.28,230,0.00
2024-10-15,18170,18375,18445,18120,510677,93345079296,1.78,0.46,85,0.00
2024-10-16,18370,17760,18410,17640,627035,113279655936,4.21,-2.82,-515,0.00
2024-10-17,17810,17740,18040,17615,357689,63866159104,2.35,-1.80,-325,0.00
2024-10-18,17790,18295,18375,17685,497428,90344603648,3.86,2.46,440,0.00
2024-10-21,18280,18170,18280,17850,385080,69572321280,2.37,0.06,10,0.00
