discovery_date,symbol,base_setup_score,relative_rank_score,amount,amount_avg20,amount_med20,amount_ratio20,amount_ratio20_median,amount_percentile60,pre20_return_pct,pre20_super_price_divergence,pre20_main_price_divergence,pre5_return_pct,pre5_super_price_divergence,setup_score,strategy_mode,rank,launch_start_date,launch_end_date,pullback_confirm_date,pullback_confirm_reason,launch3_return_pct,launch3_max_drawdown_pct,launch3_super_net_ratio,launch3_main_net_ratio,launch3_add_buy_ratio,pullback_super_net_ratio,pullback_main_net_ratio,pullback_support_spread_avg,pullback_depth_from_launch_peak_pct,confirm_distribution_score,order_filter_available,launch_hist_order_days,launch_order_days,launch_cancel_buy_to_add_buy,launch_hist_cancel_buy_to_add_buy_avg,launch_cancel_buy_to_add_buy_vs_hist,orderbook_filter_reason,liquidity_mode
2026-03-03,sz002943,67.33,67.33,895385950.55,1039910493.8460003,883467125.63,0.8610221320476424,1.013490965961524,0.5,-16.0,0.16578,0.15308,-8.15,0.03948,67.33,current_abs_250m,11,,,,no_launch,,,,,,,,,,,False,,,,,,no_launch,current_abs_250m
2026-03-03,sh603598,65.3,65.3,469591155.28,1319713207.3445,1148724869.0349998,0.3558281849924816,0.40879340905580436,0.16666666666666666,-11.78,0.13596,0.11352,-9.5,0.07718,65.3,current_abs_250m,12,,,,no_launch,,,,,,,,,,,False,,,,,,no_launch,current_abs_250m
2026-03-03,sh600718,64.23,64.98,354128955.08,298280698.69,251398744.435,1.1872338928910802,1.4086345414169767,0.5833333333333334,-10.65,0.09975,0.11505,-2.92,0.02018,64.23,current_abs_250m,13,,,,no_launch,,,,,,,,,,,False,,,,,,no_launch,current_abs_250m
2026-03-03,sh605488,63.45,63.45,369437141.21000004,551186376.4245,495686848.085,0.670258114154613,0.7453034968292103,0.2777777777777778,-14.96,0.148,0.13581,-8.77,0.06468,63.45,current_abs_250m,14,,,,no_launch,,,,,,,,,,,False,,,,,,no_launch,current_abs_250m
2026-03-03,sz000681,63.33,63.33,1233724500.9,2528078361.4709997,2353627680.465,0.4880088053054413,0.524179975932411,0.1111111111111111,-11.64,0.10592,0.08923,-6.92,0.02335,63.33,current_abs_250m,15,,,,no_launch,,,,,,,,,,,False,,,,,,no_launch,current_abs_250m
2026-03-03,sh603039,63.24,63.24,299237390.7,391711613.997,381838893.18000007,0.7639226921218929,0.7836744659715388,0.1388888888888889,-33.81,0.3238,0.30099,-6.26,0.07985,63.24,current_abs_250m,16,2026-03-09,2026-03-11,,no_pullback_confirm,5.46,0.0,0.00775,0.07152,0.99823,,,,,,True,5.0,3.0,0.47047,0.38756,1.2139,,current_abs_250m
2026-03-03,sh600745,63.22,63.22,1160723732.7499998,3071937334.2565002,1209548088.1150002,0.3778474644668913,0.9596342172380348,0.25,-17.38,0.10249,0.14684,-3.59,-0.00707,63.22,current_abs_250m,17,2026-03-05,2026-03-09,2026-03-16,pullback_absorption_confirm,7.49,0.0,0.01732,0.04245,1.09001,0.05355,0.08966,-0.27958,-6.27,52.0,True,3.0,3.0,0.492,0.32879,1.4964,,current_abs_250m
2026-03-03,sh600633,63.11,63.11,580889786.11,974180939.3224999,935099596.425,0.5962853127818158,0.6212063274658792,0.19444444444444445,-10.93,0.10685,0.09324,-3.57,0.02053,63.11,current_abs_250m,18,,,,no_launch,,,,,,,,,,,False,,,,,,no_launch,current_abs_250m
2026-03-03,sz000892,63.01,63.01,331441310.49,739882135.0195,406627991.665,0.44796501334805805,0.8150971337041094,0.19444444444444445,-17.72,0.17943,0.14022,-8.13,0.06632,63.01,current_abs_250m,19,,,,no_launch,,,,,,,,,,,False,,,,,,no_launch,current_abs_250m
2026-03-03,sh603090,62.97,62.97,259969585.19,367798099.67050004,323774922.67,0.7068268852473665,0.802933046964134,0.25,-15.16,0.11866,0.12394,-3.93,-0.01066,62.97,current_abs_250m,20,,,,no_launch,,,,,,,,,,,False,,,,,,no_launch,current_abs_250m
2026-03-04,sz002371,91.27,91.27,2824844500.1300006,3763181982.8380003,3690436664.075,0.7506531740991295,0.7654499337785118,0.10810810810810811,-11.12,0.09523,0.09995,-10.05,0.06927,91.27,current_abs_250m,1,,,,no_launch,,,,,,,,,,,False,,,,,,no_launch,current_abs_250m
2026-03-04,sz002064,91.11,95.63,925261242.6899999,630869011.5680001,591266865.075,1.4666455725734564,1.5648792403961855,0.8648648648648649,-15.33,0.15255,0.15861,-7.61,0.09731,91.11,current_abs_250m,2,2026-03-09,2026-03-11,,no_pullback_confirm,4.72,0.0,0.00956,0.01755,1.33892,,,,,,True,5.0,3.0,6e-05,0.00012,0.4729,,current_abs_250m
2026-03-04,sz002738,90.43,90.43,1735342737.4599996,2086140754.5444999,1977104770.83,0.8318435530678774,0.8777191593804575,0.2702702702702703,-14.09,0.12206,0.0992,-11.7,0.09805,90.43,current_abs_250m,3,,,,no_launch,,,,,,,,,,,False,,,,,,no_launch,current_abs_250m
2026-03-04,sz001309,88.85,96.38,4751061276.33,2278128453.9304996,2070186766.04,2.0855107042506322,2.2949916182771117,0.918918918918919,-17.8,0.15887,0.16636,-8.79,0.02694,88.85,current_abs_250m,4,2026-03-04,2026-03-06,2026-03-09,pullback_absorption_confirm,7.77,0.0,0.09847,0.06049,1.90137,0.08069,0.1008,0.10696,-5.15,13.26,True,2.0,3.0,0.00258,0.00041,6.2863,launch_cancel_buy_to_add_buy_vs_hist_gt_2,current_abs_250m
2026-03-04,sz002400,88.75,88.75,890514587.41,3302053111.9954996,2716964970.5699997,0.26968511928987215,0.3277607908294734,0.0,-20.88,0.20811,0.1848,-12.32,0.06294,88.75,current_abs_250m,5,,,,no_launch,,,,,,,,,,,False,,,,,,no_launch,current_abs_250m
2026-03-04,sz002865,88.04,88.04,1339779941.6000001,2361494655.0290003,2436872809.0649996,0.5673440499841178,0.54979477657435,0.13513513513513514,-15.89,0.16334,0.14496,-3.66,0.06184,88.04,current_abs_250m,6,2026-03-04,2026-03-06,2026-03-18,pullback_absorption_confirm,10.07,0.0,0.09893,0.10589,1.6158,0.00725,0.02548,-0.13093,-16.48,38.0,True,2.0,3.0,0.00558,0.00041,13.6725,launch_cancel_buy_to_add_buy_vs_hist_gt_2,current_abs_250m
