model_id,model_family,model_description,filter_id,filter_description,internal_a_top1_days,internal_a_top1_picks,internal_a_top1_day1_no_red_rate,internal_a_top1_day2_still_loss_rate,internal_a_top1_deep_pain_rate,internal_a_top1_day1_green_rate,internal_a_top1_day1_positive_close_rate,internal_a_top1_day1_avg_mfe_pct,internal_a_top1_day1_median_mfe_pct,internal_a_top1_day1_avg_close_return_pct,internal_a_top1_day2_avg_close_return_pct,internal_a_top1_day2_median_close_return_pct,internal_a_top1_hit2_rate,internal_a_top1_hit3_rate,internal_a_top1_hit5_rate,internal_a_top1_hit7_rate,internal_a_top1_hit10_rate,internal_a_top1_avg_filter_universe,internal_b_top1_days,internal_b_top1_picks,internal_b_top1_day1_no_red_rate,internal_b_top1_day2_still_loss_rate,internal_b_top1_deep_pain_rate,internal_b_top1_day1_green_rate,internal_b_top1_day1_positive_close_rate,internal_b_top1_day1_avg_mfe_pct,internal_b_top1_day1_median_mfe_pct,internal_b_top1_day1_avg_close_return_pct,internal_b_top1_day2_avg_close_return_pct,internal_b_top1_day2_median_close_return_pct,internal_b_top1_hit2_rate,internal_b_top1_hit3_rate,internal_b_top1_hit5_rate,internal_b_top1_hit7_rate,internal_b_top1_hit10_rate,internal_b_top1_avg_filter_universe,final_2026_top1_days,final_2026_top1_picks,final_2026_top1_day1_no_red_rate,final_2026_top1_day2_still_loss_rate,final_2026_top1_deep_pain_rate,final_2026_top1_day1_green_rate,final_2026_top1_day1_positive_close_rate,final_2026_top1_day1_avg_mfe_pct,final_2026_top1_day1_median_mfe_pct,final_2026_top1_day1_avg_close_return_pct,final_2026_top1_day2_avg_close_return_pct,final_2026_top1_day2_median_close_return_pct,final_2026_top1_hit2_rate,final_2026_top1_hit3_rate,final_2026_top1_hit5_rate,final_2026_top1_hit7_rate,final_2026_top1_hit10_rate,final_2026_top1_avg_filter_universe,final_2026_top3_pick_days,final_2026_top3_pick_picks,final_2026_top3_pick_day1_no_red_rate,final_2026_top3_pick_day2_still_loss_rate,final_2026_top3_pick_deep_pain_rate,final_2026_top3_pick_day1_green_rate,final_2026_top3_pick_day1_positive_close_rate,final_2026_top3_pick_day1_avg_mfe_pct,final_2026_top3_pick_day1_median_mfe_pct,final_2026_top3_pick_day1_avg_close_return_pct,final_2026_top3_pick_day2_avg_close_return_pct,final_2026_top3_pick_day2_median_close_return_pct,final_2026_top3_pick_hit2_rate,final_2026_top3_pick_hit3_rate,final_2026_top3_pick_hit5_rate,final_2026_top3_pick_hit7_rate,final_2026_top3_pick_hit10_rate,final_2026_top3_pick_avg_filter_universe,final_2026_top3_any_day1_green_rate,final_2026_top3_any_hit3_rate,final_2026_top3_any_hit5_rate,final_2026_top3_any_day2_non_loss_rate,stable_selector_score,stable_selector_month_score_min,stable_selector_month_score_median,stable_selector_month_score_mean,stable_selector_month_score_std,offensive_selector_score,offensive_selector_month_score_min,offensive_selector_month_score_median,offensive_selector_month_score_mean,offensive_selector_month_score_std,business_fit
combo_pop_guard,combo,低痛 + 当天反馈组合,top15_themes_only,只在热点 Top15 板块内选,37,37,0.027,0.6216,0.8108,0.973,0.3514,4.1238,2.994,-0.2179,-0.2102,-2.994,0.5946,0.4865,0.2973,0.1622,0.1081,167.97,23,23,0.0,0.6522,0.8261,1.0,0.4348,6.1777,4.5806,0.1179,0.6622,-3.769,0.8261,0.6957,0.4783,0.3478,0.3043,180.61,64,64,0.0312,0.5156,0.5781,0.9688,0.5,4.1847,2.5633,0.6866,0.7168,-0.5151,0.5938,0.4375,0.3438,0.2344,0.0625,170.67,64,192,0.0417,0.5052,0.4844,0.9583,0.5469,3.7829,3.0199,0.5737,0.7162,-0.2308,0.6146,0.5,0.3073,0.1719,0.0208,170.67,1.0,0.7969,0.6094,0.8438,42.4742,39.5874,46.8144,44.5076,3.4814,35.1476,34.8026,44.5455,43.0297,6.192,偏快反馈
combo_pop_guard,combo,低痛 + 当天反馈组合,strong_and_persistent,只在热点强度 + 持续性都达标的板块内选,37,37,0.027,0.6216,0.8108,0.973,0.3514,4.1238,2.994,-0.2179,-0.2102,-2.994,0.5946,0.4865,0.2973,0.1622,0.1081,160.84,23,23,0.0,0.6522,0.8261,1.0,0.3913,5.8985,4.4231,-0.0154,0.7788,-2.514,0.7826,0.6522,0.4348,0.3478,0.3043,179.65,64,64,0.0312,0.5312,0.5781,0.9688,0.4844,4.0679,2.4852,0.603,0.5771,-0.5734,0.5781,0.4219,0.3281,0.2188,0.0625,164.89,64,192,0.0417,0.5104,0.4896,0.9583,0.5312,3.7618,2.9768,0.5439,0.6526,-0.3073,0.6146,0.4948,0.3073,0.1719,0.0208,164.89,1.0,0.7656,0.5938,0.8281,42.3863,39.5874,46.5988,44.3335,3.3572,35.1151,34.8026,44.5455,42.5898,5.7292,偏快反馈
combo_pop_guard,combo,低痛 + 当天反馈组合,today_strong_or_accel,只保留 今日最强 + 主线再加速,37,37,0.0811,0.5135,0.5946,0.9189,0.5676,3.9438,3.062,0.336,1.4591,-0.0865,0.5405,0.5135,0.2973,0.2432,0.0811,66.14,23,23,0.0435,0.4348,0.8261,0.9565,0.5652,6.6964,6.6486,2.212,1.7449,2.4683,0.913,0.7826,0.5652,0.4348,0.2609,95.83,64,64,0.0469,0.4688,0.5156,0.9531,0.4844,3.9021,2.4852,0.2172,0.5531,0.5531,0.5781,0.4531,0.3594,0.2031,0.0469,106.42,64,192,0.0573,0.5104,0.4948,0.9427,0.5104,3.6192,2.6051,0.3821,0.3306,-0.2308,0.5833,0.474,0.2969,0.1823,0.0365,106.42,0.9844,0.7188,0.5781,0.8125,49.3497,49.2611,49.6063,50.6385,1.7097,40.1446,43.3123,45.9526,48.5864,5.6947,偏快反馈
blitz_1d_fast_feedback,blitz,闪击 1 天快反馈,top10_themes_only,只在热点 Top10 板块内选,37,37,0.1892,0.4865,0.6757,0.8108,0.5946,4.3301,4.2042,0.268,0.2324,0.7235,0.5946,0.5676,0.4324,0.2162,0.0811,111.22,23,23,0.087,0.4348,0.8261,0.913,0.6087,5.7903,5.5496,1.8391,1.2427,0.8055,0.7826,0.6957,0.5217,0.2174,0.1304,125.13,64,64,0.0781,0.5156,0.5625,0.9219,0.5781,5.4331,4.3857,1.333,0.5053,-0.2366,0.75,0.6562,0.4531,0.375,0.1406,120.39,64,192,0.1198,0.5,0.6354,0.8802,0.599,4.5054,3.6322,0.7679,1.0023,0.0071,0.6875,0.5677,0.375,0.25,0.0938,120.39,0.9844,0.8906,0.7188,0.7656,45.5911,45.4921,45.887,47.11,2.0153,38.8396,42.0613,44.3818,45.597,3.4904,偏快反馈
combo_pop_guard,combo,低痛 + 当天反馈组合,new_or_accel_or_mainline,只保留 首次新热 + 主线再加速 + 持续主线,37,37,0.1081,0.5405,0.6757,0.8919,0.4865,3.6694,2.853,-0.301,-0.1614,-1.8207,0.5676,0.4595,0.2703,0.1622,0.0811,89.16,23,23,0.0435,0.5652,0.7826,0.9565,0.5217,6.444,4.4231,1.1569,1.969,-1.1905,0.7826,0.6957,0.4783,0.3913,0.3043,124.22,64,64,0.0156,0.5156,0.5781,0.9844,0.4844,4.0395,2.6681,0.3763,0.4657,-0.5151,0.5938,0.4688,0.3281,0.2031,0.0469,143.38,64,192,0.0521,0.5156,0.5156,0.9479,0.5208,3.7634,3.2921,0.4704,0.5778,-0.3629,0.6198,0.5208,0.3021,0.1719,0.026,143.38,1.0,0.8125,0.625,0.8125,44.2608,42.1247,47.4057,46.5823,3.3544,35.1384,37.5023,40.6566,43.6928,6.6501,偏快反馈
low_pain_nextday,lowpain,次日低痛稳健,new_or_accel_or_mainline,只保留 首次新热 + 主线再加速 + 持续主线,37,37,0.0811,0.4054,0.3243,0.9189,0.5946,2.4484,1.6327,0.5955,0.9902,0.2268,0.4054,0.3243,0.1622,0.0811,0.027,89.16,23,23,0.0,0.5652,0.3043,1.0,0.5652,1.9314,1.1527,-0.0933,-0.1623,-0.3899,0.3478,0.2609,0.1304,0.0,0.0,124.22,64,64,0.0312,0.4688,0.4062,0.9688,0.5469,2.3085,1.6244,-0.0451,0.3288,0.0563,0.3281,0.2344,0.125,0.0781,0.0,143.38,64,192,0.0365,0.474,0.375,0.9635,0.5521,2.4986,1.6422,0.263,0.2895,0.0825,0.4062,0.2969,0.1302,0.0781,0.0156,143.38,1.0,0.5312,0.3125,0.8594,50.5984,49.9607,51.5805,52.0587,1.938,32.1085,35.3234,35.8912,38.6137,4.258,不够平衡
spark_1_0_style,spark,星火 1.0 风格基线,new_or_accel_or_mainline,只保留 首次新热 + 主线再加速 + 持续主线,37,37,0.027,0.5676,0.5676,0.973,0.3243,3.0724,1.901,-0.3734,-0.1484,-0.3745,0.4865,0.4054,0.2432,0.1622,0.027,86.3,23,23,0.0435,0.5217,0.5652,0.9565,0.4783,3.8641,2.4735,0.2146,1.2827,-1.2526,0.5217,0.4783,0.3913,0.2609,0.0,121.13,64,64,0.0312,0.5312,0.5625,0.9688,0.4688,3.228,2.143,-0.2093,0.2831,-0.3874,0.5469,0.4062,0.2656,0.1406,0.0312,138.89,64,192,0.0469,0.4896,0.5312,0.9531,0.5208,3.5392,2.7803,0.4057,1.1987,0.1412,0.5885,0.4688,0.3229,0.1458,0.0521,138.89,1.0,0.8281,0.625,0.8438,46.4338,45.2539,48.1711,47.8583,2.011,34.9751,37.7719,40.0958,41.1646,3.2943,偏快反馈
spark_1_0_style,spark,星火 1.0 风格基线,today_strong_or_accel,只保留 今日最强 + 主线再加速,37,37,0.0541,0.5676,0.5135,0.9459,0.4595,2.8756,2.0595,-0.4408,-0.2816,-0.2658,0.5135,0.3514,0.1892,0.1351,0.027,63.73,23,23,0.0,0.6087,0.6522,1.0,0.4783,3.8944,2.4735,0.2912,1.2795,-2.0473,0.5217,0.4783,0.3913,0.2609,0.0,93.17,64,64,0.0312,0.5469,0.5469,0.9688,0.4688,3.3715,2.1857,-0.1536,0.2798,-0.4155,0.5625,0.4375,0.2969,0.1406,0.0469,102.73,64,192,0.0469,0.5365,0.5417,0.9531,0.5156,3.4841,2.7877,0.2645,0.8569,-0.3374,0.5833,0.474,0.3125,0.1302,0.0521,102.73,1.0,0.8125,0.6094,0.75,44.1786,41.7616,47.7413,46.6188,3.5963,32.403,31.4443,42.1224,39.3418,5.6652,偏快反馈
low_pain_nextday,lowpain,次日低痛稳健,all_market,全市场直接选股,37,37,0.0541,0.4595,0.2162,0.9459,0.6216,1.5214,0.885,-0.3725,-0.5298,0.0,0.2162,0.1351,0.027,0.027,0.0,2234.95,23,23,0.0435,0.5217,0.1304,0.9565,0.6522,1.5391,0.7937,0.0077,0.3816,-0.1277,0.2174,0.1739,0.0435,0.0435,0.0,2048.13,64,64,0.0469,0.3906,0.2031,0.9531,0.5156,1.9337,1.3616,0.3298,0.2138,0.2911,0.3438,0.2188,0.0625,0.0312,0.0156,2312.61,64,192,0.0417,0.474,0.2604,0.9583,0.4948,1.7568,1.2553,-0.0216,-0.197,0.0,0.3229,0.1875,0.0573,0.0104,0.0052,2312.61,1.0,0.4062,0.1562,0.7969,50.6176,49.9914,51.5395,51.312,0.9984,30.3174,33.4816,33.8913,34.4035,1.0278,偏稳健
spark_1_0_style,spark,星火 1.0 风格基线,top10_themes_only,只在热点 Top10 板块内选,37,37,0.0,0.4324,0.4054,1.0,0.5405,3.4408,2.626,0.1302,0.8846,0.8568,0.5946,0.4324,0.2703,0.1622,0.0541,107.97,23,23,0.0,0.6087,0.6522,1.0,0.4348,4.2211,3.1369,0.2236,0.9822,-2.0473,0.5652,0.5217,0.3913,0.3043,0.0435,121.78,64,64,0.0312,0.5781,0.5469,0.9688,0.4688,3.2469,2.1234,-0.1889,0.1896,-0.4911,0.5312,0.4219,0.2812,0.1406,0.0469,116.41,64,192,0.0365,0.5417,0.5469,0.9635,0.5156,3.452,2.7803,0.2518,0.9888,-0.3646,0.5729,0.4688,0.3125,0.1302,0.0469,116.41,1.0,0.8125,0.625,0.75,50.1705,48.1477,53.1512,52.7413,3.5951,40.3561,44.2826,45.558,45.3737,0.8259,不够平衡
low_pain_nextday,lowpain,次日低痛稳健,today_strong_or_accel,只保留 今日最强 + 主线再加速,37,37,0.027,0.5946,0.5135,0.973,0.4054,2.2963,1.5534,-0.652,-0.6234,-0.8032,0.4324,0.2973,0.1081,0.0541,0.027,66.14,23,23,0.087,0.4348,0.1304,0.913,0.6087,2.0273,1.1527,0.4333,0.2218,0.1851,0.2609,0.2174,0.1304,0.087,0.0,95.83,64,64,0.0469,0.4688,0.3594,0.9531,0.4844,2.3086,1.3271,0.027,0.1481,0.0565,0.3281,0.2344,0.1406,0.0938,0.0156,106.42,64,192,0.0417,0.4323,0.3385,0.9583,0.5677,2.6506,1.7129,0.4128,0.5274,0.4751,0.4167,0.3073,0.1667,0.099,0.0208,106.42,1.0,0.5469,0.3594,0.8594,43.4545,38.5174,50.7711,47.7513,6.6583,28.8355,27.2595,38.6105,35.0541,5.5187,不够平衡
