model_id,filter_id,period,trade_date,rank,symbol,name,final_score,entry_date,exit_date,entry_buyable,entry_gap_pct,entry_open,day1_max_runup_pct,day1_close_return_pct,day2_close_return_pct,min_drawdown_pct,day1_no_red,day2_still_loss,deep_pain,best_theme_rank,theme_lifecycle_list,theme_name_list,filter_universe_size
blitz_1d_fast_feedback,exclude_climax_and_fading_proxy,final_2026,2026-03-31,2,sz002565,sz002565,8.384085374402286,2026-04-01,2026-04-02,1,-0.1176,16.99,2.7075,-1.7069,-4.6498,-5.9447,0,1,1,12.0,持续主线,工业大麻,73
blitz_1d_fast_feedback,exclude_climax_and_fading_proxy,final_2026,2026-03-31,3,sz002038,sz002038,8.095655127524191,2026-04-01,2026-04-02,1,-3.1621,7.35,8.8435,5.7143,16.3265,-4.0816,0,0,1,12.0,持续主线,工业大麻,73
blitz_1d_fast_feedback,exclude_climax_and_fading_proxy,final_2026,2026-04-01,1,sh600666,sh600666,9.867671791611356,2026-04-02,2026-04-03,1,0.0,6.27,6.0606,-1.5949,-6.2201,-8.134,0,1,1,15.0,持续主线,3D玻璃,84
blitz_1d_fast_feedback,exclude_climax_and_fading_proxy,final_2026,2026-04-01,2,sh603256,sh603256,8.241152918295207,2026-04-02,2026-04-03,1,-3.332,70.5,0.0142,-3.0355,-3.5461,-4.922,0,1,1,11.0,持续主线,玻纤制造,84
blitz_1d_fast_feedback,exclude_climax_and_fading_proxy,final_2026,2026-04-01,3,sz002980,sz002980,8.165417480469134,2026-04-02,2026-04-03,1,-0.7092,44.8,1.5402,-6.4732,2.8795,-7.7455,0,0,1,12.0,持续主线,精准诊断|体外诊断概念,84
blitz_1d_fast_feedback,exclude_climax_and_fading_proxy,final_2026,2026-04-02,1,sz002432,sz002432,9.532836841720764,2026-04-03,2026-04-07,1,-1.4171,80.0,3.5,1.4125,3.575,-1.175,0,0,0,10.0,主线再加速,精准诊断,107
blitz_1d_fast_feedback,exclude_climax_and_fading_proxy,final_2026,2026-04-02,2,sz000155,sz000155,8.694039662847844,2026-04-03,2026-04-07,1,-3.4767,16.38,2.8694,-1.7094,-0.8547,-3.602,0,1,1,14.0,持续主线,锂矿概念,107
blitz_1d_fast_feedback,exclude_climax_and_fading_proxy,final_2026,2026-04-02,3,sz002923,sz002923,8.444676787670106,2026-04-03,2026-04-07,1,-5.9942,16.31,3.3109,-4.2305,-10.9749,-12.569,0,1,1,8.0,主线再加速,肝炎概念,107
blitz_1d_fast_feedback,exclude_climax_and_fading_proxy,final_2026,2026-04-03,1,sz000950,sz000950,9.669689917271937,2026-04-07,2026-04-08,1,1.6807,7.26,2.0661,-1.6529,-9.0909,-10.4683,0,1,1,7.0,主线再加速|持续主线,医药流通|SPD概念|医药商业,81
blitz_1d_fast_feedback,exclude_climax_and_fading_proxy,final_2026,2026-04-03,2,sh603122,sh603122,9.478061180351443,2026-04-07,2026-04-08,1,-5.1639,19.1,15.9686,9.4764,4.0314,-5.0785,0,0,1,11.0,持续主线,SPD概念,81
blitz_1d_fast_feedback,exclude_climax_and_fading_proxy,final_2026,2026-04-03,3,sh600056,sh600056,8.679825656393191,2026-04-07,2026-04-08,1,-1.1217,11.46,0.0,-1.5707,-3.7522,-5.0611,1,1,1,7.0,主线再加速|持续主线,医药流通|医药商业,81
blitz_1d_fast_feedback,exclude_climax_and_fading_proxy,final_2026,2026-04-07,1,sz002980,sz002980,8.744142912254127,2026-04-08,2026-04-09,1,8.4221,54.97,0.3456,-3.8385,1.2916,-9.587,0,0,1,13.0,持续主线,体外诊断概念,105
blitz_1d_fast_feedback,exclude_climax_and_fading_proxy,final_2026,2026-04-07,2,sz002432,sz002432,7.8105484894387835,2026-04-08,2026-04-09,1,1.9068,84.44,5.1634,3.7305,4.2279,-4.0739,0,0,1,13.0,持续主线,体外诊断概念,105
blitz_1d_fast_feedback,exclude_climax_and_fading_proxy,final_2026,2026-04-07,3,sh603585,sh603585,7.797323971822562,2026-04-08,2026-04-09,1,-10.0,23.04,4.1667,1.2587,-2.8212,-3.1684,0,1,1,6.0,观察,农药兽药,105
blitz_1d_fast_feedback,exclude_climax_and_fading_proxy,final_2026,2026-04-08,1,sh603687,sh603687,7.747094647722132,2026-04-09,2026-04-10,1,-2.6498,16.9,9.7041,7.4556,-0.7692,-4.142,0,1,1,13.0,持续主线,AIGC概念,132
blitz_1d_fast_feedback,exclude_climax_and_fading_proxy,final_2026,2026-04-08,2,sz002181,sz002181,6.976266274071266,2026-04-09,2026-04-10,1,7.1594,13.92,2.4425,-7.6868,-9.6983,-11.4224,0,1,1,13.0,持续主线,AIGC概念,132
blitz_1d_fast_feedback,exclude_climax_and_fading_proxy,final_2026,2026-04-08,3,sz000070,sz000070,6.935773986063177,2026-04-09,2026-04-10,1,-1.6333,18.67,11.8372,11.8372,5.8382,-3.053,0,0,1,9.0,主线再加速,F5G概念,132
blitz_1d_fast_feedback,exclude_climax_and_fading_proxy,final_2026,2026-04-09,1,sz002957,sz002957,7.241266321927718,2026-04-10,2026-04-13,1,-0.5323,37.37,4.9237,0.6155,10.677,0.0,0,0,0,7.0,主线再加速,电子烟,108
blitz_1d_fast_feedback,exclude_climax_and_fading_proxy,final_2026,2026-04-09,2,sh601133,sh601133,7.195513984898036,2026-04-10,2026-04-13,1,2.0665,25.19,1.2306,-1.1513,-2.5407,-5.5975,0,1,1,14.0,观察,OLED,108
blitz_1d_fast_feedback,exclude_climax_and_fading_proxy,final_2026,2026-04-09,3,sz002947,sz002947,7.184597565392069,2026-04-10,2026-04-13,1,5.3872,68.86,0.0581,-2.1493,-1.7717,-4.1388,0,1,1,12.0,持续主线,消费电子零部件及组装,108
blitz_1d_fast_feedback,exclude_climax_and_fading_proxy,final_2026,2026-04-10,1,sz002580,sz002580,8.88351079887482,2026-04-13,2026-04-14,1,2.4763,19.45,7.3522,7.3522,18.0977,-0.5141,0,0,0,7.0,主线再加速,蓄电池及其他电池|电池,70
blitz_1d_fast_feedback,exclude_climax_and_fading_proxy,final_2026,2026-04-10,2,sz002824,sz002824,8.331952348029091,2026-04-13,2026-04-14,1,-1.0685,25.0,11.2,8.4,7.72,0.0,0,0,0,6.0,主线再加速,刀片电池,70
blitz_1d_fast_feedback,exclude_climax_and_fading_proxy,final_2026,2026-04-10,3,sh603933,sh603933,8.02327276440551,2026-04-13,2026-04-14,1,-1.753,24.1,3.112,-0.8299,-2.3651,-4.3154,0,1,1,13.0,观察,PLC概念,70
blitz_1d_fast_feedback,exclude_climax_and_fading_proxy,final_2026,2026-04-13,1,sz002824,sz002824,5.870581873970794,2026-04-14,2026-04-15,1,1.9926,27.64,0.8683,-2.5687,7.1635,-3.5094,0,0,1,7.0,主线再加速,刀片电池,112
blitz_1d_fast_feedback,exclude_climax_and_fading_proxy,final_2026,2026-04-13,2,sz002124,sz002124,5.618949952835755,2026-04-14,2026-04-15,1,1.1583,2.62,8.7786,8.7786,19.8473,-1.9084,0,0,0,10.0,持续主线|观察,生猪养殖|养殖业,112
blitz_1d_fast_feedback,exclude_climax_and_fading_proxy,final_2026,2026-04-13,3,sz001203,sz001203,5.547267822082907,2026-04-14,2026-04-15,1,1.2421,43.2,0.6944,-1.9907,-2.3843,-4.5139,0,1,1,6.0,主线再加速,锂矿概念,112
blitz_1d_fast_feedback,top10_themes_only,final_2026,2026-01-05,1,sz002414,sz002414,5.879230585975312,2026-01-06,2026-01-07,1,2.2305,16.5,2.4242,-1.1515,-1.3333,-3.5758,0,1,1,2.0,观察,全息技术,173
blitz_1d_fast_feedback,top10_themes_only,final_2026,2026-01-05,2,sz002413,sz002413,5.858054808022366,2026-01-06,2026-01-07,1,4.9964,14.5,4.7586,4.7586,15.2414,-2.069,0,0,0,3.0,主线再加速,6G概念,173
blitz_1d_fast_feedback,top10_themes_only,final_2026,2026-01-05,3,sz002151,sz002151,5.759991408268787,2026-01-06,2026-01-07,1,0.04,49.99,9.962,9.962,15.4231,-0.02,0,0,0,8.0,观察,汽车芯片,173
blitz_1d_fast_feedback,top10_themes_only,final_2026,2026-01-06,1,sh600618,sh600618,5.561878215450554,2026-01-07,2026-01-08,1,0.1517,13.2,2.5758,0.9091,-1.5909,-2.0455,0,1,0,7.0,主线再加速,氯碱|化学原料,105
blitz_1d_fast_feedback,top10_themes_only,final_2026,2026-01-06,2,sz000510,sz000510,5.3390990856473675,2026-01-07,2026-01-08,1,-0.6747,13.25,6.8679,1.8868,-4.0755,-4.5283,0,1,1,7.0,主线再加速,氯碱|化学原料,105
blitz_1d_fast_feedback,top10_themes_only,final_2026,2026-01-06,3,sz002978,sz002978,5.269296728242834,2026-01-07,2026-01-08,1,1.6588,36.77,2.0397,-0.1088,-2.4205,-3.5899,0,1,1,9.0,主线再加速,钛白粉概念,105
blitz_1d_fast_feedback,top10_themes_only,final_2026,2026-01-07,1,sz002195,sz002195,5.679536347544047,2026-01-08,2026-01-09,1,2.4364,9.67,7.3423,7.3423,7.0321,-2.6887,0,0,0,9.0,主线再加速,AI芯片,196
blitz_1d_fast_feedback,top10_themes_only,final_2026,2026-01-07,2,sz002774,sz002774,5.4699474887037125,2026-01-08,2026-01-09,1,0.0,12.35,10.0405,10.0405,21.0526,-8.583,0,0,1,8.0,观察,楼宇设备,196
blitz_1d_fast_feedback,top10_themes_only,final_2026,2026-01-07,3,sz002792,sz002792,5.370933934639942,2026-01-08,2026-01-09,1,5.5662,55.0,4.2,4.2,10.5091,-2.7091,0,0,0,6.0,主线再加速|持续主线,UWB概念|WiFi|通信网络设备及器件,196
blitz_1d_fast_feedback,top10_themes_only,final_2026,2026-01-08,1,sz002173,sz002173,6.806194435254633,2026-01-09,2026-01-12,1,4.7952,33.0,4.9697,4.9697,12.0909,-0.697,0,0,0,7.0,主线再加速|观察,人脑工程|AI制药（医疗）,143
blitz_1d_fast_feedback,top10_themes_only,final_2026,2026-01-08,2,sz002519,sz002519,6.218559306878223,2026-01-09,2026-01-12,1,9.9156,10.42,0.096,0.096,10.0768,-3.4549,0,0,1,1.0,主线再加速,地面兵装Ⅱ|国防军工,143
blitz_1d_fast_feedback,top10_themes_only,final_2026,2026-01-08,3,sz002792,sz002792,6.167026015351109,2026-01-09,2026-01-12,1,0.0,57.31,6.4387,6.0548,16.6638,-0.9771,0,0,0,9.0,主线再加速,北斗导航,143
blitz_1d_fast_feedback,top10_themes_only,final_2026,2026-01-09,1,sz002316,sz002316,5.259746161480826,2026-01-12,2026-01-13,1,7.3555,6.13,2.447,2.447,-7.8303,-7.8303,0,1,1,5.0,主线再加速,互联网服务,170
blitz_1d_fast_feedback,top10_themes_only,final_2026,2026-01-09,2,sz002777,sz002777,5.162065997159631,2026-01-12,2026-01-13,1,4.9729,21.32,4.1276,1.97,4.2214,-1.8762,0,0,0,5.0,主线再加速|观察,互联网服务|AI应用|DRG/DIP,170
