run_date,date,ticker,name,close,indexed_return_pct,drawdown_from_high_pct
2026-05-07,2026-04-13,WDC,Western Digital,350.16,22.44,-0.49
2026-05-07,2026-04-14,WDC,Western Digital,366.22,28.05,-0.02
2026-05-07,2026-04-15,WDC,Western Digital,365.0,27.63,-0.35
2026-05-07,2026-04-16,WDC,Western Digital,361.69,26.47,-1.82
2026-05-07,2026-04-17,WDC,Western Digital,372.52,30.26,-1.7
2026-05-07,2026-04-20,WDC,Western Digital,374.11,30.81,-1.72
2026-05-07,2026-04-21,WDC,Western Digital,383.81,34.2,-1.51
2026-05-07,2026-04-22,WDC,Western Digital,389.1,36.05,-3.21
2026-05-07,2026-04-23,WDC,Western Digital,403.12,40.96,-3.18
2026-05-07,2026-04-24,WDC,Western Digital,404.0,41.26,-2.97
2026-05-07,2026-04-27,WDC,Western Digital,400.73,40.12,-3.76
2026-05-07,2026-04-28,WDC,Western Digital,390.99,36.71,-6.1
2026-05-07,2026-04-29,WDC,Western Digital,412.76,44.33,-6.61
2026-05-07,2026-04-30,WDC,Western Digital,434.52,51.94,-1.69
2026-05-07,2026-05-01,WDC,Western Digital,431.52,50.89,-3.38
2026-05-07,2026-05-04,WDC,Western Digital,442.36,54.68,-2.53
2026-05-07,2026-05-05,WDC,Western Digital,465.26,62.68,-3.09
2026-05-07,2026-05-06,WDC,Western Digital,483.15,68.94,-0.15
2026-05-07,2026-02-09,STX,Seagate,425.0,0.0,-3.09
2026-05-07,2026-02-10,STX,Seagate,396.23,-6.77,-9.65
2026-05-07,2026-02-11,STX,Seagate,407.25,-4.18,-7.14
2026-05-07,2026-02-12,STX,Seagate,431.17,1.45,-6.23
2026-05-07,2026-02-13,STX,Seagate,425.99,0.23,-7.36
2026-05-07,2026-02-17,STX,Seagate,415.94,-2.13,-9.55
2026-05-07,2026-02-18,STX,Seagate,424.14,-0.2,-7.76
2026-05-07,2026-02-19,STX,Seagate,408.97,-3.77,-11.06
2026-05-07,2026-02-20,STX,Seagate,411.11,-3.27,-10.6
2026-05-07,2026-02-23,STX,Seagate,407.4,-4.14,-11.4
2026-05-07,2026-02-24,STX,Seagate,396.02,-6.82,-13.88
2026-05-07,2026-02-25,STX,Seagate,421.85,-0.74,-8.26
2026-05-07,2026-02-26,STX,Seagate,409.67,-3.61,-10.91
2026-05-07,2026-02-27,STX,Seagate,407.84,-4.04,-11.31
2026-05-07,2026-03-02,STX,Seagate,379.52,-10.7,-17.47
2026-05-07,2026-03-03,STX,Seagate,357.62,-15.85,-22.23
2026-05-07,2026-03-04,STX,Seagate,375.01,-11.76,-18.45
2026-05-07,2026-03-05,STX,Seagate,367.34,-13.57,-20.12
2026-05-07,2026-03-06,STX,Seagate,352.8,-16.99,-23.28
2026-05-07,2026-03-09,STX,Seagate,374.33,-11.92,-18.6
2026-05-07,2026-03-10,STX,Seagate,384.29,-9.58,-16.43
2026-05-07,2026-03-11,STX,Seagate,385.97,-9.18,-16.06
2026-05-07,2026-03-12,STX,Seagate,373.98,-12.0,-18.67
2026-05-07,2026-03-13,STX,Seagate,383.71,-9.72,-16.56
2026-05-07,2026-03-16,STX,Seagate,398.78,-6.17,-13.28
2026-05-07,2026-03-17,STX,Seagate,421.09,-0.92,-8.43
2026-05-07,2026-03-18,STX,Seagate,406.77,-4.29,-11.54
2026-05-07,2026-03-19,STX,Seagate,434.6,2.26,-5.49
2026-05-07,2026-03-20,STX,Seagate,411.23,-3.24,-10.57
2026-05-07,2026-03-23,STX,Seagate,404.02,-4.94,-12.14
2026-05-07,2026-03-24,STX,Seagate,424.96,-0.01,-7.59
2026-05-07,2026-03-25,STX,Seagate,413.22,-2.77,-10.14
2026-05-07,2026-03-26,STX,Seagate,378.79,-10.87,-17.63
2026-05-07,2026-03-27,STX,Seagate,380.07,-10.57,-17.35
2026-05-07,2026-03-30,STX,Seagate,362.43,-14.72,-21.18
2026-05-07,2026-03-31,STX,Seagate,391.76,-7.82,-14.81
2026-05-07,2026-04-01,STX,Seagate,423.12,-0.44,-7.99
2026-05-07,2026-04-02,STX,Seagate,429.36,1.03,-6.63
2026-05-07,2026-04-06,STX,Seagate,453.3,6.66,-3.6
2026-05-07,2026-04-07,STX,Seagate,468.72,10.29,-0.32
2026-05-07,2026-04-08,STX,Seagate,496.3,16.78,-4.04
2026-05-07,2026-04-09,STX,Seagate,500.77,17.83,-3.17
2026-05-07,2026-04-10,STX,Seagate,503.13,18.38,-2.72
2026-05-07,2026-04-13,STX,Seagate,513.28,20.77,-0.75
2026-05-07,2026-04-14,STX,Seagate,533.44,25.52,-0.15
2026-05-07,2026-04-15,STX,Seagate,519.6,22.26,-2.74
2026-05-07,2026-04-16,STX,Seagate,531.81,25.13,-0.45
2026-05-07,2026-04-17,STX,Seagate,547.75,28.88,-1.05
2026-05-07,2026-04-20,STX,Seagate,539.75,27.0,-2.5
2026-05-07,2026-04-21,STX,Seagate,559.9,31.74,-1.37
2026-05-07,2026-04-22,STX,Seagate,579.88,36.44,-1.04
2026-05-07,2026-04-23,STX,Seagate,587.62,38.26,-3.33
2026-05-07,2026-04-24,STX,Seagate,586.25,37.94,-3.56
2026-05-07,2026-04-27,STX,Seagate,595.86,40.2,-1.98
2026-05-07,2026-04-28,STX,Seagate,579.03,36.24,-4.75
2026-05-07,2026-04-29,STX,Seagate,643.3,51.36,-7.7
2026-05-07,2026-04-30,STX,Seagate,673.64,58.5,-3.35
2026-05-07,2026-05-01,STX,Seagate,726.93,71.04,-0.15
2026-05-07,2026-05-04,STX,Seagate,738.54,73.77,-1.4
2026-05-07,2026-05-05,STX,Seagate,771.01,81.41,-2.65
2026-05-07,2026-05-06,STX,Seagate,786.42,85.04,-0.71
2026-05-07,2026-02-09,000660.KS,SK hynix,887000.0,0.0,-1.33
2026-05-07,2026-02-10,000660.KS,SK hynix,876000.0,-1.24,-3.2
2026-05-07,2026-02-11,000660.KS,SK hynix,860000.0,-3.04,-4.97
2026-05-07,2026-02-12,000660.KS,SK hynix,888000.0,0.11,-1.88
2026-05-07,2026-02-13,000660.KS,SK hynix,880000.0,-0.79,-2.76
2026-05-07,2026-02-19,000660.KS,SK hynix,894000.0,0.79,-2.08
2026-05-07,2026-02-20,000660.KS,SK hynix,949000.0,6.99,-0.63
2026-05-07,2026-02-23,000660.KS,SK hynix,951000.0,7.22,-2.96
2026-05-07,2026-02-24,000660.KS,SK hynix,1005000.0,13.3,0.0
2026-05-07,2026-02-25,000660.KS,SK hynix,1018000.0,14.77,-1.93
2026-05-07,2026-02-26,000660.KS,SK hynix,1099000.0,23.9,0.0
2026-05-07,2026-02-27,000660.KS,SK hynix,1061000.0,19.62,-3.46
2026-05-07,2026-03-03,000660.KS,SK hynix,939000.0,5.86,-14.56
2026-05-07,2026-03-04,000660.KS,SK hynix,849000.0,-4.28,-22.75
2026-05-07,2026-03-05,000660.KS,SK hynix,941000.0,6.09,-14.38
2026-05-07,2026-03-06,000660.KS,SK hynix,924000.0,4.17,-15.92
2026-05-07,2026-03-09,000660.KS,SK hynix,836000.0,-5.75,-23.93
2026-05-07,2026-03-10,000660.KS,SK hynix,938000.0,5.75,-14.65
2026-05-07,2026-03-11,000660.KS,SK hynix,955000.0,7.67,-13.1
2026-05-07,2026-03-12,000660.KS,SK hynix,930000.0,4.85,-15.38
2026-05-07,2026-03-13,000660.KS,SK hynix,910000.0,2.59,-17.2
2026-05-07,2026-03-16,000660.KS,SK hynix,974000.0,9.81,-11.37
2026-05-07,2026-03-17,000660.KS,SK hynix,970000.0,9.36,-11.74
2026-05-07,2026-03-18,000660.KS,SK hynix,1056000.0,19.05,-3.91
2026-05-07,2026-03-19,000660.KS,SK hynix,1013000.0,14.21,-7.83
2026-05-07,2026-03-20,000660.KS,SK hynix,1007000.0,13.53,-8.37
2026-05-07,2026-03-23,000660.KS,SK hynix,933000.0,5.19,-15.1
2026-05-07,2026-03-24,000660.KS,SK hynix,986000.0,11.16,-10.28
2026-05-07,2026-03-25,000660.KS,SK hynix,995000.0,12.18,-9.46
