symbol,trade_date,probe_index,event_role,oib_ratio,amount_vs_day_median,same_day_pullback_ratio,day_gap_pct,bar_high_ret_pct,bar_close_ret_pct,day_return_pct,probe_strength_score,touch_up_10d,touch_up_20d,limit_close_10d,limit_close_20d,days_to_first_touch_up,days_to_first_limit_close,first_limit_close_streak,first_touch_streak,has_2board_from_first_close,has_3board_from_first_close,has_2touch_from_first_touch,has_3touch_from_first_touch,high_10d_pct,close_10d_pct,high_20d_pct,close_20d_pct,high_40d_pct,close_40d_pct,trend20_15,trend20_20,trend40_30,good_target_A,good_target_B,good_target_C,oib_top20,oib_top30,pullback_mid,probe_2_3,probe_1,probe_2_3_oib20,probe_2_3_oib20_pullback_mid,probe_1_oib20,probe_1_oib20_pullback_mid
sh603122,2025-11-21,1,first_probe,0.40205583577810866,36.1087535842458,1.0,-8.326967150496555,10.271646859083194,5.432937181663844,-1.8333333333333424,84.18341999328027,1,1,1,1,2.0,7.0,1,1,0,0,0,0,12.606112054329376,12.606112054329376,32.512733446519526,23.514431239388813,32.512733446519526,-22.920203735144305,1,1,1,1,1,1,False,False,False,False,True,False,False,False,False
sh603155,2025-06-25,1,first_probe,0.30211816254996815,33.83538027276227,0.6467889908256872,-3.3314187248707716,12.953060011883565,9.744503862150932,4.575163398692839,77.76935587489542,1,1,0,0,3.0,36.0,1,1,0,0,0,0,16.70454545454545,-7.159090909090915,16.70454545454545,-11.363636363636376,16.70454545454545,3.2386363636363713,1,0,0,0,0,0,False,False,True,False,True,False,False,False,False
sh603232,2025-10-31,1,first_probe,0.29379463482263507,17.27849897889254,1.4473684210526334,-4.943557804593224,9.336609336609335,8.190008190008191,-4.176904176904195,78.88166268615416,1,1,1,1,4.0,4.0,1,1,0,0,0,0,19.273504273504273,-0.4700854700854684,29.871794871794876,12.478632478632479,29.871794871794876,-1.2820512820512664,1,1,0,1,1,0,False,False,False,False,True,False,False,False,False
sh603266,2025-09-17,1,first_probe,0.2645866655709505,19.011520426191677,0.9396984924623111,0.0,7.642089093702009,7.565284178187404,0.4608294930875667,76.9502288586941,0,0,0,0,,,0,0,0,0,0,0,7.0336391437308965,-5.084097859327219,7.0336391437308965,-16.437308868501532,7.0336391437308965,-20.18348623853211,0,0,0,0,0,0,False,False,False,False,True,False,False,False,False
sh603353,2025-06-06,1,first_probe,0.3948423211799471,33.85243371382927,0.7822580645161291,-0.6953223767383054,7.725856697819311,3.1152647975077885,3.8828771483131685,77.8195060454022,1,1,1,1,5.0,5.0,1,2,0,0,1,0,19.6078431372549,8.578431372549012,19.6078431372549,-0.18382352941177516,19.6078431372549,0.30637254901961786,1,0,0,1,0,0,False,False,True,False,True,False,False,False,False
sh603386,2025-09-03,1,first_probe,2.829066520667631,14.342004133058618,1.2941176470588236,0.4149377593360981,5.670446964643094,5.670446964643094,1.5151515151515138,77.96891751912558,0,0,0,0,,,0,0,0,0,0,0,7.734056987788329,3.7991858887381325,7.734056987788329,-5.49525101763908,7.734056987788329,-10.99050203527816,0,0,0,0,0,0,True,True,False,False,True,False,False,True,False
sh603416,2025-04-07,1,first_probe,0.2704158178472006,133.4934387646252,1.0337423312883434,-9.807208717518867,6.0594795539033575,4.832713754646845,-0.20446096654275214,78.34813513100714,0,1,0,1,12.0,18.0,1,1,0,0,0,0,-0.6705159247532122,-10.523374930154594,15.608120692866457,11.752654125535479,30.862357981002052,5.978766995716156,1,0,1,1,0,1,False,False,False,False,True,False,False,False,False
sh603499,2024-11-13,1,first_probe,0.25294866533622046,15.495746506465261,0.5217391304347822,0.9216589861751112,5.251141552511429,4.023972602739745,2.511415525114158,67.53662382314099,0,1,0,0,19.0,,0,1,0,0,0,0,4.6492204899777345,-7.850779510022276,8.073496659242752,2.171492204899783,8.073496659242752,-28.340757238307358,0,0,0,0,0,0,False,False,True,False,True,False,False,False,False
sh603500,2025-01-03,1,first_probe,0.34788214983176524,28.281210051872627,0.6355140186915889,-10.035419126328227,14.041994750656151,10.892388451443558,5.118110236220463,80.354473163298,1,1,1,1,1.0,1.0,2,2,1,0,1,0,20.97378277153559,-13.358302122347055,20.97378277153559,-10.36204744069913,20.97378277153559,-5.742821473158555,1,1,0,1,1,0,False,False,True,False,True,False,False,False,False
sh603517,2025-09-25,1,first_probe,0.6352274104293765,37.91274115944809,0.46715328467153294,-4.938271604938271,10.466004583651657,8.785332314744076,5.576776165011466,78.86164570330737,0,0,0,0,,,0,0,0,0,0,0,4.775687409551366,-2.315484804630974,4.775687409551366,-1.230101302460207,4.775687409551366,-3.256150506512312,0,0,0,0,0,0,False,True,True,False,True,False,False,False,False
sh603580,2025-03-25,1,first_probe,0.38783511239954366,90.84101490641581,0.714285714285715,0.0,7.446808510638281,6.2234042553191316,4.518236254763197,77.84627751687557,0,0,0,0,,,0,0,0,0,0,0,-0.9895833333333215,-18.333333333333336,-0.9895833333333215,-11.458333333333325,-0.9895833333333215,-27.031249999999996,0,0,0,0,0,0,False,False,True,False,True,False,False,False,False
sh603588,2025-05-19,1,first_probe,0.27182597478313103,16.583740315329763,0.37931034482758724,2.3550724637681375,5.123674911660769,4.59363957597172,3.362831858407067,75.4200038949433,0,0,0,0,,,0,0,0,0,0,0,3.595890410958913,-2.568493150684925,3.595890410958913,-4.965753424657537,5.13698630136985,3.253424657534243,0,0,0,0,0,0,False,False,True,False,True,False,False,False,False
sh603683,2025-01-10,1,first_probe,0.7166566298099967,14.742843875971243,0.9677419354838717,-9.056603773584893,6.431535269709543,3.2157676348547604,0.20746887966804906,77.85113530262329,0,0,0,0,29.0,29.0,2,2,1,0,1,0,12.836438923395455,3.5196687370600444,12.836438923395455,7.660455486542439,48.65424430641821,21.325051759834366,0,0,1,0,1,1,True,True,False,False,True,False,False,True,False
