symbol,trade_date,probe_index,oib_ratio,same_day_pullback_ratio,day_gap_pct,probe_strength_score,hot_theme_best_rank,hot_theme_score,hot_theme_is_top10,confirm_d1_pos,confirm_d3_pos,confirm_d5_pos,limitup_probability,limitup_probability_sample_split,trend20_probability,trend20_probability_sample_split,target_limitup,target_limitup_extend,target_trend20,target_trend40,high_20d_pct,high_40d_pct,entry_close_1d_pct,entry_close_3d_pct,entry_close_5d_pct,entry_close_10d_pct,entry_high_10d_pct,entry_low_5d_pct,entry_t5s5,entry_t8s8,d1_oib_ratio,d3_oib_ratio,d5_oib_ratio,d1_l2_super_net_ratio,d3_l2_super_net_ratio,d5_l2_super_net_ratio,d1_l2_main_net_ratio,d3_l2_main_net_ratio,d5_l2_main_net_ratio,buy_support_ratio,sell_pressure_ratio,support_pressure_spread,add_buy_ratio,cancel_sell_ratio,close_book_imbalance_ratio,avg_book_imbalance_ratio,close_bid_ask_amount_ratio,price_position_20d,price_position_60d,breakout_vs_prev20_high_pct,drawdown_from_20d_high_pct,amount_vs_day_median,positive_oib_bar_ratio,positive_l2_bar_ratio,oib_top3_concentration_ratio,market_limit_up_count,market_broken_limit_up_ratio,market_advancer_ratio,hot_theme_is_new_hot,hot_theme_is_continuing_hot,hot_theme_is_fading,csi1000_above_ma20,csi1000_return_5d_pct,csi500_return_5d_pct,hs300_return_5d_pct,gem_index_return_5d_pct
sz000995,2024-11-01,1.0,0.5443393982698911,0.4954954954954964,0.0,76.63684835541201,44.0,67.6,0.0,0,0,0,0.2938144329896907,train,0.1388888888888889,train,1,0,0,1,12.742382271468156,30.817174515235468,3.3957033957033866,2.564102564102577,6.444906444906451,-4.435204435204443,12.820512820512842,-6.237006237006238,5,8,0.005913002866569276,-0.019230254433723903,-0.19501110566637367,-0.028718480922567634,-0.0027025645741681164,-0.04107580022642747,-0.014657330426973647,-0.010463322345881298,-0.14059437628641652,1.507765002413689,1.5483719658861281,-0.040606963472439084,1.7958904159357834,0.0003962621763439789,0.646289991112833,0.04238210070833465,4.654349466367511,0.9126760563380281,0.0,-2.1016949152542375,-9.693558474046283,16.900832443031163,0.4166666666666667,0.574468085106383,0.6167685266336085,83,0.484472049689441,0.23213156230234028,0.0,0.0,0.0,1,-0.7477386348638038,0.38098087850813034,-1.678302182705016,-5.1435461300810115
sz000995,2025-07-09,2.0,0.36041627898557077,0.7927927927927939,-0.2106741573033699,80.06700884746306,91.0,63.8,0.0,0,0,0,0.3605442176870748,train,0.1764705882352941,train,0,0,0,0,11.4965986394558,11.4965986394558,1.3605442176870763,5.306122448979589,-0.340136054421758,0.612244897959191,11.4965986394558,-3.0612244897959107,5,8,-0.01760244737669191,0.12708511561452482,0.0015803728854178862,0.014407779808501945,-0.013041270295303638,-0.04567087154997468,0.013704196166089097,-0.10354485213858425,-0.04554008880902009,1.423987185278529,1.5867291568025061,-0.16274197152397707,1.514079072745432,0.0001182550032426653,-0.18644326648410428,0.12449842994327637,0.6857106079136702,0.9117647058823527,0.9409448818897637,-1.0101010101010166,-5.6482670089858855,22.845501904536633,0.375,0.6458333333333334,0.620239722259915,45,0.3918918918918919,0.36790668348045397,0.0,0.0,0.0,1,1.2834932912181074,1.0272714831051077,1.209926787000648,2.870229200295782
sz001201,2025-07-01,1.0,0.7420509498771247,0.7692307692307698,0.25706940874035134,79.01610798523623,331.0,44.6,0.0,1,0,0,0.3461538461538461,train,0.2,train,0,0,0,0,17.087011349306437,17.087011349306437,2.358783364369943,3.6002482929857305,1.5518311607697122,3.910614525139655,10.366232153941656,-1.4276846679081245,5,8,0.11522352681100345,-0.006187678241782997,0.07147617510015614,0.010119737952538685,-0.006465078300149745,-0.001093997873590133,0.16828977492188785,-0.03963429758492562,-0.0729365646739982,1.4292121943225697,1.4472453869326836,-0.018033192610113824,1.720851898362441,0.0,0.3784674735247965,0.1941094680145695,2.2178525094129427,1.0,1.0,1.601537475976933,-4.227053140096615,32.534980918232506,0.3541666666666667,0.38235294117647056,0.7851827073747745,56,0.3488372093023256,0.518751969744721,0.0,0.0,0.0,1,2.8912277110662465,2.9281558118193773,0.9919943836557588,4.059037622837192
sz001202,2025-10-28,1.0,0.3966246027622925,0.832258064516128,-0.298864315600722,82.76139430304342,49.0,71.6,0.0,0,0,0,0.3605442176870748,valid,0.2,valid,0,0,0,0,12.078152753108352,12.078152753108352,-1.243339253996456,-2.2498519834221353,-1.243339253996456,-2.131438721136769,0.7696862048549358,-3.1971580817051426,0,0,-0.22999003373704172,-0.17965966735666433,-0.041598383036318375,0.028252564284152848,-0.001491585154763172,0.0,-0.01484393397732749,-0.028029169186131183,0.02377939387909102,1.4515915070410979,1.5187791068894012,-0.06718759984830336,1.4209582775902525,9.315016888081951e-05,-0.3581872437402504,0.20261134410433568,0.4725510118121051,1.0,0.7137404580152672,-1.3434579439252414,-7.095709570957087,22.792095783966605,0.4791666666666667,0.5384615384615384,0.5401133016823707,50,0.32432432432432434,0.4154863078375826,0.0,0.0,0.0,1,1.8405955691894516,2.162740494075388,1.8251702548562676,4.7299982939412955
sz001203,2025-10-09,1.0,0.5544512166407304,0.38636363636363663,1.654846335697413,73.11580632550114,10.0,92.9,1.0,0,0,0,0.2938144329896907,valid,0.1388888888888889,valid,1,1,1,1,59.52380952380953,164.28571428571433,-2.3308270676691722,-3.233082706766932,-3.834586466165424,4.060150375939853,7.6691729323308255,-6.165413533834585,-5,0,-0.05698016462915357,-0.18111572902820897,-0.12273229003543797,-0.025909843827296438,-0.004210666925029506,-0.012465270365858351,-0.10516147633227996,0.007925626026517224,-0.008725427652792706,1.3996736040189162,1.3959928558649985,0.0036807481539176123,1.9617457622093901,1.2497025831547585e-05,-0.4383074699683997,-0.08222990944627437,0.3905232655462333,1.0,1.0,5.910165484633567,-2.467343976777936,13.243422749234716,0.5,0.3958333333333333,0.6282501566306162,78,0.3445378151260504,0.6029040404040404,1.0,0.0,0.0,1,1.510839413379128,3.0751261522627527,3.1408010581001067,2.393640022264143
sz001206,2025-05-07,1.0,0.2572536338085544,1.0210526315789468,2.4820739106453438,74.49970514391651,109.0,65.4,0.0,0,0,0,0.3461538461538461,train,0.2,train,1,0,1,1,35.93750000000002,35.93750000000002,0.1612903225806317,0.7526881720429923,2.204301075268811,30.91397849462365,35.64516129032258,-1.5591397849462507,5,8,-0.011467093443789734,-0.03158780395422546,-0.09053245291902055,-0.002128554253573507,0.009422399851926114,-0.0077294579730366264,0.03333835007054809,0.047993250390896684,-0.0003433269030501702,1.4180411816341554,1.478471194781504,-0.06043001314734853,1.6231265389744545,0.00040386090373999243,0.41416906373667417,0.009748748546130132,2.413954225013849,0.8541176470588233,0.5141643059490084,-3.232533889468203,-5.160960654062352,19.79891735472051,0.4583333333333333,0.55,0.5150462849458294,56,0.4666666666666667,0.6578199052132702,0.0,0.0,1.0,1,2.895739358354632,2.187786622230914,1.1785945141656873,2.533075545981389
sz001207,2025-07-10,1.0,0.5193336942250839,0.8819444444444434,-0.042211903756861346,80.48458001886428,350.0,43.9,0.0,0,0,1,0.2938144329896907,train,0.4444444444444444,train,0,0,0,0,13.116828342471521,18.55757064529733,-0.7142857142857229,-0.588235294117645,1.5966386554621792,1.9747899159663795,7.100840336134451,-1.2184873949579789,5,0,-0.18843203606021589,-0.15845906051907502,0.035333412742433706,-0.031007964866250782,0.03669479604644262,0.016444984087253586,-0.011127272698657433,0.05115417031802703,0.04882633456989247,1.405949911535516,1.5603568841423974,-0.1544069726068813,1.615018343056603,4.4123801626197665e-06,0.7580521400632568,0.5505809976473125,7.266243811881188,0.3955555555555558,0.7655172413793104,-5.424810530514557,-9.017651573292396,21.318260016675733,0.375,0.782608695652174,0.7173780239139218,59,0.2625,0.6145603529782541,0.0,0.0,0.0,1,1.0079354993931533,1.0196516430117653,1.057358498630423,1.1778123296626752
sz001208,2025-10-29,1.0,0.26159082250224264,0.758064516129032,0.49792531120331773,75.56195354877114,27.0,78.8,0.0,0,0,0,0.2938144329896907,valid,0.5208333333333335,valid,0,0,0,1,3.1150159744409045,84.74440894568689,-3.1200000000000006,-1.1200000000000099,1.6000000000000014,0.0,3.279999999999994,-3.599999999999992,0,0,-0.09937104421147097,-0.34019925792509825,-0.17846741283173267,-0.05145738938106961,0.02348481999362644,0.009739387736158208,-0.1343525051459754,0.014462033239396125,0.012310050547909185,1.5906587334210815,1.5843452467480932,0.0063134866729883665,1.343770009415678,6.096065144488139e-06,-0.06302580520507221,0.24568381941380835,0.881421871611266,0.18076923076923035,0.27796610169491526,-14.539249146757683,-14.655760054533062,18.73260977534447,0.4375,0.7954545454545454,0.53455269162718,53,0.3764705882352941,0.47954688483322844,0.0,0.0,0.0,1,3.5133974543947843,4.944800556012119,3.3808477606220633,8.660492177475309
sz001209,2025-03-17,1.0,0.36727204746131387,0.9326424870466309,0.05133470225870962,83.91659933615954,165.0,59.2,0.0,0,0,0,0.2938144329896907,train,0.0925925925925925,train,1,0,0,0,-0.5096839959225385,-0.5096839959225385,-4.051282051282046,-7.333333333333336,-14.66666666666666,-17.28205128205129,0.10256410256410664,-16.153846153846153,-5,-8,-0.13304267133347694,-0.06282242634684725,-0.2634911977665794,-0.09049540791973679,-0.011546608018769439,0.0,-0.16799662547768984,-0.053997151660897164,-0.028564582933405507,1.3621183576959914,1.3790935704721534,-0.016975212776161985,1.5542270285061996,0.0002465367859007448,0.8301397626140713,0.14128463149679796,10.774385993915267,1.0,1.0,0.7186858316221789,-8.403361344537819,42.4932234452964,0.3125,0.7142857142857143,0.783924284583541,58,0.3176470588235294,0.5872514988955506,0.0,0.0,0.0,1,1.0518829821778874,1.5697452470842421,1.730446163000643,0.6931978154597784
sz001216,2025-03-03,1.0,0.6835373427031693,1.0112359550561796,1.067887109077037,86.70178451876717,82.0,68.4,0.0,0,0,0,0.2938144329896907,train,0.4,train,0,0,0,0,5.4114158636026755,5.4114158636026755,0.8283132530120474,-0.07530120481927804,1.6566265060240948,5.19578313253013,6.024096385542177,-1.882530120481929,5,0,0.02240043599263104,-0.2518339198178286,-0.16525132146734442,-0.016996719193328964,0.025993445714334994,0.0,0.008170057513127488,-0.015096508676982624,-0.1013358363083304,1.418788608773739,1.4097734578607264,0.009015150913012526,1.5595294827301112,0.00022033291478831384,0.01053760834302543,0.1613886206347151,1.021299664205284,1.0,1.0,1.6578749058025588,-6.254343293954134,18.690537562763495,0.3125,0.7567567567567568,0.7798153099137858,57,0.3870967741935484,0.5528891695610988,0.0,0.0,0.0,1,-2.9448160267362966,-2.633649480320266,-2.046571633357519,-3.0764249976425684
sz001217,2025-04-16,1.0,0.4174261674486508,0.6666666666666683,-1.2601260126012481,75.46663249990343,468.0,27.8,0.0,0,0,0,0.4677419354838709,train,0.55,train,0,0,0,0,3.866906474820153,13.219424460431672,3.0000000000000027,-2.090909090909099,-2.7272727272727337,-5.818181818181822,5.000000000000004,-5.545454545454542,5,0,-0.017018551682841006,-0.11573132340814567,-0.1741934884543402,0.014888081031548737,0.01763644604152783,0.030318605951848036,0.02928808542846009,-0.0489736030068972,-0.07758391108743877,1.4454466814091698,1.5055458645419861,-0.06009918313281637,1.4928554298911558,5.2246706724938215e-06,0.15727007478229993,0.25423247349539574,1.3732395636518373,0.1904761904761903,0.1904761904761903,-25.168236877523555,-25.21856086079355,16.84625338466356,0.4791666666666667,0.25,0.5366543718127446,41,0.32786885245901637,0.22078740157480314,0.0,0.0,1.0,0,3.2379158733876645,2.152527874515897,2.33335773574348,2.623469204852613
sz001222,2025-01-06,1.0,0.39136322876399776,0.727272727272726,0.11876484560569,76.28534328328378,159.0,58.1,0.0,0,0,0,0.2938144329896907,train,0.5208333333333335,train,1,0,0,0,7.773851590106018,7.773851590106018,0.4753416518122444,-3.3273915626856776,-11.289364230540698,2.614379084967333,8.734402852049916,-13.190730837789655,-5,-8,-0.10004300747403602,-0.08758408360226053,0.021119116212957777,-0.01297514665099491,-0.044395304734862445,-0.004437062105619424,-0.08983846426695685,-0.07573273697473153,-0.016310600370921347,1.4585551144986602,1.5728131653740418,-0.11425805087538166,1.4829372731668735,0.0002613184121905751,0.5938588131803687,0.051490524249354686,3.9243959118290728,0.0,0.0,,-4.927211646136609,14.385443077309434,0.4791666666666667,0.4857142857142857,0.5094229245448978,56,0.3253012048192771,0.45098039215686275,0.0,0.0,0.0,0,-9.13108543143829,-8.002245740987313,-5.326786352087154,-8.64923138115552
sz001223,2025-08-11,1.0,0.8284903542365569,0.3629343629343616,0.6382042253521014,78.55454116902384,74.0,76.8,0.0,0,0,0,0.3605442176870748,train,0.2444444444444444,train,1,0,1,0,21.950189953566902,21.950189953566902,-2.2607225860976077,0.6127192055778607,0.5704627086414504,12.571307838580182,22.079019649271082,-3.465032748785124,5,8,-0.04660224228341082,0.025601895128060718,0.17606666024424145,0.03054323618232307,-0.02676689315980303,-0.013862949746927568,-0.004636629576311491,0.04797848561054636,-0.05138863050294786,1.9135272207825498,1.6430326380612392,0.27049458272131055,1.9561725254032682,0.0001922701466406793,-0.4739207221757084,0.019237347101840746,0.35692508417123453,1.0,0.6624500665778962,2.2442813983599486,-1.9453642384105962,20.766670469588398,0.5416666666666666,0.4117647058823529,0.465156187407529,69,0.31683168316831684,0.7315689981096408,0.0,0.0,0.0,1,3.0304493367472984,2.0765534924821694,1.272711590823028,1.9488948187547317
sz001225,2025-07-22,1.0,0.39364477730501624,0.962825278810411,0.0,83.41092659101042,21.0,85.4,0.0,0,1,0,0.472,train,0.4,train,1,0,1,0,29.61774926490246,29.61774926490246,-1.3031914893617103,10.425531914893615,18.882978723404253,9.122340425531906,28.962765957446802,-2.92553191489362,5,8,-0.09122445232765607,0.30454337078748767,-0.22922576155413638,0.0,0.023063538825517836,0.0181809582202031,0.003960891370323966,0.07962202879470422,0.1257533833306845,1.5243201194039109,1.578195200632755,-0.05387508122884421,1.582718131245057,0.0010374857349711927,-0.5444097659390501,0.0317005482430142,0.2949931061747312,1.0,1.0,2.35294117647058,-6.4750000000000085,18.728508785388346,0.5833333333333334,0.5714285714285714,0.48821007314678455,87,0.19444444444444445,0.5056818181818182,0.0,0.0,0.0,1,3.0152802322704675,3.2340374924176407,2.4854988638649322,3.3917284684382043
sz001226,2025-11-21,1.0,0.5962196457481588,0.6029411764705886,-0.7727975270479082,80.0466757757312,15.0,76.2,0.0,0,0,0,0.4677419354838709,valid,0.2,valid,0,0,0,0,15.221723966118583,26.50722471350273,-2.834107011971654,-3.689225506963101,-2.247740043977531,-1.0505741509894917,2.565355484974341,-5.25287075494747,-5,0,-0.1009581989528857,-0.22076087284306825,-0.11180929100425918,0.05379083283283794,0.015218952984295646,0.0066309167146300346,0.013732227796724856,0.10119910265076817,-0.03082825702984285,1.6061716859186426,1.64498564727324,-0.03881396135459747,2.024482137096097,0.0,0.544818278441286,0.029014510604868194,3.393849544641743,1.0,0.6385390428211589,0.19970044932600128,-5.7746478873239475,16.78949200068064,0.4166666666666667,0.625,0.5653092403032943,25,0.4186046511627907,0.05880503144654088,1.0,0.0,0.0,0,-5.798584672217877,-5.7778123543933635,-3.771109074967871,-6.1522985485811255
sz001228,2025-10-21,1.0,0.37352119367970843,0.4936708860759499,-0.1909854851031345,76.96207776299507,217.0,58.6,0.0,0,0,0,0.2938144329896907,valid,0.1764705882352941,valid,0,0,0,0,9.732894255397007,9.732894255397007,-0.5543237250554278,-2.8824833702882358,-3.47376201034737,0.18477457501848704,3.7694013303769314,-4.6563192904656265,0,0,-0.006039336951727413,-0.20354433790111492,-0.18182036420039152,-0.02114691682247574,0.0,0.06786777271011148,-0.10966658383556131,-0.043918957609496344,-0.01008280285013086,1.3779898914915305,1.438859186877337,-0.06086929538580654,1.489756882255787,0.0009003880717108709,0.4019572148155653,0.07950804492444198,2.344242334406234,1.0,1.0,4.392666157372038,-4.105263157894745,20.897754674094884,0.4375,0.425531914893617,0.6606114915466001,68,0.23595505617977527,0.834593572778828,0.0,0.0,0.0,0,-0.3947483954013675,-0.128243102299741,1.5158872828506142,4.321154610119393
sz001228,2025-11-12,2.0,0.3713516746584343,0.5666666666666662,-0.9200283085633476,76.53449424702455,212.0,51.5,0.0,0,0,0,0.3461538461538461,valid,0.1764705882352941,valid,0,0,0,0,4.204308547602498,4.204308547602498,-1.7482517482517501,1.5034965034965042,-3.286713286713294,-7.202797202797207,4.860139860139845,-3.286713286713294,-5,0,-0.08283855851138439,-0.11454431449671973,-0.22871540698481194,0.028163692745745636,0.05195066309471447,-0.0019272583169020591,-0.007804063256682444,0.04441865566403799,-0.10736746617036846,1.5697580397662951,1.5318138877594711,0.037944152006823995,1.72527771741171,0.0006199950688290216,0.4367383075259173,0.16169316430288583,2.550747417626001,1.0,1.0,1.840056617126673,-3.4228187919463027,22.779069413608795,0.4166666666666667,0.7619047619047619,0.5912620581025475,53,0.32051282051282054,0.3184533165671173,0.0,0.0,0.0,1,0.2881955023636529,0.19237299776009298,0.403066006491537,-1.3961140929948601
