symbol,trade_date,probe_index,oib_ratio,same_day_pullback_ratio,day_gap_pct,probe_strength_score,hot_theme_best_rank,hot_theme_score,hot_theme_is_top10,confirm_d1_pos,confirm_d3_pos,confirm_d5_pos,trend20_probability,trend20_probability_sample_split,target_trend20,target_trend40,high_20d_pct,high_40d_pct
sz000017,2025-11-26,1.0,0.2659964357601996,1.0,-1.2468827930174564,77.25459147685746,59.0,67.6,0.0,0,0,0,0.288135593220339,valid,0,0,15.13583441138422,15.13583441138422
sz000020,2025-05-22,1.0,0.43592902066871003,0.7346938775510189,0.24793388429753538,83.22683839432759,65.0,63.0,0.0,0,0,0,0.1388888888888889,train,1,1,34.733441033925686,34.733441033925686
sz000020,2025-06-26,2.0,0.45914768643610954,1.2318840579710142,0.9985734664764712,79.42377149097263,47.0,69.5,0.0,1,0,0,0.288135593220339,train,0,0,5.3046594982078865,5.3046594982078865
sz000025,2024-09-27,1.0,0.42563027100531214,0.3603603603603603,1.8455228981544725,71.80010540989402,192.0,68.4,0.0,0,0,0,0.1388888888888889,train,1,1,40.03856041131104,40.03856041131104
sz000025,2025-04-01,2.0,0.438634988729474,1.1590909090909092,0.0,79.29430147118073,203.0,60.1,0.0,0,0,0,0.17647058823529413,train,0,0,18.491620111731866,18.491620111731866
sz000031,2025-04-16,1.0,0.7007374947894408,1.0666666666666653,3.3707865168539186,84.50178147571651,49.0,70.8,0.0,0,0,0,0.24444444444444444,train,0,0,5.1470588235293935,5.1470588235293935
sz000031,2025-10-29,2.0,0.8427852940124696,0.5517241379310349,-0.31347962382444194,86.4666349644025,197.0,54.8,0.0,0,1,1,0.5208333333333335,valid,0,0,4.268292682926833,4.268292682926833
sz000032,2025-04-18,1.0,0.3122033526556026,0.5593220338983054,0.8344923504867818,74.46555239437768,22.0,72.6,0.0,0,0,0,0.2,train,0,0,7.09474629546476,7.09474629546476
sz000037,2025-04-25,1.0,0.9192096827217024,0.47169811320754773,-0.23752969121139111,82.81037124090741,4.0,88.6,1.0,0,0,0,0.08955223880597014,train,0,0,1.7064846416382284,16.15472127417521
sz000037,2025-05-30,2.0,0.39475842272731565,1.0952380952380951,3.594080338266381,86.20687861155174,302.0,40.1,0.0,1,0,0,0.2,train,0,0,6.673842841765354,22.820236813778273
sz000037,2025-07-08,3.0,0.32894720408680633,1.0476190476190488,0.09469696969697239,79.51286205775938,337.0,46.6,0.0,0,0,0,0.1388888888888889,train,0,0,3.5137701804368593,3.5137701804368593
sz000045,2025-11-26,1.0,0.4967224088696884,0.5757575757575768,-0.24019215372297342,78.46185879357672,59.0,67.6,0.0,0,0,0,0.10513622424044114,valid,0,0,0.07874015748032814,8.976377952755922
