symbol,trade_date,event_time,business_anchor_time,event_kind,event_role,sequence_label,bar_high_ret_pct,amount_vs_day_median,same_day_pullback_ratio,same_day_later_high_pct,day_gap_pct,day_high_vs_prev_close_pct,day_return_pct,touch_limit_up,broken_limit_up,limit_state_label,probe_strength_score,fwd_1d_close_ret_pct,fwd_3d_close_ret_pct,fwd_5d_close_ret_pct,fwd_10d_high_ret_pct,fwd_20d_close_ret_pct,spark_hit,stable_hit,candidate_sources,top_theme_name,top_theme_rank,business_comment
sz000889,2026-04-24,10:10,10:10,launch_day,probe_to_launch,试盘后启动,5.043859649122817,106.99375059589367,0.0,0.0,0.0,10.114942528735638,10.114942528735638,1,0,sealed_up,82.35988139850924,-6.8894,0.4175,1.4614,22.9645,-18.3716,0,0,,,,当日更像正式发动，不属于试一下就收手。
sz000927,2026-04-10,09:30,09:30,launch_day,probe_to_launch,试盘后启动,6.389776357827492,73.30983608042575,0.9499999999999988,0.0,3.300330033003296,9.90099009900991,0.31948881789138905,1,1,broken_up,82.0176666803937,-1.5924,-5.414,-7.6433,0.3185,-11.1465,0,0,,,,当日更像正式发动，不属于试一下就收手。
sz000056,2026-04-21,10:10,10:10,launch_day,probe_to_launch,试盘后启动,5.076142131979688,46.717899478995676,0.0,0.0,4.255319148936176,10.106382978723394,5.612244897959173,1,0,sealed_up,81.76522670180785,-4.3478,-1.9324,-11.5942,0.9662,-36.2319,0,0,,,,当日更像正式发动，不属于试一下就收手。
sz000546,2026-05-08,09:30,09:30,launch_day,probe_to_launch,试盘后启动,8.104575163398685,23.20011089439117,0.7096774193548389,0.0,1.728723404255339,9.97340425531914,2.35294117647058,1,1,broken_up,81.64168348227155,-0.6386,-3.1928,-12.7714,3.8314,,0,0,,,,当日更像正式发动，不属于试一下就收手。
sz002453,2026-04-30,09:30,09:30,launch_day,probe_to_launch,试盘后启动,8.510638297872353,226.46289619175167,0.0,0.0,1.3725490196078383,10.000000000000009,8.510638297872353,1,0,sealed_up,81.52246427541903,9.9822,12.1212,13.7255,20.6774,1.6043,0,0,,,,当日更像正式发动，不属于试一下就收手。
sz003018,2026-03-26,09:30,09:30,launch_day,probe_to_launch,试盘后启动,8.413369189396835,113.61324748957634,0.0,0.0,1.4814814814814836,10.019493177387906,8.413369189396835,1,0,sealed_up,81.12444920314624,-1.5592,3.1184,8.1148,18.1432,102.9766,0,0,,,,当日更像正式发动，不属于试一下就收手。
sz003018,2026-04-08,09:30,09:30,launch_day,probe_to_launch,试盘后启动,8.057851239669422,37.09433361508795,0.2008547008547004,0.0,1.7875920084121866,9.989484752891675,6.439393939393945,1,1,broken_up,81.04723469093604,1.9088,14.7849,15.1407,68.8774,54.0278,0,0,,,,当日更像正式发动，不属于试一下就收手。
sz002309,2026-04-02,09:30,09:30,launch_day,probe_to_launch,试盘后启动,9.21052631578949,328.64379186743406,0.0,0.0,0.6622516556291203,9.933774834437092,9.21052631578949,1,0,sealed_up,80.76329119136844,1.004,1.004,-11.6466,9.0361,-7.6305,0,0,,,,当日更像正式发动，不属于试一下就收手。
sz001259,2026-05-21,09:30,09:30,launch_day,probe_to_launch,试盘后启动,8.887523048555623,200.65113431336056,0.0802213001383123,0.0,1.0182540668074003,9.996274680243378,8.174554394591272,1,1,broken_up,80.1470164312482,-10.0,-16.5795,-11.375,,,0,0,,,,当日更像正式发动，不属于试一下就收手。
sz002328,2026-04-09,09:45,09:45,launch_day,probe_to_launch,试盘后启动,5.753739930955115,155.91777842620343,0.0,0.0,-0.5988023952095634,10.059880239520957,10.722891566265048,1,0,sealed_up,80.07309640489233,10.0109,28.8357,45.8107,47.7693,16.4309,0,0,,,,当日更像正式发动，不属于试一下就收手。
sz002150,2026-03-11,09:45,09:45,launch_day,probe_to_launch,试盘后启动,6.265664160400997,114.63367804473775,0.0,0.0,-0.4818383988139274,10.007412898443292,10.540037243947854,1,0,sealed_up,79.54639047893588,10.0067,6.8059,11.5229,33.1199,10.4447,0,0,,,,当日更像正式发动，不属于试一下就收手。
sz002962,2026-06-02,09:40,09:40,launch_day,probe_to_launch,试盘后启动,7.455012853470433,193.46542529408077,0.0,0.0,-2.368421052631575,9.999999999999986,12.668463611859826,1,0,sealed_up,79.00094716468311,-2.9187,,,,,0,0,,,,当日更像正式发动，不属于试一下就收手。
sz002800,2026-03-06,09:30,09:55,launch_day,probe_to_launch,试盘后启动,9.743589743589753,27.174671403712892,0.5833333333333323,0.2725856697819218,-0.042716787697572034,9.995728321230235,4.059829059829068,1,1,broken_up,78.97253222418976,-3.8193,-0.3285,-2.1355,2.6694,-23.5318,0,0,,,,当日更像正式发动，不属于试一下就收手。
sz000582,2026-06-03,13:00,13:00,launch_day,probe_to_launch,试盘后启动,4.955872369314318,12.446535470859715,0.7534246575342471,0.0,0.1423487544483848,10.035587188612105,5.970149253731338,1,1,broken_up,78.91940863978915,,,,,,0,0,,,,当日更像正式发动，不属于试一下就收手。
