symbol,trade_date,event_time,business_anchor_time,event_kind,event_role,sequence_label,probe_index,days_since_prev_probe,bar_high_ret_pct,bar_close_ret_pct,amount_vs_day_median,same_day_pullback_ratio,same_day_later_high_pct,oib_ratio,cvd_ratio,day_gap_pct,day_high_vs_prev_close_pct,day_return_pct,touch_limit_up,broken_limit_up,touch_limit_up_count_5m,limit_state_label,probe_strength_score
sz002281,2026-04-23,09:30,09:30,non_probe,non_probe,,,,5.4705646776131545,4.941930316379661,10.628887674557893,0.0,2.5136695018225907,0.3828157025319241,0.1828039077172244,0.709849157054121,8.889247398564182,5.4705646776131545,0,0,0,normal,66.06288349874399
sz002281,2026-04-24,09:30,09:30,non_probe,non_probe,,,,4.594865469123421,0.1310615989514874,10.211803615713896,1.169463087248326,0.0,0.03997111765312457,-0.024145749602280435,-1.4960510328068,3.030072904009695,-0.7786600878883831,0,0,0,normal,65.80056006259524
sz002281,2026-04-27,09:35,10:35,launch_day,launch_without_probe,直接启动,,,1.94123423219279,1.2991917818566456,7.408457368243271,0.17120622568093152,4.816241849436875,0.2568804077525154,0.035569852493907816,2.0745920745920854,9.914529914529924,2.39780771865723,1,1,2,broken_up,37.618910348803695
sz002281,2026-04-28,09:40,09:40,non_probe,non_probe,,,,2.5403626903359067,2.257249980870757,3.5954249746501636,-0.9006024096385588,5.208566524886216,0.48586231753479087,-0.015059287520009236,-1.873327386262269,4.809693725840014,3.7878787878787845,0,0,0,normal,30.463904789358804
sz002281,2026-04-30,09:30,13:35,launch_day,launch_without_probe,直接启动,,,3.21699992621558,2.1987751789271703,7.093454263148075,-1.006880733944961,4.482093073128901,0.11912207158352191,0.07407949957325005,2.0019567998795784,10.002257846014896,6.456135173024413,1,1,4,broken_up,38.36161100358275
sz002281,2026-05-06,09:30,09:30,non_probe,non_probe,,,,2.8336504484914427,2.7860831747757553,10.798385163924529,0.12230215827338546,4.6058283222097485,0.21724077150363844,0.03462406550736921,1.9961186581646695,9.717216523426675,2.487088882848587,0,0,0,normal,48.306840176254994
sz002281,2026-05-07,10:05,14:15,launch_day,launch_without_probe,直接启动,,,1.9015021867275106,1.8000887367687124,4.420229052678671,-1.1733333333333273,3.1908938234745277,0.33550911933319905,0.2748638517038167,1.2465190293064587,9.998673915926283,7.590045841519322,1,1,2,broken_up,29.90466581559115
sz002281,2026-05-08,13:15,14:50,launch_day,launch_without_probe,直接启动,,,3.286020992366412,3.1011450381679406,3.416683775445141,-1.3666061705989134,4.347826086956519,0.35291791881700746,-0.04936000586025274,-2.6112362286201174,10.00060867977357,12.949999999999996,1,0,3,sealed_up,33.23600873038751
sz002281,2026-05-11,10:00,14:45,launch_day,launch_without_probe,直接启动,,,1.4965986394557929,1.2035583464155009,1.785735832112188,-1.6888111888111752,2.4902041658073637,0.606243623157308,0.1032847817768336,4.022797698096503,9.998893315626379,5.744986435448696,1,0,4,sealed_up,21.9270683194004
sz002281,2026-05-12,09:30,09:30,non_probe,non_probe,,,,1.9898010198980076,-0.6049395060493956,9.110127962347038,0.6281407035175895,2.352941176470602,-0.0152187730984164,-0.023159172940384627,0.6187433975552104,5.035464560591585,0.7399260073992497,0,0,0,normal,40.0800971873327
