symbol,trade_date,probe_index,sequence_label,event_role,oib_ratio,amount_vs_day_median,same_day_pullback_ratio,day_gap_pct,bar_high_ret_pct,bar_close_ret_pct,day_return_pct,big_rise_20d,big_rise_40d,monster_60d,fail_20d,deep_fail_20d,days_to_up_15,days_to_up_20,days_to_up_30,days_to_down_8,days_to_down_15
sz000016,2024-09-03,1,首次试盘,first_probe,0.6809367996183204,16.68357677135481,0.8888888888888888,-2.2727272727272707,6.741573033707882,5.243445692883908,4.263565891472854,1,1,1,0,0,16.0,17.0,18.0,3.0,
sz000020,2025-05-22,1,首次试盘,first_probe,0.43592902066871,34.409715931905836,0.7346938775510189,0.2479338842975353,8.0858085808581,6.188118811881194,2.06100577081616,1,1,1,0,0,18.0,18.0,19.0,,
sz000025,2024-09-27,1,首次试盘,first_probe,0.4256302710053121,15.32353805984228,0.3603603603603603,1.8455228981544725,7.4747474747474785,6.936026936026951,4.429530201342291,1,1,1,0,0,2.0,16.0,17.0,,
sz000151,2024-09-06,1,首次试盘,first_probe,0.463347359710016,29.04718282532918,0.9285714285714276,-0.1100110011001076,7.543103448275867,3.4482758620689724,2.753303964757703,1,1,1,0,0,7.0,11.0,11.0,,
sz000151,2024-10-11,2,重新试盘,retest_probe,0.4823847726937902,40.20652517647603,1.4186046511627894,0.8573655494933607,6.646058732612059,6.1051004636785144,-2.782071097372485,1,1,1,0,0,9.0,11.0,14.0,,
sz000158,2024-09-06,1,首次试盘,first_probe,0.5979527289139696,21.107416360756545,0.509090909090908,0.0,7.713884992987374,5.189340813464227,4.372355430183372,1,1,1,0,0,4.0,5.0,7.0,2.0,
sz000402,2024-10-24,1,首次试盘,first_probe,0.3750142016360863,16.041901354278583,0.9,-1.2307692307692353,6.230529595015577,4.049844236760114,0.6230529595015577,1,1,1,0,0,8.0,9.0,10.0,56.0,
sz000417,2024-10-21,1,首次试盘,first_probe,1.3064777200293212,30.561098975484988,0.4193548387096764,-0.2057613168724437,6.339468302658502,5.316973415132931,4.53608247422681,0,1,1,0,0,25.0,28.0,30.0,,
sz000420,2025-02-19,1,首次试盘,first_probe,0.5944614343858805,26.065045363050324,0.5882352941176479,-0.2890173410404539,4.885057471264376,2.873563218390806,2.898550724637672,1,0,1,0,0,7.0,57.0,58.0,34.0,
sz000420,2025-04-30,2,重新试盘,retest_probe,0.356957609961996,29.23525323486601,0.5789473684210521,0.0,5.36723163841808,3.672316384180796,1.400560224089653,1,1,1,0,0,8.0,8.0,9.0,,
sz000421,2024-09-02,1,首次试盘,first_probe,0.4528214770782038,35.51933156902282,0.6410256410256401,0.0,8.478260869565224,8.043478260869573,3.04347826086957,1,1,1,0,0,18.0,18.0,19.0,,
sz000504,2024-09-26,1,首次试盘,first_probe,0.6063451640143773,14.961729405443617,0.3888888888888901,-1.216216216216226,4.904632152588562,3.542234332425065,3.4199726402188713,1,1,1,0,0,3.0,3.0,13.0,,
