review_group,symbol,trade_date,probe_index,oib_ratio,same_day_pullback_ratio,day_gap_pct,hot_theme_best_rank,confirm_d1_pos,confirm_d3_pos,confirm_d5_pos,limitup_probability,target_limitup
success,sz002031,2024-12-09,2.0,0.3343497170037308,1.0697674418604635,-9.589041095890416,205.0,1,1,0,0.9047619047619048,1
success,sz000818,2025-02-12,1.0,0.28037789318159234,0.7683615819209039,0.14787430683917968,80.0,1,1,1,0.9047619047619048,1
success,sz002636,2025-11-07,1.0,0.5336206206492291,1.1609195402298855,-2.8268551236749095,572.0,1,0,0,0.9047619047619048,1
success,sz002456,2024-11-01,1.0,0.29961792803237397,2.495726495726492,-0.05668934240363743,349.0,1,0,1,0.8214285714285714,1
success,sz001234,2025-06-06,1.0,0.8720356184445959,0.41711229946524103,0.13489208633095107,255.0,0,1,0,0.8214285714285714,1
success,sz000632,2025-10-31,3.0,0.26256156280746257,0.7916666666666676,1.7241379310344973,91.0,1,0,1,0.8214285714285714,1
success,sz002582,2025-02-26,1.0,0.4449820267878475,0.8243243243243233,1.7989417989418,151.0,1,0,0,0.8214285714285714,1
success,sh600653,2024-11-04,1.0,0.2625800983318153,0.9166666666666666,-10.080645161290324,394.0,0,1,0,0.8214285714285714,1
success,sz002348,2025-01-15,2.0,0.33850252814684,0.7,0.32467532467532756,3.0,1,0,0,0.8214285714285714,1
success,sz002777,2024-10-11,2.0,0.48060439987964476,1.2812499999999993,-5.008347245409006,280.0,0,1,0,0.8214285714285714,1
success,sz000595,2024-09-13,1.0,0.9726749982656627,0.7368421052631587,0.4089979550102374,258.0,1,1,1,0.8214285714285714,1
failure,sz002816,2025-04-28,1.0,0.5094431815004996,0.8243243243243233,-0.27247956403269047,443.0,1,1,1,0.9047619047619048,0
failure,sz000908,2024-10-08,1.0,0.6333109835296956,1.0,-4.985337243401755,170.0,1,1,0,0.9047619047619048,0
failure,sz002713,2025-04-28,2.0,1.0217847264671582,0.5357142857142865,-1.2820512820512775,72.0,1,1,1,0.8214285714285714,0
failure,sz002582,2025-05-26,2.0,0.40450134886353767,0.4098360655737709,-9.536082474226815,15.0,0,0,0,0.8214285714285714,0
failure,sz002285,2025-04-08,1.0,0.47824802808078953,0.8461538461538464,-0.9345794392523366,150.0,1,0,0,0.8214285714285714,0
failure,sz002164,2025-05-08,1.0,0.40707247354919707,1.3469387755102051,-4.222451081359424,72.0,1,0,0,0.8214285714285714,0
failure,sz000677,2024-11-04,1.0,0.61805194120541,1.0,-9.967320261437917,386.0,0,0,0,0.8214285714285714,0
failure,sz002492,2025-06-20,1.0,0.34030007741047624,0.9591836734693886,-1.0067114093959662,2.0,1,1,0,0.7647058823529411,0
failure,sz000809,2025-11-11,1.0,0.32965159723139875,0.8285714285714283,0.0,60.0,1,0,0,0.7647058823529411,0
failure,sz002306,2024-12-24,1.0,0.30770230198614773,0.7619047619047606,-8.069164265129691,351.0,0,0,0,0.7647058823529411,0
failure,sz002577,2025-04-08,2.0,0.6953783603661462,1.0,-9.979423868312765,390.0,0,0,0,0.7647058823529411,0
failure,sz002971,2025-11-06,1.0,0.5214037099271839,0.6296296296296291,0.1315443304393593,30.0,0,1,1,0.7647058823529411,0
failure,sz001259,2024-11-26,1.0,0.6040726054935676,1.1772727272727277,-2.664636467453363,163.0,0,1,0,0.7647058823529411,0
failure,sz003001,2025-04-07,1.0,0.4222982380668237,2.368715083798885,-3.6207345662933044,290.0,0,0,0,0.6666666666666666,0
failure,sz000656,2024-11-25,1.0,0.47874865874271705,1.1111111111111112,-0.5988023952095856,568.0,0,0,0,0.472,0
failure,sz002134,2025-03-05,1.0,0.48373693795116324,0.6808510638297852,-0.3544528134692193,27.0,1,0,0,0.472,0
failure,sz002871,2025-01-02,1.0,0.48323796158058496,2.52542372881356,-1.898734177215189,162.0,0,0,0,0.472,0
failure,sz002193,2024-09-05,1.0,0.7805293912556596,1.0,-0.26109660574412663,128.0,0,0,0,0.472,0
failure,sz002520,2024-12-09,1.0,0.44039407512599427,1.4056603773584901,-8.571428571428562,39.0,0,0,0,0.472,0
failure,sz000796,2024-12-24,1.0,0.6117988307005676,0.37037037037037174,-6.960556844547561,195.0,0,0,0,0.472,0
failure,sz002052,2024-11-13,2.0,0.9276505821912944,0.9523809523809512,-3.0612244897959218,81.0,0,0,1,0.472,0
failure,sz002156,2025-04-07,1.0,0.622681491087618,1.1025641025641035,-9.532780708364719,332.0,0,0,0,0.472,0
failure,sz000056,2025-04-11,3.0,0.6309359028207312,0.6800000000000015,-0.3154574132492094,12.0,0,0,1,0.472,0
failure,sz002771,2025-11-24,1.0,0.6015179483704152,0.4252873563218397,-0.11976047904190823,12.0,0,0,0,0.472,0
failure,sz002054,2024-11-27,1.0,0.40430253534250293,1.4558823529411773,-4.862023653088043,423.0,0,1,0,0.472,0
failure,sz002149,2025-01-13,1.0,0.39431092407700796,0.8351648351648367,-4.006497022198152,21.0,0,0,0,0.472,0
failure,sz002210,2025-10-31,2.0,0.8549160635185888,0.6818181818181802,-0.4987531172069737,129.0,1,0,0,0.472,0
failure,sz002885,2025-01-20,1.0,0.259323377859916,0.7580645161290342,1.0517799352750767,31.0,1,0,0,0.472,0
failure,sz000619,2024-12-16,1.0,0.3869269986352153,1.7115384615384581,-0.35756853396902155,293.0,0,0,0,0.472,0
failure,sz002768,2025-08-01,1.0,0.5188768879570033,1.0925110132158595,-0.2773155851358844,86.0,1,0,0,0.472,0
