symbol,trade_date,event_time,business_anchor_time,event_kind,event_role,sequence_label,probe_strength_score,fwd_1d_close_ret_pct,fwd_1d_high_ret_pct,fwd_1d_low_ret_pct,fwd_3d_close_ret_pct,fwd_3d_high_ret_pct,fwd_3d_low_ret_pct,fwd_5d_close_ret_pct,fwd_5d_high_ret_pct,fwd_5d_low_ret_pct,fwd_10d_close_ret_pct,fwd_10d_high_ret_pct,fwd_10d_low_ret_pct,fwd_20d_close_ret_pct,fwd_20d_high_ret_pct,fwd_20d_low_ret_pct,fwd_10d_max_runup_pct,fwd_10d_max_drawdown_pct
sh603216,2026-03-06,09:30,11:05,launch_day,launch_without_probe,直接启动,28.18,0.315,2.6772,-2.8871,-1.3911,2.6772,-2.8871,-5.9055,2.6772,-6.2205,-11.9685,2.6772,-12.5984,-16.9291,2.6772,-18.6352,2.6772,-12.5984
sh603216,2026-04-09,10:10,13:00,launch_day,launch_without_probe,直接启动,42.95,-7.9135,1.862,-8.6254,-17.6616,1.862,-18.8664,-15.471,1.862,-18.8664,-18.6473,1.862,-19.4962,-20.4272,1.862,-21.4403,1.862,-19.4962
sh603216,2026-04-15,09:40,10:55,launch_day,launch_without_probe,直接启动,50.11,-6.934,-2.0199,-8.2906,-6.6928,-2.0199,-10.1598,-7.6877,-2.0199,-10.1598,-10.823,-2.0199,-13.5062,-13.3554,-2.0199,-17.6063,-2.0199,-13.5062
sh603216,2026-05-13,09:30,11:10,launch_day,launch_without_probe,直接启动,36.58,-9.4151,-0.2815,-9.9468,-10.1032,-0.2815,-14.5136,-13.5127,-0.2815,-16.015,-21.9581,-0.2815,-22.7088,,,,-0.2815,-22.7088
sh603216,2026-05-21,10:05,14:05,launch_day,launch_without_probe,直接启动,43.26,-6.9346,0.9602,-10.633,-8.8549,0.9602,-10.633,-11.0953,0.9602,-12.34,,,,,,,,
sh603217,2026-03-26,09:30,09:45,launch_day,launch_without_probe,直接启动,60.02,2.4311,3.2415,-1.0535,-0.3647,6.3614,-1.0535,5.3079,6.483,-1.0535,5.3485,10.4538,-1.5397,19.53,24.7974,-1.5397,10.4538,-1.5397
sh603217,2026-04-10,10:50,11:00,launch_day,launch_without_probe,直接启动,50.89,-0.8462,1.5385,-1.4231,-1.4615,1.5385,-2.7308,1.7308,2.2692,-2.7308,13.4615,18.4615,-2.7308,13.5,23.7692,-2.7308,18.4615,-2.7308
sh603220,2026-03-18,13:15,13:20,launch_day,launch_without_probe,直接启动,34.96,-0.6168,2.9753,-0.7257,-12.5544,2.9753,-13.0624,-5.5878,2.9753,-14.2961,-4.6081,2.9753,-14.8041,15.8563,15.8563,-14.8041,2.9753,-14.8041
sh603220,2026-04-16,13:00,13:00,launch_day,launch_without_probe,直接启动,57.33,0.9709,4.0714,-1.0022,-7.6417,4.0714,-9.5521,7.2033,7.2033,-9.5521,-11.4626,7.2033,-13.8741,4.4472,8.3307,-13.8741,7.2033,-13.8741
sh603220,2026-04-22,09:40,09:40,launch_day,launch_without_probe,直接启动,72.96,10.0643,10.0643,-0.5466,1.4469,10.0643,-0.7074,-6.9132,10.0643,-8.9068,0.0,10.0643,-11.5756,-11.3826,11.2219,-11.5756,10.0643,-11.5756
sh603220,2026-04-23,09:30,13:55,launch_day,launch_without_probe,直接启动,42.62,-6.9822,-2.1326,-9.6115,-14.6071,-2.1326,-15.6296,-17.4116,-2.1326,-19.6611,-12.5621,-2.1326,-19.6611,-23.3421,1.0517,-26.2927,-2.1326,-19.6611
sh603221,2026-05-26,09:30,09:30,launch_day,launch_without_probe,直接启动,68.19,-3.7946,1.8601,-4.3155,-8.5565,1.8601,-9.5982,-5.2827,1.8601,-9.8958,,,,,,,,
sh603222,2026-04-02,13:35,13:35,launch_day,launch_without_probe,直接启动,72.46,3.1527,8.3744,-2.9557,4.8276,13.4975,-2.9557,0.7882,13.4975,-2.9557,3.9409,13.4975,-2.9557,-0.3941,13.4975,-10.0493,13.4975,-2.9557
sh603222,2026-04-07,10:25,14:35,launch_day,launch_without_probe,直接启动,61.95,-5.5901,-0.0887,-6.7436,-9.228,-0.0887,-12.3336,-10.9139,-0.0887,-12.3336,-8.5182,-0.0887,-12.3336,-9.9379,-0.0887,-18.9885,-0.0887,-12.3336
sh603223,2026-05-22,13:00,13:05,launch_day,launch_without_probe,直接启动,70.42,5.9813,10.0,2.6168,-2.6168,11.9626,-2.6168,-7.2897,11.9626,-8.2243,,,,,,,,
sh603223,2026-05-25,09:30,09:35,launch_day,launch_without_probe,直接启动,71.04,2.1164,2.4691,-0.97,-8.3774,5.6437,-11.1993,-11.552,5.6437,-13.4039,,,,,,,,
sh603225,2026-06-01,09:55,10:50,launch_day,launch_without_probe,直接启动,39.69,3.7904,5.0167,-1.9509,,,,,,,,,,,,,,
sh603226,2026-05-07,09:50,13:05,launch_day,launch_without_probe,直接启动,48.21,3.132,8.8814,0.7159,2.1029,8.8814,0.6711,1.7897,8.8814,-0.179,11.8568,18.5459,-1.1857,,,,18.5459,-1.1857
sh603228,2026-04-27,09:35,09:40,launch_day,launch_without_probe,直接启动,44.77,-2.7339,0.8494,-4.4592,-6.8746,0.8494,-7.432,-1.4864,1.3006,-7.7638,-1.7916,6.8348,-7.7638,7.7903,19.3099,-9.6749,6.8348,-7.7638
sh603228,2026-05-22,09:30,09:30,launch_day,launch_without_probe,直接启动,64.52,5.3576,8.7273,2.5576,-0.0606,8.9697,-0.9091,-4.0242,8.9697,-6.0606,,,,,,,,
sh603232,2026-03-05,09:55,10:25,launch_day,launch_without_probe,直接启动,53.04,0.4669,1.8677,-2.9961,1.1673,3.2296,-4.2802,-3.6576,3.2296,-4.6304,-13.3852,3.2296,-14.0078,-25.4475,3.2296,-25.8366,3.2296,-14.0078
sh603236,2026-06-03,09:30,09:35,launch_day,launch_without_probe,直接启动,57.87,,,,,,,,,,,,,,,,,
sh603239,2026-03-30,13:00,13:00,launch_day,launch_without_probe,直接启动,69.28,1.9608,2.5149,-1.705,2.6854,4.1773,-1.705,11.6368,12.1057,-1.705,2.7707,13.1287,-1.705,6.3512,13.1287,-1.7477,13.1287,-1.705
sh603248,2026-03-13,09:35,09:40,launch_day,launch_without_probe,直接启动,61.86,10.0,10.0,-1.773,14.8582,29.4326,-1.773,2.1277,29.4326,-1.773,2.9787,29.4326,-8.8298,0.0709,29.4326,-8.8298,29.4326,-8.8298
sh603248,2026-03-16,10:20,14:45,launch_day,launch_without_probe,直接启动,57.63,9.9936,9.9936,-1.7086,-4.0941,17.666,-4.9968,-11.7666,17.666,-13.0883,-7.9304,17.666,-17.118,-13.5074,17.666,-17.118,17.666,-17.118
sh603248,2026-03-17,09:30,10:15,launch_day,launch_without_probe,直接启动,72.66,-5.0703,6.9754,-7.5322,-15.592,6.9754,-18.5229,-17.3505,6.9754,-23.5053,-19.9004,6.9754,-24.6483,-20.0762,6.9754,-24.6483,6.9754,-24.6483
sh603248,2026-03-27,09:35,09:50,launch_day,launch_without_probe,直接启动,59.35,-1.6529,2.135,-2.7893,3.5468,3.5468,-5.9573,2.135,6.2672,-5.9573,-2.8237,8.4711,-5.9573,-11.708,8.4711,-15.3581,8.4711,-5.9573
sh603248,2026-04-01,09:30,09:35,launch_day,launch_without_probe,直接启动,65.57,-2.1949,2.6272,-2.8932,0.7316,2.6272,-4.6225,-0.2993,4.7556,-4.6225,-9.8437,4.7556,-13.4686,-14.8321,4.7556,-18.5234,4.7556,-13.4686
sh603248,2026-05-06,09:30,09:40,launch_day,launch_without_probe,直接启动,49.33,5.5733,7.9872,1.1715,7.1707,8.8037,1.1715,5.9638,8.8037,1.1715,15.0515,16.6844,1.1715,-8.1292,16.6844,-11.2531,16.6844,1.1715
sh603248,2026-05-15,10:10,10:25,launch_day,launch_without_probe,直接启动,52.9,-1.4241,4.019,-1.8987,2.5633,4.019,-2.9747,-6.3608,4.019,-9.1456,-17.057,4.019,-17.2785,,,,4.019,-17.2785
sh603256,2026-03-30,09:30,09:45,launch_day,launch_without_probe,直接启动,62.27,-2.8971,1.1921,-4.2418,-5.2398,6.8201,-7.0834,-4.3526,6.8201,-7.0834,36.1658,36.1658,-7.0834,51.9961,57.4161,-7.0834,36.1658,-7.0834
sh603256,2026-04-10,10:00,10:05,launch_day,launch_without_probe,直接启动,58.81,10.0025,10.0025,-0.2956,25.7453,32.7913,-0.2956,29.7118,34.9717,-0.2956,31.8059,39.8867,-0.2956,80.1183,88.7164,-0.2956,39.8867,-0.2956
sh603256,2026-04-13,09:30,09:40,launch_day,launch_without_probe,直接启动,64.93,10.0,10.0,5.2632,13.6618,20.7167,5.2632,16.4166,22.6988,5.2632,19.1713,27.1669,5.2632,58.8242,71.5566,5.2632,27.1669,5.2632
sh603256,2026-04-15,09:30,09:30,launch_day,launch_without_probe,直接启动,62.17,-0.5682,2.8507,-3.1348,1.8417,7.3374,-4.1928,5.1626,7.6607,-4.1928,18.1622,18.1622,-4.1928,28.8009,50.0784,-4.1928,18.1622,-4.1928
sh603256,2026-04-29,09:30,09:40,launch_day,launch_without_probe,直接启动,59.61,-1.426,4.0458,-7.8428,19.4744,19.4744,-7.8428,24.3409,27.0104,-7.8428,9.0035,27.0104,-7.8428,50.8373,72.4424,-7.8428,27.0104,-7.8428
