review_group,symbol,trade_date,probe_index,oib_ratio,same_day_pullback_ratio,day_gap_pct,hot_theme_best_rank,confirm_d1_pos,confirm_d3_pos,confirm_d5_pos,trend20_probability,target_trend20
failure,sz002882,2024-11-12,1.0,0.8978238119298618,0.9080459770114959,0.4449388209121219,461.0,1,0,0,0.7241379310344828,0
failure,sz002348,2025-02-19,3.0,0.34360779016305143,0.5517241379310334,0.28901734104047616,112.0,1,1,0,0.7241379310344828,0
failure,sz002562,2025-04-23,1.0,0.27317379915996637,0.6129032258064536,-0.23474178403755097,2.0,1,1,0,0.7241379310344828,0
failure,sz000016,2025-02-24,3.0,0.4469899381038647,0.965517241379311,1.486988847583648,111.0,0,0,1,0.7241379310344828,0
failure,sz000727,2025-11-24,1.0,0.5198914904848367,1.0,0.3937007874015741,47.0,0,0,1,0.7241379310344828,0
failure,sz001324,2025-07-23,1.0,0.36992794584779765,0.9900990099009885,-0.14471780028944004,160.0,1,1,0,0.7241379310344828,0
failure,sz003007,2025-03-20,1.0,0.3486320042930833,1.080213903743315,-0.05730659025786622,141.0,1,0,0,0.7241379310344828,0
failure,sz001269,2025-03-25,1.0,0.35369072063714485,0.8445945945945944,-0.17021276595744483,157.0,0,1,0,0.7241379310344828,0
failure,sh600831,2025-11-10,1.0,0.2617158275719063,0.5128205128205126,-3.992015968063878,28.0,1,0,0,0.5954268841317825,0
failure,sz002871,2025-01-02,1.0,0.48323796158058496,2.52542372881356,-1.898734177215189,162.0,0,0,0,0.575,0
failure,sz002591,2025-01-09,1.0,0.47557914217400776,1.1000000000000003,-0.39920159680637557,97.0,0,1,0,0.575,0
failure,sz002685,2025-01-09,1.0,0.27484472302571067,0.7083333333333337,-1.0954616588419341,85.0,0,0,0,0.575,0
failure,sz000809,2025-11-11,1.0,0.32965159723139875,0.8285714285714283,0.0,60.0,1,0,0,0.575,0
failure,sz002055,2024-12-30,1.0,0.5589122227285374,0.5974025974025982,-9.953161592505843,106.0,0,0,1,0.575,0
failure,sz002861,2024-12-17,1.0,0.33983315879194864,2.4729729729729724,0.1335113484646211,50.0,1,0,0,0.575,0
failure,sz000785,2024-12-26,1.0,0.32637709886509664,0.6190476190476194,-1.5789473684210464,36.0,0,0,1,0.575,0
failure,sz001255,2025-01-14,1.0,0.4970003138809091,0.6646525679758298,-0.6603773584905714,91.0,0,1,0,0.575,0
failure,sz002952,2024-10-21,1.0,0.39377203405275674,0.6715328467153266,0.48076923076922906,139.0,0,1,1,0.575,0
failure,sz002528,2025-02-06,1.0,0.6431466270059865,0.3888888888888901,-5.138339920948609,90.0,0,0,0,0.575,0
failure,sh600289,2025-04-25,2.0,0.4701056238497887,0.8571428571428575,-4.966887417218535,125.0,1,0,0,0.575,0
failure,sz002899,2024-12-19,2.0,0.3645402510145341,1.151898734177214,0.9926629261976627,324.0,1,0,0,0.575,0
failure,sz002902,2024-11-04,2.0,0.35798758540539,0.3614457831325288,-2.899159663865547,49.0,0,1,0,0.575,0
failure,sz000056,2025-04-11,3.0,0.6309359028207312,0.6800000000000015,-0.3154574132492094,12.0,0,0,1,0.575,0
failure,sz002149,2025-01-13,1.0,0.39431092407700796,0.8351648351648367,-4.006497022198152,21.0,0,0,0,0.575,0
failure,sz002141,2024-09-10,1.0,0.9962109724854978,1.7499999999999973,-0.694444444444442,295.0,0,0,0,0.575,0
failure,sz002492,2025-06-20,1.0,0.34030007741047624,0.9591836734693886,-1.0067114093959662,2.0,1,1,0,0.575,0
failure,sz001234,2025-06-06,1.0,0.8720356184445959,0.41711229946524103,0.13489208633095107,255.0,0,1,0,0.575,0
failure,sz002885,2025-01-20,1.0,0.259323377859916,0.7580645161290342,1.0517799352750767,31.0,1,0,0,0.55,0
