symbol,trade_date,event_role,probe_index,sequence_label,eligible_1d,close_1d_pct,high_1d_pct,low_1d_pct,eligible_3d,close_3d_pct,high_3d_pct,low_3d_pct,eligible_5d,close_5d_pct,high_5d_pct,low_5d_pct,eligible_10d,close_10d_pct,high_10d_pct,low_10d_pct,eligible_20d,close_20d_pct,high_20d_pct,low_20d_pct,eligible_40d,close_40d_pct,high_40d_pct,low_40d_pct,days_to_up_0,days_to_up_3,days_to_up_5,days_to_up_8,days_to_up_10,days_to_up_15,days_to_up_20,days_to_down_3,days_to_down_5,days_to_down_8,days_to_down_10,days_to_down_15,ever_recover_10d,ever_recover_20d,ever_up_5_10d,ever_up_8_10d,ever_down_5_10d,ever_down_8_10d,never_recover_10d,never_recover_20d,down5_before_up5_10d,down8_before_up8_10d
sz002154,2025-11-14,first_probe,1,首次试盘,1,1.4150943396226356,2.3584905660377187,0.2358490566037652,1,1.6509433962264008,6.132075471698117,-0.9433962264150941,1,-5.4245283018868,6.132075471698117,-5.660377358490576,1,-3.0660377358490587,6.132075471698117,-6.839622641509435,1,-7.547169811320764,6.132075471698117,-8.018867924528305,0,,,,1.0,2.0,2.0,,,,,5.0,5.0,20.0,,,1,1,1,0,1,1,0,0,0,1
sz002156,2025-04-07,first_probe,1,首次试盘,1,-4.646295521138544,0.9208874005860235,-7.492674759313511,1,0.6697362913352878,2.9719547928003465,-10.004185851820846,1,9.250732524068649,10.757639179573042,-10.004185851820846,1,7.325240686479706,10.757639179573042,-10.004185851820846,1,10.087902888237753,11.259941398074492,-10.004185851820846,1,-0.0837170364169082,11.259941398074492,-10.004185851820846,1.0,4.0,4.0,4.0,4.0,,,1.0,1.0,2.0,2.0,,1,1,1,1,1,1,0,0,1,1
sz002156,2025-09-02,retest_probe,2,重新试盘,1,3.5735207967193983,8.758055067369664,-2.606912712360865,1,-5.653192735793788,8.758055067369664,-11.364967779730517,1,-8.582308142940832,8.758055067369664,-11.364967779730517,1,-1.991798476859985,8.758055067369664,-11.364967779730517,1,17.66256590509667,20.269478617457537,-11.364967779730517,1,17.633274751025183,40.56824838898654,-11.364967779730517,1.0,1.0,1.0,1.0,16.0,17.0,20.0,2.0,2.0,3.0,3.0,,1,1,1,1,1,1,0,0,0,0
sz002160,2025-03-28,first_probe,1,首次试盘,1,-4.8309178743961345,1.2077294685990614,-6.28019323671497,1,-4.589371980676315,1.2077294685990614,-6.28019323671497,1,-14.251207729468597,1.2077294685990614,-14.251207729468597,1,-12.56038647342994,1.2077294685990614,-27.053140096618357,1,-11.835748792270529,1.2077294685990614,-27.053140096618357,1,-5.797101449275354,2.1739130434782705,-27.053140096618357,1.0,,,,,,,1.0,1.0,5.0,5.0,6.0,1,1,0,0,1,1,0,0,1,1
sz002161,2025-06-13,first_probe,1,首次试盘,1,-1.1173184357541888,0.9776536312849249,-3.6312849162011163,1,-4.60893854748603,0.9776536312849249,-8.519553072625708,1,-12.849162011173188,0.9776536312849249,-12.988826815642451,1,-8.379888268156432,0.9776536312849249,-13.966480446927376,1,-9.77653631284916,0.9776536312849249,-13.966480446927376,1,10.754189944134062,18.29608938547487,-13.966480446927376,1.0,23.0,23.0,30.0,30.0,31.0,,1.0,2.0,3.0,5.0,,1,1,1,1,1,1,0,0,1,1
sz002162,2024-09-19,first_probe,1,首次试盘,1,-2.950819672131144,0.3278688524590345,-3.60655737704918,1,-2.2950819672131084,0.3278688524590345,-5.573770491803276,1,2.2950819672131306,2.2950819672131306,-5.573770491803276,1,9.836065573770503,26.885245901639365,-5.573770491803276,1,11.8032786885246,26.885245901639365,-5.573770491803276,1,16.72131147540985,34.0983606557377,-5.573770491803276,1.0,6.0,6.0,6.0,7.0,7.0,8.0,1.0,2.0,,,,1,1,1,1,1,0,0,0,1,0
sz002162,2025-02-27,retest_probe,2,重新试盘,1,5.277044854881274,10.026385224274414,-2.37467018469657,1,5.277044854881274,15.567282321899722,-2.37467018469657,1,4.221635883905006,15.567282321899722,-2.37467018469657,1,21.899736147757267,27.968337730870708,-2.37467018469657,1,12.137203166226907,51.978891820580465,-2.37467018469657,1,9.234828496042201,51.978891820580465,-15.567282321899734,1.0,1.0,1.0,1.0,1.0,2.0,7.0,26.0,27.0,27.0,28.0,28.0,1,1,1,1,1,1,0,0,0,0
sz002162,2025-04-25,retest_probe,3,重新试盘,1,-5.5555555555555465,0.24154589371983004,-5.5555555555555465,1,-4.589371980676315,0.24154589371983004,-6.763285024154586,1,0.9661835748792313,6.038647342995174,-6.763285024154586,1,2.1739130434782705,6.038647342995174,-6.763285024154586,1,-1.6908212560386326,7.246376811594213,-6.763285024154586,1,3.1400966183574797,19.806763285024154,-6.763285024154586,1.0,5.0,5.0,22.0,23.0,23.0,,1.0,1.0,,,,1,1,1,1,1,0,0,0,1,0
sz002162,2025-11-26,retest_probe,4,重新试盘,1,5.590062111801242,9.937888198757761,-1.242236024844734,1,3.31262939958592,9.937888198757761,-1.242236024844734,1,7.660455486542439,12.62939958592133,-1.242236024844734,1,6.62525879917184,13.871635610766052,-1.242236024844734,1,-2.898550724637672,15.527950310559003,-9.523809523809524,0,,,,1.0,1.0,1.0,1.0,5.0,11.0,,12.0,12.0,13.0,,,1,1,1,1,1,1,0,0,0,0
sz002163,2025-05-09,first_probe,1,首次试盘,1,-2.5470653377629993,-0.6644518272425071,-3.543743078626782,1,-4.540420819490587,-0.6644518272425071,-6.201550387596888,1,-3.875968992248058,-0.6644518272425071,-6.201550387596888,1,-8.748615725359898,-0.6644518272425071,-8.859357696566983,1,-2.5470653377629993,2.436323366555926,-10.077519379844968,1,3.100775193798455,9.302325581395344,-10.077519379844968,19.0,33.0,33.0,39.0,,,,1.0,3.0,9.0,11.0,,1,1,1,1,1,1,1,0,1,1
sz002163,2025-10-20,retest_probe,2,重新试盘,1,1.8298261665141924,3.385178408051237,-3.6596523330283626,1,-0.7319304666056681,3.385178408051237,-3.6596523330283626,1,-3.934126258005488,3.385178408051237,-4.117108874656905,1,31.473010064043905,31.473010064043905,-4.117108874656905,1,43.3668801463861,65.32479414455628,-4.117108874656905,1,46.84354986276305,73.10155535224156,-4.117108874656905,1.0,1.0,7.0,7.0,8.0,8.0,9.0,1.0,,,,,1,1,1,1,0,0,0,0,0,0
sz002164,2025-05-08,first_probe,1,首次试盘,1,6.07621009268795,9.98970133882593,-2.1627188465499603,1,2.2657054582904124,14.418125643666313,-2.1627188465499603,1,2.0597322348094638,14.418125643666313,-2.1627188465499603,1,-5.56127703398559,14.418125643666313,-6.28218331616891,1,-9.371781668383106,14.418125643666313,-11.637487126673541,1,-7.929969104016488,14.418125643666313,-15.75695159629249,1.0,1.0,1.0,1.0,2.0,,,6.0,10.0,12.0,16.0,31.0,1,1,1,1,1,1,0,0,0,0
sz002164,2025-09-10,retest_probe,2,重新试盘,1,0.35945363048166534,1.1502516175413424,-2.3005032350826737,1,-2.3005032350826737,1.1502516175413424,-2.5161754133716685,1,5.17613227893603,7.620416966211363,-2.588066139468004,1,14.162473040977709,16.319194823867722,-2.9475197699496802,1,-0.5751258087706712,16.319194823867722,-5.463695183321349,1,-10.999281092739032,16.319194823867722,-11.35873472322071,1.0,4.0,5.0,6.0,6.0,10.0,,17.0,17.0,25.0,39.0,,1,1,1,1,1,1,0,0,0,0
sz002165,2025-08-21,first_probe,1,首次试盘,1,-3.3570701932858604,-1.831129196337744,-4.883011190233977,1,-3.560528992878942,-1.831129196337744,-5.28992878942014,1,2.0345879959308144,2.0345879959308144,-8.036622583926768,1,6.714140386571721,11.597151576805697,-8.036622583926768,1,-5.086469989827059,11.597151576805697,-8.036622583926768,1,-13.326551373346906,11.597151576805697,-15.564598168870802,5.0,6.0,6.0,10.0,10.0,,,1.0,3.0,5.0,23.0,23.0,1,1,1,1,1,1,0,0,1,1
sz002165,2025-11-17,retest_probe,2,重新试盘,1,-3.532008830022082,-0.551876379690952,-4.856512141280367,1,-6.732891832229592,-0.551876379690952,-7.174392935982343,1,-13.024282560706412,-0.551876379690952,-15.011037527593817,1,-10.375275938189855,-0.551876379690952,-15.011037527593817,1,-16.335540838852104,-0.551876379690952,-19.646799116997794,0,,,,,,,,,,,1.0,2.0,4.0,4.0,5.0,0,0,0,0,1,1,1,1,1,1
sz002172,2024-10-30,first_probe,1,首次试盘,1,0.3278688524590345,1.6393442622950838,-0.6557377049180357,1,-2.6229508196721207,1.6393442622950838,-3.60655737704918,1,4.918032786885251,5.573770491803298,-3.60655737704918,1,7.540983606557372,17.04918032786886,-3.60655737704918,1,7.868852459016407,17.04918032786886,-3.60655737704918,1,13.442622950819683,43.27868852459018,-3.60655737704918,1.0,5.0,5.0,6.0,6.0,7.0,23.0,2.0,,,,,1,1,1,1,0,0,0,0,0,0
sz002172,2024-11-08,retest_probe,2,重新试盘,1,-2.0588235294117574,0.0,-4.411764705882348,1,-3.529411764705881,3.8235294117646923,-5.294117647058815,1,-8.823529411764696,3.8235294117646923,-8.823529411764696,1,-7.352941176470584,3.8235294117646923,-11.764705882352944,1,8.823529411764719,9.411764705882364,-11.764705882352944,1,-8.823529411764696,28.52941176470589,-14.411764705882346,1.0,2.0,16.0,16.0,21.0,23.0,26.0,1.0,3.0,5.0,6.0,,1,1,1,1,1,1,0,0,1,1
sz002172,2025-02-28,retest_probe,3,重新试盘,1,2.2922636103151817,3.151862464183375,-0.5730659025787954,1,-0.5730659025787954,3.151862464183375,-1.7191977077363862,1,-1.7191977077363862,3.151862464183375,-2.5787965616045905,1,16.045845272206293,18.911174785100293,-2.5787965616045905,1,-2.2922636103151928,18.911174785100293,-3.4383954154727836,1,-2.865329512893988,18.911174785100293,-20.057306590257884,1.0,1.0,6.0,7.0,7.0,10.0,,16.0,21.0,25.0,25.0,26.0,1,1,1,1,1,1,0,0,0,0
