symbol,trade_date,event_role,probe_index,sequence_label,bar_high_ret_pct,bar_close_ret_pct,amount_vs_day_median,same_day_pullback_ratio,same_day_later_high_pct,oib_ratio,cvd_ratio,day_gap_pct,day_high_vs_prev_close_pct,day_return_pct,touch_limit_up,broken_limit_up,touch_limit_up_count_5m,probe_strength_score,eligible_10d,high_10d_pct,low_10d_pct,close_10d_pct,eligible_20d,high_20d_pct,low_20d_pct,close_20d_pct,eligible_40d,high_40d_pct,low_40d_pct,close_40d_pct,eligible_60d,high_60d_pct,low_60d_pct,close_60d_pct,days_to_up_5,days_to_up_8,days_to_up_10,days_to_up_15,days_to_up_20,days_to_up_30,days_to_up_40,days_to_down_5,days_to_down_8,days_to_down_10,days_to_down_15,days_to_down_20,big_rise_20d,big_rise_40d,monster_60d,fail_20d,deep_fail_20d,down8_before_up15_20d,oib_top20,strength_top20,second_or_third,second_third_oib20,second_third_strength20,second_third_oib20_pullback50,second_third_oib20_pullback35_80
sh600353,2025-09-02,retest_probe,2,重新试盘,8.020050125313283,6.566416040100265,14.351552898247784,1.4562499999999998,0.0,0.2641828004633039,-0.08096598990523443,1.3719512195121908,9.502032520325198,-3.659147869674184,0,0,0.0,77.07360452906258,1,3.537981269510926,-14.099895941727357,-5.93132154006244,1,3.537981269510926,-16.181061394380848,-12.851196670135268,1,11.290322580645174,-19.66701352757544,-15.660770031217474,1,11.290322580645174,-27.939646201873046,-24.661810613943803,23.0,23.0,24.0,,,,,2.0,2.0,2.0,15.0,45.0,0,0,0,0,1,1,False,False,True,False,False,False,False
sh600355,2025-04-16,first_probe,1,首次试盘,10.191082802547768,9.872611464968163,19.426382525467325,0.5000000000000007,0.0,0.2726130591223572,0.3921919743335714,-1.552795031055909,7.453416149068315,4.100946372239744,0,0,0.0,81.33161434264808,1,-0.9090909090909038,-23.636363636363633,-23.636363636363633,1,-0.9090909090909038,-27.575757575757564,-19.090909090909093,1,1.81818181818183,-27.575757575757564,-10.606060606060597,1,1.81818181818183,-27.575757575757564,-15.75757575757576,,,,,,,,2.0,6.0,6.0,8.0,10.0,0,0,0,1,1,1,False,False,False,False,False,False,False
sh600360,2025-05-06,first_probe,1,首次试盘,8.072487644151561,6.0955518945634335,22.74777012096218,0.40816326530612157,0.0,0.5634310980119681,0.09041640153213884,-5.007824726134579,2.6604068857589924,4.777594728171342,0,0,0.0,77.51374672002169,1,5.660377358490565,-0.4716981132075526,1.729559748427656,1,15.566037735849036,-0.4716981132075526,14.779874213836464,1,41.03773584905661,-0.4716981132075526,40.251572327044016,1,44.654088050314456,-0.4716981132075526,32.38993710691822,1.0,14.0,14.0,20.0,21.0,32.0,40.0,,,,,,1,1,1,0,0,0,False,False,False,False,False,False,False
sh600381,2025-04-21,first_probe,1,首次试盘,5.3333333333333455,4.0000000000000036,67.26521931019177,0.7500000000000011,0.0,0.46203212039177494,0.4617124074156149,-5.063291139240511,0.0,1.3333333333333197,0,0,0.0,83.39451750452636,1,-0.7894736842105177,-22.36842105263157,-1.0526315789473717,1,7.8947368421052655,-22.36842105263157,0.7894736842105399,1,30.00000000000003,-22.36842105263157,19.999999999999996,1,30.00000000000003,-22.36842105263157,8.684210526315784,17.0,27.0,28.0,28.0,30.0,33.0,,2.0,2.0,3.0,4.0,5.0,0,1,1,0,0,1,False,True,False,False,False,False,False
sh600396,2025-07-08,first_probe,1,首次试盘,4.922279792746109,2.849740932642497,34.18491903004437,1.4210526315789478,0.0,0.2695526034583104,-0.1562601072299905,0.2597402597402487,5.1948051948051965,-2.0725388601036343,0,0,0.0,74.9727533213973,1,8.994708994709,-7.14285714285714,-3.4391534391534417,1,8.994708994709,-11.64021164021164,-10.582010582010582,1,8.994708994709,-14.021164021164012,-12.43386243386243,1,8.994708994709,-19.047619047619047,-17.460317460317455,1.0,1.0,,,,,,3.0,12.0,17.0,41.0,,0,0,0,0,0,1,False,False,False,False,False,False,False
sh600408,2025-10-30,first_probe,1,首次试盘,5.813953488372103,2.9069767441860517,19.611780353046914,2.199999999999998,0.0,0.3535815304506168,-0.19449715678215015,-3.0985915492957705,2.5352112676056526,-6.976744186046502,0,0,0.0,77.28133114045578,1,77.8125,-3.125,77.8125,1,115.625,-3.125,44.06250000000001,1,115.625,-3.125,38.74999999999999,1,115.625,-3.125,27.187500000000007,2.0,3.0,3.0,3.0,4.0,5.0,5.0,,,,,,1,1,1,0,0,0,False,False,False,False,False,False,False
sh600530,2025-01-06,first_probe,1,首次试盘,9.125475285171113,6.4638783269961975,214.80791564760472,1.0,0.0,0.28084907609034937,0.5954782343378262,-9.931506849315074,-1.7123287671232834,0.0,0,0,0.0,89.90636432999773,1,2.281368821292773,-20.34220532319391,-8.935361216730032,1,2.281368821292773,-20.34220532319391,-7.224334600760452,1,2.281368821292773,-20.34220532319391,-0.9505703422053147,1,4.372623574144496,-26.23574144486692,-15.209125475285168,,,,,,,,1.0,1.0,1.0,2.0,3.0,0,0,0,0,1,1,False,True,False,False,False,False,False
sh600594,2025-08-25,first_probe,1,首次试盘,6.493506493506485,6.493506493506485,23.880689774599986,0.8333333333333338,0.0,0.8232931403111287,0.2505648714015249,0.22321428571427937,9.821428571428559,4.008908685968815,0,0,0.0,83.57944261585241,1,0.21413276231263545,-10.064239828693788,-5.781584582441102,1,0.21413276231263545,-11.777301927194861,-11.134903640256955,1,0.21413276231263545,-14.775160599571734,-8.993576017130621,1,0.21413276231263545,-14.775160599571734,-11.134903640256955,,,,,,,,3.0,3.0,3.0,,,0,0,0,0,0,1,True,True,False,False,False,False,False
sh600629,2024-11-15,first_probe,1,首次试盘,13.313313313313312,12.112112112112094,19.027754457821327,1.3082706766917294,0.0,0.28236115960534913,-0.1548754405453961,-3.6644165863066402,9.16104146576664,-4.104104104104101,0,0,0.0,79.6470474424146,1,0.0,-25.052192066805844,-20.250521920668064,1,0.0,-25.052192066805844,-5.532359081419614,1,3.9665970772442716,-25.052192066805844,-16.805845511482254,1,3.9665970772442716,-25.052192066805844,-14.71816283924844,,,,,,,,1.0,1.0,1.0,2.0,6.0,0,0,0,0,1,1,False,False,False,False,False,False,False
sh600629,2025-10-09,retest_probe,2,重新试盘,8.448275862068954,5.1724137931034475,16.787794622006313,1.2857142857142856,0.0,0.26700460512398333,-0.0673112502212609,1.0805158591843833,9.620076681770652,-2.4137931034482696,0,0,0.0,78.08037136605363,1,44.62897526501766,-9.964664310954063,17.173144876325065,1,44.62897526501766,-20.883392226148413,-20.49469964664311,1,44.62897526501766,-31.766784452296825,-31.09540636042403,1,44.62897526501766,-35.65371024734982,-22.86219081272085,1.0,1.0,3.0,4.0,5.0,5.0,6.0,1.0,1.0,13.0,14.0,16.0,1,1,1,0,0,1,False,False,True,False,False,False,False
sh600629,2025-10-17,retest_probe,3,重新试盘,5.291005291005302,5.211640211640223,18.17831975797875,0.8499999999999979,0.0,0.2892737488193289,-0.07744102819482913,1.5037593984962294,6.874328678839947,0.793650793650813,0,0,0.0,72.03791099122937,1,7.427821522309697,-41.23359580052494,-39.58005249343832,1,7.427821522309697,-43.464566929133866,-43.30708661417323,1,7.427821522309697,-49.790026246719165,-48.55643044619422,1,7.427821522309697,-52.20472440944881,-40.86614173228347,2.0,,,,,,,1.0,1.0,1.0,5.0,5.0,0,0,0,0,0,1,False,False,True,False,False,False,False
sh600653,2024-11-04,first_probe,1,首次试盘,10.762331838565032,8.520179372197312,18.489618031993505,0.9166666666666666,0.0,0.2625800983318153,0.4536842424816896,-10.080645161290324,-0.40322580645160144,0.8968609865470878,0,0,0.0,85.26049071016615,1,28.000000000000004,-6.2222222222222285,-0.4444444444444362,1,28.000000000000004,-11.111111111111116,5.777777777777771,1,32.00000000000001,-11.111111111111116,-3.111111111111109,1,32.00000000000001,-15.555555555555555,-8.000000000000007,1.0,3.0,3.0,4.0,4.0,25.0,,10.0,15.0,17.0,44.0,,1,1,1,0,0,0,False,True,False,False,False,False,False
