symbol,signal_date,score,pre20_return_pct,pre10_return_pct,pre5_return_pct,drawdown_from_20d_high_pct,close_vs_20d_high_pct,amount,amount_anomaly_20d,signal_return_1d_pct,active_buy_strength,support_pressure_spread,pre20_super_net_ratio,pre20_main_net_ratio,pre10_super_net_ratio,pre10_main_net_ratio,pre20_super_positive_day_ratio,pre20_main_positive_day_ratio,pre5_order_available_ratio,trend_score,fund_score,repair_score,liquidity_score,rank,strategy_name
sh603529,2026-03-30,59.58,12.42,12.18,3.89,-14.86,-3.73,957628685.79,2.208137296000658,-0.9591584158415878,-2.6049931168697853,-0.014975418377499272,0.03237,0.0393,0.04184,0.04617,0.35,0.5,1.0,47.89,82.86,26.09,96.9,9,趋势中继原型
sz002460,2026-03-30,58.89,10.75,12.85,17.89,-20.76,0.6,9112677025.35,2.2892922671633644,0.6024852516631096,-13.756005361573251,-0.00490149608899193,0.02759,0.01292,0.06462,0.04967,0.5,0.5,1.0,49.58,82.86,20.07,100.0,10,趋势中继原型
sh603826,2026-03-31,73.96,26.41,8.02,3.41,-15.7,3.67,691453139.38,2.028437100325338,9.888800635424943,14.41147137886324,0.3588614303241059,0.00923,0.04205,-0.00305,0.01011,0.65,0.8,1.0,65.4,77.45,77.97,77.42,1,趋势中继原型
sh600186,2026-03-31,68.56,29.88,17.12,9.16,-18.15,-4.57,1610641722.92,1.287654361366406,-3.9242219215155583,-4.617625499305049,0.09318201047710883,0.03839,0.02073,0.05864,0.05071,0.6,0.45,1.0,73.17,91.43,27.94,76.26,2,趋势中继原型
sz002370,2026-03-31,66.61,10.97,10.63,16.94,-19.22,3.48,997373237.7700001,5.88148814839692,3.481894150417819,0.07684797936965282,0.04237334004920035,0.04804,0.01208,0.10696,0.07602,0.5,0.15,1.0,47.88,82.86,53.07,99.81,3,趋势中继原型
sh603017,2026-03-31,64.57,28.55,19.58,13.14,-20.88,3.55,1121529032.1600003,3.3062709686088763,3.5532994923857864,-8.90016607575074,0.02629517158659961,0.02341,0.017,0.03009,0.02942,0.4,0.35,1.0,78.47,65.11,32.96,100.0,4,趋势中继原型
sz000048,2026-03-31,63.83,29.87,16.79,13.5,-15.52,4.64,871756081.7900001,2.486566560189984,4.643962848297223,-4.41201281338067,-0.04126409086373917,0.00582,0.02086,0.00088,0.01237,0.5,0.7,1.0,77.68,62.09,38.94,90.62,5,趋势中继原型
sh600066,2026-03-31,63.22,10.1,4.55,1.49,-9.46,8.44,1095848960.02,1.7696113987957307,9.999999999999986,11.864183103995202,1.0783514938212222,0.0087,0.01357,0.00044,-0.00756,0.55,0.65,1.0,41.33,53.95,90.81,92.32,6,趋势中继原型
sh600250,2026-03-31,60.98,18.46,9.99,8.5,-16.63,6.2,817285919.0999999,3.3821091155828027,10.023492560689128,15.389173860783327,0.1788254783845331,0.00785,0.0139,0.00924,0.01902,0.5,0.5,1.0,56.94,46.33,76.06,86.63,7,趋势中继原型
sh603052,2026-03-31,60.31,11.25,10.29,6.67,-21.5,-4.68,771975643.74,1.2720798490675724,3.0788564247565375,10.176907797166198,0.00376621656858811,0.03547,0.03233,0.04892,0.03061,0.5,0.55,1.0,42.92,84.81,47.37,59.05,8,趋势中继原型
