feature,positive_mean,failed_mean,diff_mean,positive_median,failed_median,diff_median,effect_size_rough
pullback_cancel_sell_ratio,0.171765,0.194452,-0.022687,0.00324,0.14632,-0.14308,-0.1117
pre5_main_positive_day_ratio,0.390234,0.422553,-0.032319,0.4,0.4,0.0,-0.1115
post_peak5_active_buy_strength_avg,-3.002396,-3.631138,0.628743,-4.327,-4.2596,-0.0674,0.1092
pre20_max_daily_main_outflow_ratio,-0.109618,-0.119416,0.009798,-0.12991,-0.124505,-0.005405,0.1036
pullback_amount_anomaly_avg,2.014457,2.125236,-0.110779,1.6361,1.8564,-0.2203,-0.0982
pre_peak5_active_buy_strength_avg,1.164813,1.623917,-0.459104,0.7607,1.0149,-0.2542,-0.096
pullback_cvd_ratio,-0.021603,-0.033275,0.011672,-0.007905,-0.025,0.017095,0.0922
post_peak5_main_positive_day_ratio,0.328979,0.301509,0.02747,0.2,0.2,0.0,0.0915
launch3_add_sell_ratio,1.193396,1.169413,0.023983,1.246855,1.15911,0.087745,0.0854
launch3_cvd_ratio,-0.03033,-0.024541,-0.005789,-0.020195,-0.01737,-0.002825,-0.0808
launch3_buy_support_avg,0.949858,1.030499,-0.080641,1.321955,0.64205,0.679905,-0.0732
pre5_super_net_ratio,0.005909,0.011186,-0.005278,-0.00832,0.00143,-0.00975,-0.0732
pre_peak5_sell_pressure_avg,0.920042,0.951223,-0.031181,1.16783,0.64796,0.51987,-0.0705
pre_peak5_support_spread_avg,0.129683,0.082348,0.047335,0.06711,0.02076,0.04635,0.0685
pre_peak5_cvd_ratio,-0.025866,-0.021485,-0.00438,-0.017995,-0.01259,-0.005405,-0.0654
post_peak5_add_buy_ratio,1.223526,1.200173,0.023353,1.27595,1.13993,0.13602,0.0641
post_peak5_buy_support_avg,1.014965,0.985315,0.02965,1.252945,0.62081,0.632135,0.0603
pre20_amount_sum,9855991296.791874,9003515419.460354,852475877.33152,3809463646.655,3879871380.935,-70407734.28,0.059
pre5_buy_support_avg,1.016651,1.198771,-0.18212,1.30268,0.672055,0.630625,-0.0589
pre20_super_net_ratio,0.001727,0.005523,-0.003796,-0.00909,-0.00107,-0.00802,-0.0576
pre_peak5_cancel_buy_ratio,0.27873,0.296022,-0.017292,0.04605,0.31252,-0.26647,-0.0563
post_peak5_positive_l2_bar_ratio_avg,0.414722,0.422058,-0.007335,0.3912,0.4102,-0.019,-0.0558
pre_peak5_super_positive_day_ratio,0.503732,0.492393,0.011339,0.5,0.5,0.0,0.0525
pre20_buy_support_avg,1.012573,1.453536,-0.440964,1.30268,0.645605,0.657075,-0.0487
pre20_order_event_count_sum,895434.171875,845931.003226,49503.168649,489450.0,473243.5,16206.5,0.0474
pre20_sell_pressure_avg,1.022938,1.544563,-0.521624,1.205845,0.698035,0.50781,-0.0421
post_peak5_main_net_ratio,-0.031114,-0.033466,0.002352,-0.043425,-0.03905,-0.004375,0.0412
post_peak5_sell_pressure_avg,0.980604,1.002388,-0.021784,1.19067,0.62374,0.56693,-0.0411
pre5_sell_pressure_avg,1.026164,1.546251,-0.520087,1.205845,0.70047,0.505375,-0.041
pre5_add_buy_ratio,1.361546,1.386619,-0.025072,1.340625,1.34196,-0.001335,-0.038
launch3_max_daily_super_outflow_ratio,-0.053495,-0.054877,0.001382,-0.04946,-0.04689,-0.00257,0.034
pre20_add_buy_ratio,1.335618,1.355388,-0.019771,1.337825,1.322955,0.01487,-0.0312
pullback_sell_pressure_avg,0.960398,0.946847,0.013551,1.003265,0.66122,0.342045,0.03
pre5_cancel_sell_ratio,0.216353,0.210424,0.005929,0.00439,0.240615,-0.236225,0.0271
pullback_add_sell_ratio,1.131783,1.139977,-0.008194,1.14912,1.09854,0.05058,-0.0271
pre5_support_spread_avg,-0.009513,-0.34748,0.337967,-0.012735,-0.009655,-0.00308,0.0259
pre20_add_sell_ratio,1.226206,1.269074,-0.042868,1.323275,1.20355,0.119725,-0.0258
post_peak5_cancel_buy_ratio,0.212393,0.21852,-0.006127,0.100695,0.27264,-0.171945,-0.0238
pre_peak5_positive_l2_bar_ratio_avg,0.517193,0.51473,0.002463,0.51785,0.5109,0.00695,0.0235
pre_peak5_buy_support_avg,1.049725,1.03357,0.016154,1.2817,0.66852,0.61318,0.0183
