discovery_date,symbol,base_setup_score,relative_rank_score,amount,amount_avg20,amount_med20,amount_ratio20,amount_ratio20_median,amount_percentile60,pre20_return_pct,pre20_super_price_divergence,pre20_main_price_divergence,pre5_return_pct,pre5_super_price_divergence
2026-03-02,sh603630,55.02,56.03,117375136.20000002,93665588.16499999,83110264.0,1.2531297619487918,1.4122820762547454,0.6,-13.06,0.13197,0.10133,-3.45,0.04747
2026-03-02,sh603665,59.76,59.76,105329224.0,172570888.754,168345105.405,0.6103533728110245,0.6256744070259831,0.22857142857142856,-9.01,0.06846,0.06359,-9.11,0.04939
2026-03-02,sh603698,50.58,50.58,1315205328.1700003,1362537726.3034997,1096690171.4850001,0.9652615870960799,1.1992496717547074,0.4,2.89,-0.00892,-0.01537,-12.49,0.21755
2026-03-02,sh603718,60.09,60.38,124857146.72,148199999.2145,124789360.0,0.8424908730214343,1.0005432091325734,0.6285714285714286,-30.48,0.26898,0.22952,-7.4,0.0237
2026-03-02,sh603778,63.42,63.42,788213638.76,1317838640.0860002,1264448496.645,0.5981108876186559,0.6233655549050764,0.21875,-19.29,0.17036,0.13133,-3.04,0.0326
2026-03-02,sh603885,53.18,63.29,555194423.24,219657334.9285,210254157.91,2.527547843648015,2.6405871292098437,1.0,-10.02,0.09094,0.10233,-4.43,0.01535
2026-03-02,sh603900,57.79,59.22,174628411.35,203055473.75449997,126124651.2,0.8600034666444445,1.3845700240874084,0.7428571428571429,-11.61,0.13967,0.1048,-2.47,0.0188
2026-03-02,sh603949,52.06,52.06,91416150.0,105314204.625,81750839.0,0.8680324779122833,1.1182288905927926,0.5714285714285714,-15.21,0.14463,0.15215,-1.94,0.00522
2026-03-02,sh603988,63.22,63.22,237757338.0,287327416.90550005,197213747.51,0.8274787716418885,1.205581968812515,0.5428571428571428,-18.55,0.1538,0.14433,-2.73,0.01981
2026-03-02,sh605168,56.35,56.35,170502727.79999998,220499064.80100003,199226681.855,0.7732582809540637,0.8558227553279951,0.2,-11.51,0.07309,0.0526,-9.56,0.04132
2026-03-02,sh605499,54.86,55.33,706032575.16,674631027.5815,629198308.105,1.0465462546113125,1.1221145480928056,0.6285714285714286,-2.71,0.026,0.01032,-9.35,0.07905
2026-03-02,sh605598,76.42,76.42,232159951.0,450506731.149,377004757.7,0.5153307041781263,0.6158011172494018,0.05714285714285714,-18.88,0.19004,0.18307,-8.72,0.08482
2026-03-02,sz000036,76.59,76.79,437935752.41,417081227.8885,365261643.55,1.050001110400191,1.1989645234952018,0.34285714285714286,-14.47,0.11809,0.11504,-3.76,0.0604
2026-03-02,sz000408,61.73,63.51,1778885170.3899999,1535911063.4105,1359503468.83,1.1581954273055202,1.3084815237146274,0.7142857142857143,-9.18,0.07037,0.06426,1.56,0.02921
2026-03-02,sz000607,54.47,54.47,161131892.0,388328892.98950005,356644043.71999997,0.41493665526545515,0.4518003169751633,0.34285714285714286,-7.54,0.08429,0.06842,-10.21,0.10168
2026-03-02,sz000610,56.54,56.54,139832456.42,147857465.45600003,142988030.54000002,0.9457246949874969,0.9779312008978452,0.37142857142857144,-22.82,0.20966,0.15565,-5.57,0.03439
2026-03-02,sz000776,53.26,53.26,1042609175.2900001,1069717445.276,880892664.05,0.9746584763053895,1.1835825383043728,0.37142857142857144,-8.23,0.06241,0.04798,-3.07,-0.03385
2026-03-02,sz000807,65.65,70.44,3612759509.8799996,2322269072.9259996,1837128276.2199998,1.5557023740268026,1.9665254498795621,0.8571428571428571,-7.12,0.05514,0.06628,-2.62,0.0384
2026-03-02,sz000892,62.92,62.92,403558091.15,738989775.9620001,406627991.665,0.5460942820550625,0.992450346316716,0.34285714285714286,-12.07,0.12432,0.08491,-27.66,0.27704
2026-03-02,sz000911,56.0,57.43,82848763.0,98901065.88,70887287.5,0.8376933278001595,1.1687393596489357,0.7428571428571429,-14.97,0.1426,0.11667,-1.49,-0.01274
2026-03-02,sz000975,72.66,80.1,3569441452.519999,1782933028.1355,1415231552.8150003,2.002005345233151,2.522160734347758,0.9428571428571428,-18.43,0.17554,0.14842,0.0,-0.00638
2026-03-02,sz000997,63.46,69.17,660242142.9899999,342341875.7695,311962941.70500004,1.9286046777243904,2.1164120949158804,0.8,-11.96,0.09475,0.08966,-5.09,-0.04917
2026-03-02,sz001215,52.69,52.69,91008222.0,161550764.169,139539261.38,0.5633413278367122,0.6522051292228218,0.14285714285714285,-9.98,0.08761,0.08715,-2.89,0.03856
2026-03-02,sz001330,78.19,78.19,1444545891.3700001,2058552331.7310004,1709209197.775,0.701729010772977,0.8451545271640645,0.5142857142857142,-7.07,0.0721,0.03458,-32.31,0.3325
2026-03-02,sz002038,56.28,56.28,127485670.64,179436103.48649997,134630012.525,0.7104794863626288,0.9469335124389642,0.37142857142857144,-19.95,0.18605,0.17627,-1.82,-0.00432
2026-03-02,sz002088,59.69,59.69,83013595.19999999,105386098.904,81589753.88499999,0.7877091576909026,1.0174512269887086,0.4857142857142857,-9.66,0.08856,0.07116,-5.45,0.06296
2026-03-02,sz002130,60.74,60.74,1968263484.2499998,2665007819.6305,2013150513.9300003,0.738558239773907,0.9777030930527029,0.4,-14.43,0.10961,0.10502,1.97,-0.06018
2026-03-02,sz002153,61.68,61.68,423492529.45,829129401.133,846744659.38,0.5107677147515215,0.5001419551439368,0.11428571428571428,-10.84,0.09868,0.08713,-7.71,0.02161
2026-03-02,sz002181,60.57,60.57,438662920.7999999,1126702945.4529998,1121133648.475,0.38933325112026934,0.3912672868187326,0.08571428571428572,-9.28,0.09856,0.06089,-10.65,0.0753
2026-03-02,sz002187,55.19,55.19,115269818.96000001,208635040.2775,175201662.14,0.5524950114165034,0.6579265148060657,0.17142857142857143,-15.13,0.13995,0.09746,-4.65,0.02196
2026-03-02,sz002201,54.52,54.52,469858131.2700001,1217023985.638,1011966622.5150001,0.38607138134889474,0.4643020044497915,0.02857142857142857,-15.42,0.17683,0.14206,0.07,0.08564
