discovery_date,symbol,rank,setup_score,pre20_return_pct,pre20_super_price_divergence,pre20_main_price_divergence,pre5_return_pct,pre5_super_price_divergence,launch_start_date,launch_end_date,pullback_confirm_date,pullback_confirm_reason,launch3_return_pct,launch3_max_drawdown_pct,launch3_super_net_ratio,launch3_main_net_ratio,launch3_add_buy_ratio,pullback_super_net_ratio,pullback_main_net_ratio,pullback_support_spread_avg,pullback_depth_from_launch_peak_pct,confirm_distribution_score,order_filter_available,launch_hist_order_days,launch_order_days,launch_cancel_buy_to_add_buy,launch_hist_cancel_buy_to_add_buy_avg,launch_cancel_buy_to_add_buy_vs_hist,orderbook_filter_reason
2026-03-16,sz002517,1,96.88,-15.52,0.16693,0.15401,-9.95,0.09674,2026-03-23,2026-03-25,2026-03-26,pullback_absorption_confirm,5.08,0.0,0.01554,0.01141,1.41238,0.07551,0.01828,-0.03808,-4.2,35.71,True,15.0,3.0,0.00013,0.00017,0.7525,
2026-03-16,sz002149,2,95.83,-20.39,0.20517,0.17322,-8.55,0.06694,,,,no_launch,,,,,,,,,,,,,,,,,
2026-03-16,sz002342,3,87.71,-33.78,0.3136,0.27282,-6.7,0.051,,,,no_launch,,,,,,,,,,,,,,,,,
2026-03-16,sh600986,5,83.17,-25.2,0.21176,0.18294,-7.69,0.05778,,,,no_launch,,,,,,,,,,,,,,,,,
2026-03-16,sh603061,6,82.39,-15.0,0.11456,0.09617,-11.22,0.10769,,,,no_launch,,,,,,,,,,,,,,,,,
2026-03-16,sz001208,7,80.44,-16.35,0.1464,0.11946,-9.1,0.07329,,,,no_launch,,,,,,,,,,,,,,,,,
2026-03-16,sz002471,8,80.19,-20.0,0.20065,0.15519,-10.7,0.09321,,,,no_launch,,,,,,,,,,,,,,,,,
2026-03-16,sz002131,9,79.15,-10.94,0.10107,0.06719,-10.22,0.04762,2026-03-23,2026-03-25,2026-03-27,pullback_absorption_confirm,7.53,0.0,0.02853,0.0323,1.46087,0.00786,0.02824,-0.24745,-5.16,38.0,True,15.0,3.0,0.00039,0.00045,0.8658,
2026-03-17,sz002517,1,100.0,-21.33,0.22519,0.21033,-11.35,0.11441,2026-03-23,2026-03-25,2026-03-26,pullback_absorption_confirm,5.08,0.0,0.01554,0.01141,1.41238,0.07551,0.01828,-0.03808,-4.2,35.71,True,15.0,3.0,0.00013,0.00017,0.7525,
2026-03-17,sz002865,2,97.26,-17.4,0.17501,0.1595,-10.79,0.05844,,,,no_launch,,,,,,,,,,,,,,,,,
