route_id,top_n,min_route_score,min_breadth,max_leader_conc,max_gt7_ratio,require_preheat,selector_score,score_min,score_median,score_mean,internal_a_day2_avg_close_return_pct,internal_b_day2_avg_close_return_pct,internal_a_day2_still_loss_rate,internal_b_day2_still_loss_rate,internal_a_avg_filter_universe,internal_b_avg_filter_universe
tn12_s0.44_b0.10_c30_g0.12_nopreheat,12,0.44,0.1,30.0,0.12,False,41.65148,39.6121,42.9485,44.8044,1.103,-0.896,0.5556,0.5714,62.31,46.95
tn12_s0.44_b0.15_c30_g0.12_nopreheat,12,0.44,0.15,30.0,0.12,False,41.65148,39.6121,42.9485,44.8044,1.103,-0.896,0.5556,0.5714,62.31,46.95
tn12_s0.44_b0.20_c30_g0.12_nopreheat,12,0.44,0.2,30.0,0.12,False,41.65148,39.6121,42.9485,44.8044,1.103,-0.896,0.5556,0.5714,62.31,46.95
tn16_s0.44_b0.10_c30_g0.12_nopreheat,16,0.44,0.1,30.0,0.12,False,41.65148,39.6121,42.9485,44.8044,1.103,-0.896,0.5556,0.5714,62.31,46.95
tn16_s0.44_b0.15_c30_g0.12_nopreheat,16,0.44,0.15,30.0,0.12,False,41.65148,39.6121,42.9485,44.8044,1.103,-0.896,0.5556,0.5714,62.31,46.95
tn16_s0.44_b0.20_c30_g0.12_nopreheat,16,0.44,0.2,30.0,0.12,False,41.65148,39.6121,42.9485,44.8044,1.103,-0.896,0.5556,0.5714,62.31,46.95
tn20_s0.44_b0.10_c30_g0.12_nopreheat,20,0.44,0.1,30.0,0.12,False,41.65148,39.6121,42.9485,44.8044,1.103,-0.896,0.5556,0.5714,62.31,46.95
tn20_s0.44_b0.15_c30_g0.12_nopreheat,20,0.44,0.15,30.0,0.12,False,41.65148,39.6121,42.9485,44.8044,1.103,-0.896,0.5556,0.5714,62.31,46.95
tn20_s0.44_b0.20_c30_g0.12_nopreheat,20,0.44,0.2,30.0,0.12,False,41.65148,39.6121,42.9485,44.8044,1.103,-0.896,0.5556,0.5714,62.31,46.95
tn12_s0.50_b0.10_c35_g0.12_nopreheat,12,0.5,0.1,35.0,0.12,False,41.57295,39.0513,44.2146,43.9146,0.7987,-0.838,0.5714,0.5714,56.69,45.05
tn12_s0.50_b0.15_c35_g0.12_nopreheat,12,0.5,0.15,35.0,0.12,False,41.57295,39.0513,44.2146,43.9146,0.7987,-0.838,0.5714,0.5714,56.69,45.05
tn12_s0.50_b0.20_c35_g0.12_nopreheat,12,0.5,0.2,35.0,0.12,False,41.57295,39.0513,44.2146,43.9146,0.7987,-0.838,0.5714,0.5714,56.69,45.05
tn16_s0.50_b0.10_c35_g0.12_nopreheat,16,0.5,0.1,35.0,0.12,False,41.57295,39.0513,44.2146,43.9146,0.7987,-0.838,0.5714,0.5714,56.69,45.05
tn16_s0.50_b0.15_c35_g0.12_nopreheat,16,0.5,0.15,35.0,0.12,False,41.57295,39.0513,44.2146,43.9146,0.7987,-0.838,0.5714,0.5714,56.69,45.05
tn16_s0.50_b0.20_c35_g0.12_nopreheat,16,0.5,0.2,35.0,0.12,False,41.57295,39.0513,44.2146,43.9146,0.7987,-0.838,0.5714,0.5714,56.69,45.05
tn20_s0.50_b0.10_c35_g0.12_nopreheat,20,0.5,0.1,35.0,0.12,False,41.57295,39.0513,44.2146,43.9146,0.7987,-0.838,0.5714,0.5714,56.69,45.05
tn20_s0.50_b0.15_c35_g0.12_nopreheat,20,0.5,0.15,35.0,0.12,False,41.57295,39.0513,44.2146,43.9146,0.7987,-0.838,0.5714,0.5714,56.69,45.05
tn20_s0.50_b0.20_c35_g0.12_nopreheat,20,0.5,0.2,35.0,0.12,False,41.57295,39.0513,44.2146,43.9146,0.7987,-0.838,0.5714,0.5714,56.69,45.05
tn12_s0.50_b0.10_c30_g0.12_preheat,12,0.5,0.1,30.0,0.12,True,41.26852,37.4095,44.8041,45.6127,2.7034,-1.5641,0.3636,0.619,46.0,38.43
tn12_s0.50_b0.15_c30_g0.12_preheat,12,0.5,0.15,30.0,0.12,True,41.26852,37.4095,44.8041,45.6127,2.7034,-1.5641,0.3636,0.619,46.0,38.43
tn12_s0.50_b0.20_c30_g0.12_preheat,12,0.5,0.2,30.0,0.12,True,41.26852,37.4095,44.8041,45.6127,2.7034,-1.5641,0.3636,0.619,46.0,38.43
tn16_s0.50_b0.10_c30_g0.12_preheat,16,0.5,0.1,30.0,0.12,True,41.26852,37.4095,44.8041,45.6127,2.7034,-1.5641,0.3636,0.619,46.0,38.43
tn16_s0.50_b0.15_c30_g0.12_preheat,16,0.5,0.15,30.0,0.12,True,41.26852,37.4095,44.8041,45.6127,2.7034,-1.5641,0.3636,0.619,46.0,38.43
tn16_s0.50_b0.20_c30_g0.12_preheat,16,0.5,0.2,30.0,0.12,True,41.26852,37.4095,44.8041,45.6127,2.7034,-1.5641,0.3636,0.619,46.0,38.43
tn20_s0.50_b0.10_c30_g0.12_preheat,20,0.5,0.1,30.0,0.12,True,41.26852,37.4095,44.8041,45.6127,2.7034,-1.5641,0.3636,0.619,46.0,38.43
tn20_s0.50_b0.15_c30_g0.12_preheat,20,0.5,0.15,30.0,0.12,True,41.26852,37.4095,44.8041,45.6127,2.7034,-1.5641,0.3636,0.619,46.0,38.43
tn20_s0.50_b0.20_c30_g0.12_preheat,20,0.5,0.2,30.0,0.12,True,41.26852,37.4095,44.8041,45.6127,2.7034,-1.5641,0.3636,0.619,46.0,38.43
tn12_s0.38_b0.10_c30_g0.18_preheat,12,0.38,0.1,30.0,0.18,True,41.13404,39.924,42.362,42.3172,1.3309,-1.2446,0.4324,0.6364,71.41,62.5
tn12_s0.38_b0.15_c30_g0.18_preheat,12,0.38,0.15,30.0,0.18,True,41.13404,39.924,42.362,42.3172,1.3309,-1.2446,0.4324,0.6364,71.41,62.5
