source_id,business_source_name,metric,metric_label,window,horizon,threshold_low,threshold_high,low_day_n,high_day_n,low_candidate_n,high_candidate_n,low_avg_mfe,high_avg_mfe,mfe_lift_high_minus_low,low_avg_close,high_avg_close,close_lift_high_minus_low,low_pitfall_rate,high_pitfall_rate,pitfall_reduction_low_minus_high,supports_good_market_hypothesis,confidence
ALL,全部来源,all_up_ratio_10d,全市场上涨占比,10,10,23.6883,48.3516,23,23,125,93,10.2225,15.0475,4.825,-2.5478,2.2291,4.7769,57.6318,45.1553,12.4765,1,directional
ALL,全部来源,all_up_ratio_10d,全市场上涨占比,10,22,23.6883,48.3516,23,23,125,93,17.5602,22.9629,5.4027,3.4964,3.0035,-0.4929,62.2137,60.3416,1.8721,0,directional
spark_opportunity_selector,星火机会模型,all_up_ratio_10d,全市场上涨占比,10,5,23.6883,48.3516,23,23,66,68,8.1388,10.6138,2.475,-2.5003,2.9669,5.4672,52.8986,28.9855,23.9131,1,directional
spark_opportunity_selector,星火机会模型,all_up_ratio_10d,全市场上涨占比,10,10,23.6883,48.3516,23,23,66,68,10.5107,16.3401,5.8294,-2.6358,3.6605,6.2963,61.5942,43.4782,18.116,1,directional
spark_opportunity_selector,星火机会模型,all_up_ratio_10d,全市场上涨占比,10,22,23.6883,48.3516,23,23,66,68,18.9007,24.7164,5.8157,4.9262,4.5898,-0.3364,64.4928,57.971,6.5218,0,directional
probe_d3_confirmed,试盘识别-三日确认,all_up_ratio_10d,全市场上涨占比,10,5,23.6883,48.3516,4,3,6,3,5.4308,3.9008,-1.53,-4.0427,-8.0798,-4.0371,75.0,66.6667,8.3333,0,low_sample
probe_d3_confirmed,试盘识别-三日确认,all_up_ratio_10d,全市场上涨占比,10,10,23.6883,48.3516,4,3,6,3,5.4308,4.4519,-0.9789,-5.8646,-11.3625,-5.4979,87.5,100.0,-12.5,0,low_sample
probe_d3_confirmed,试盘识别-三日确认,all_up_ratio_10d,全市场上涨占比,10,22,23.6883,48.3516,4,3,6,3,5.4308,12.5216,7.0908,-5.8646,-7.9733,-2.1087,87.5,100.0,-12.5,0,low_sample
stable_capital_callback,资金流回调稳健策略,all_up_ratio_10d,全市场上涨占比,10,5,23.6883,48.3516,17,8,50,17,5.5828,8.3251,2.7423,-1.7083,2.1826,3.8909,41.9118,29.1667,12.7451,1,low_sample
stable_capital_callback,资金流回调稳健策略,all_up_ratio_10d,全市场上涨占比,10,10,23.6883,48.3516,17,8,50,17,7.6794,12.308,4.6286,-2.2763,2.4977,4.774,45.098,31.25,13.848,1,low_sample
stable_capital_callback,资金流回调稳健策略,all_up_ratio_10d,全市场上涨占比,10,22,23.6883,48.3516,17,8,50,17,10.9064,20.8966,9.9902,-0.3304,3.6721,4.0025,52.451,45.8333,6.6177,1,low_sample
trend_continuation_callback,趋势延续策略,all_up_ratio_10d,全市场上涨占比,10,5,23.6883,48.3516,2,4,3,5,13.0758,6.3909,-6.6849,-3.5306,2.0712,5.6018,50.0,12.5,37.5,0,low_sample
trend_continuation_callback,趋势延续策略,all_up_ratio_10d,全市场上涨占比,10,10,23.6883,48.3516,2,4,3,5,17.7357,11.3486,-6.3871,-3.4204,2.8706,6.291,50.0,50.0,0.0,0,low_sample
trend_continuation_callback,趋势延续策略,all_up_ratio_10d,全市场上涨占比,10,22,23.6883,48.3516,2,4,3,5,18.5907,26.9514,8.3607,-7.3151,1.5718,8.8869,100.0,75.0,25.0,1,low_sample
ALL,全部来源,all_up_ratio_20d,全市场上涨占比,20,5,27.1644,46.4656,23,23,123,81,7.8855,10.7612,2.8757,0.3151,2.308,1.9929,34.8865,38.1677,-3.2812,0,directional
ALL,全部来源,all_up_ratio_20d,全市场上涨占比,20,10,27.1644,46.4656,23,23,123,81,11.6326,14.5406,2.908,2.1111,-1.0746,-3.1857,42.0624,54.8654,-12.803,0,directional
ALL,全部来源,all_up_ratio_20d,全市场上涨占比,20,22,27.1644,46.4656,23,23,123,81,22.6023,19.2737,-3.3286,9.5776,-3.1224,-12.7,49.0771,74.5445,-25.4674,0,directional
spark_opportunity_selector,星火机会模型,all_up_ratio_20d,全市场上涨占比,20,5,27.1644,46.4656,23,23,68,66,8.4328,10.9877,2.5549,0.026,2.395,2.369,38.4058,36.2319,2.1739,1,directional
spark_opportunity_selector,星火机会模型,all_up_ratio_20d,全市场上涨占比,20,10,27.1644,46.4656,23,23,68,66,12.2215,14.7568,2.5353,2.0513,-0.6654,-2.7167,45.6522,55.0725,-9.4203,0,directional
spark_opportunity_selector,星火机会模型,all_up_ratio_20d,全市场上涨占比,20,22,27.1644,46.4656,23,23,68,66,24.6612,19.9351,-4.7261,12.003,-1.622,-13.625,50.0,72.4638,-22.4638,0,directional
probe_d3_confirmed,试盘识别-三日确认,all_up_ratio_20d,全市场上涨占比,20,5,27.1644,46.4656,4,4,5,4,5.6732,4.3587,-1.3145,-0.7136,-5.2637,-4.5501,62.5,75.0,-12.5,0,low_sample
probe_d3_confirmed,试盘识别-三日确认,all_up_ratio_20d,全市场上涨占比,20,10,27.1644,46.4656,4,4,5,4,5.6732,9.6022,3.929,-4.967,-3.9571,1.0099,87.5,100.0,-12.5,0,low_sample
probe_d3_confirmed,试盘识别-三日确认,all_up_ratio_20d,全市场上涨占比,20,22,27.1644,46.4656,4,4,5,4,5.6732,15.6545,9.9813,-12.4468,-9.5363,2.9105,87.5,100.0,-12.5,0,low_sample
stable_capital_callback,资金流回调稳健策略,all_up_ratio_20d,全市场上涨占比,20,5,27.1644,46.4656,15,4,43,7,5.7926,17.4861,11.6935,0.9163,11.0121,10.0958,23.0555,41.6667,-18.6112,0,low_sample
stable_capital_callback,资金流回调稳健策略,all_up_ratio_20d,全市场上涨占比,20,10,27.1644,46.4656,15,4,43,7,9.0082,26.1149,17.1067,1.6684,5.4706,3.8022,28.8889,20.8333,8.0556,1,low_sample
stable_capital_callback,资金流回调稳健策略,all_up_ratio_20d,全市场上涨占比,20,22,27.1644,46.4656,15,4,43,7,14.7558,28.3043,13.5485,4.1989,-4.4707,-8.6696,38.3333,54.1667,-15.8334,0,low_sample
trend_continuation_callback,趋势延续策略,all_up_ratio_20d,全市场上涨占比,20,5,27.1644,46.4656,5,4,7,4,10.6314,3.3639,-7.2675,0.3011,-2.2644,-2.5655,30.0,25.0,5.0,0,low_sample
