source_id,business_source_name,metric,metric_label,window,horizon,bucket,bucket_label,threshold_low,threshold_high,day_n,candidate_n,avg_candidates_per_day,avg_mfe_5d_pct,avg_close_5d_pct,hit10_rate,hit15_rate,close_loss5_rate,stop8_rate,pitfall_rate,full5_rate,avg_mfe_10d_pct,avg_close_10d_pct,full10_rate,avg_mfe_22d_pct,avg_close_22d_pct,full22_rate
trend_continuation_callback,趋势延续策略,all_up_ratio_1d,全市场上涨占比,1,5,mid,中水位,29.2216,54.0396,7,8,1.1429,7.1383,2.0198,35.7143,14.2857,35.7143,35.7143,35.7143,100.0,,,,,,
trend_continuation_callback,趋势延续策略,all_up_ratio_1d,全市场上涨占比,1,5,high,高水位,29.2216,54.0396,1,2,2.0,9.6169,-9.9325,50.0,50.0,50.0,100.0,100.0,100.0,,,,,,
trend_continuation_callback,趋势延续策略,all_up_ratio_1d,全市场上涨占比,1,10,low,低水位,29.2216,54.0396,3,3,1.0,,,33.3333,33.3333,33.3333,33.3333,33.3333,,10.6039,-5.248,100.0,,,
trend_continuation_callback,趋势延续策略,all_up_ratio_1d,全市场上涨占比,1,10,mid,中水位,29.2216,54.0396,7,8,1.1429,,,50.0,28.5714,21.4286,42.8571,42.8571,,14.4135,7.223,100.0,,,
trend_continuation_callback,趋势延续策略,all_up_ratio_1d,全市场上涨占比,1,10,high,高水位,29.2216,54.0396,1,2,2.0,,,100.0,100.0,50.0,100.0,100.0,,18.9367,-4.5635,100.0,,,
trend_continuation_callback,趋势延续策略,all_up_ratio_1d,全市场上涨占比,1,22,low,低水位,29.2216,54.0396,3,3,1.0,,,33.3333,33.3333,66.6667,66.6667,66.6667,,,,,10.6039,-11.666,100.0
trend_continuation_callback,趋势延续策略,all_up_ratio_1d,全市场上涨占比,1,22,mid,中水位,29.2216,54.0396,7,8,1.1429,,,64.2857,57.1429,35.7143,71.4286,71.4286,,,,,35.1751,15.6918,100.0
trend_continuation_callback,趋势延续策略,all_up_ratio_1d,全市场上涨占比,1,22,high,高水位,29.2216,54.0396,1,2,2.0,,,100.0,100.0,50.0,100.0,100.0,,,,,20.6467,-8.4916,100.0
ALL,全部来源,all_up_ratio_3d,全市场上涨占比,3,5,low,低水位,27.4639,51.9334,23,94,4.087,8.4402,-2.7822,29.529,17.2102,43.1159,51.087,54.529,82.6087,,,,,,
ALL,全部来源,all_up_ratio_3d,全市场上涨占比,3,5,mid,中水位,27.4639,51.9334,21,84,4.0,6.9171,0.1658,25.3628,13.4921,27.483,37.6417,40.8617,100.0,,,,,,
ALL,全部来源,all_up_ratio_3d,全市场上涨占比,3,5,high,高水位,27.4639,51.9334,23,110,4.7826,11.2734,3.2019,41.5146,29.2216,26.0272,20.9444,27.2312,100.0,,,,,,
ALL,全部来源,all_up_ratio_3d,全市场上涨占比,3,10,low,低水位,27.4639,51.9334,23,94,4.087,,,37.6812,24.2754,52.5362,65.0362,68.2971,,11.0723,-4.9879,73.913,,,
ALL,全部来源,all_up_ratio_3d,全市场上涨占比,3,10,mid,中水位,27.4639,51.9334,21,84,4.0,,,38.2199,27.381,35.2608,48.7528,51.9728,,11.3035,0.253,88.8889,,,
ALL,全部来源,all_up_ratio_3d,全市场上涨占比,3,10,high,高水位,27.4639,51.9334,23,110,4.7826,,,55.6629,40.8138,33.1792,37.2643,39.4382,,15.0703,2.3023,95.6522,,,
ALL,全部来源,all_up_ratio_3d,全市场上涨占比,3,22,low,低水位,27.4639,51.9334,23,94,4.087,,,51.8116,36.5942,51.8116,70.1087,71.9203,,,,,16.5422,-0.7619,43.4783
ALL,全部来源,all_up_ratio_3d,全市场上涨占比,3,22,mid,中水位,27.4639,51.9334,21,84,4.0,,,46.6327,39.127,43.2766,62.0862,63.7188,,,,,17.4213,0.8126,65.0794
ALL,全部来源,all_up_ratio_3d,全市场上涨占比,3,22,high,高水位,27.4639,51.9334,23,110,4.7826,,,67.8165,60.7016,34.226,56.5978,57.2189,,,,,23.0666,4.2527,95.0311
