sample_name,rule_name,base_trade_count,base_win_rate_pct,base_avg_return_pct,base_median_return_pct,base_max_return_pct,base_min_return_pct,base_sum_return_pct,base_big_winner_gt_15_count,base_big_loss_le_-8_count,filtered_count,filtered_loss_count,filtered_big_winner_gt_15_count,filtered_trade_count,filtered_win_rate_pct,filtered_avg_return_pct,filtered_median_return_pct,filtered_max_return_pct,filtered_min_return_pct,filtered_sum_return_pct,filtered_big_loss_le_-8_count,kept_trade_count,kept_win_rate_pct,kept_avg_return_pct,kept_median_return_pct,kept_max_return_pct,kept_min_return_pct,kept_sum_return_pct,kept_big_winner_gt_15_count,kept_big_loss_le_-8_count,delta_avg_return_pct,delta_median_return_pct,delta_win_rate_pct
modes:v1.4-balanced:full,R2_and_any_R3_R4_R5,65,60.0,5.08,3.2,62.3,-13.07,330.23,11,8,3,3,0,3,0.0,-6.83,-4.7,-4.7,-11.08,-20.48,1,62,62.9,5.66,3.23,62.3,-13.07,350.71,11,7,0.58,0.03,2.9
modes:v1.4-balanced:full,R4_and_any_R1_R2_R3_R5,65,60.0,5.08,3.2,62.3,-13.07,330.23,11,8,7,6,0,7,14.29,-6.22,-4.7,1.8,-13.07,-43.53,3,58,65.52,6.44,4.26,62.3,-12.13,373.76,11,5,1.36,1.06,5.52
modes:v1.4-balanced:full,risk_count_R1_R6>=2,65,60.0,5.08,3.2,62.3,-13.07,330.23,11,8,14,9,1,14,35.71,-2.17,-4.7,15.51,-13.07,-30.44,6,51,66.67,7.07,5.29,62.3,-12.13,360.67,10,2,1.99,2.09,6.67
modes:v1.4-balanced:mature,risk_count_R1_R5>=2,41,78.05,8.44,5.72,62.3,-12.13,346.19,11,3,6,5,0,6,16.67,-5.04,-4.7,1.8,-11.08,-30.26,2,35,88.57,10.76,8.21,62.3,-12.13,376.45,11,1,2.32,2.49,10.52
modes:v1.4-balanced:mature,risk_count_R1_R5>=3,41,78.05,8.44,5.72,62.3,-12.13,346.19,11,3,1,1,0,1,0.0,-11.08,-11.08,-11.08,-11.08,-11.08,1,40,80.0,8.93,5.73,62.3,-12.13,357.27,11,2,0.49,0.01,1.95
modes:v1.4-balanced:mature,R2_and_any_R3_R4_R5,41,78.05,8.44,5.72,62.3,-12.13,346.19,11,3,3,3,0,3,0.0,-6.83,-4.7,-4.7,-11.08,-20.48,1,38,84.21,9.65,6.6,62.3,-12.13,366.67,11,2,1.21,0.88,6.16
modes:v1.4-balanced:mature,R4_and_any_R1_R2_R3_R5,41,78.05,8.44,5.72,62.3,-12.13,346.19,11,3,5,4,0,5,20.0,-3.84,-4.7,1.8,-11.03,-19.18,1,36,86.11,10.15,7.83,62.3,-12.13,365.37,11,2,1.71,2.11,8.06
modes:v1.4-balanced:mature,risk_count_R1_R6>=2,41,78.05,8.44,5.72,62.3,-12.13,346.19,11,3,10,5,1,10,50.0,1.26,0.62,15.51,-11.08,12.59,2,31,87.1,10.76,7.44,62.3,-12.13,333.6,10,1,2.32,1.72,9.05
modes:v1.4-quality:full,risk_count_R1_R5>=2,39,58.97,6.76,8.21,31.05,-13.07,263.59,8,2,4,4,0,4,0.0,-5.75,-4.7,-0.55,-13.07,-23.02,1,35,65.71,8.19,10.1,31.05,-10.54,286.61,8,1,1.43,1.89,6.74
modes:v1.4-quality:full,risk_count_R1_R5>=3,39,58.97,6.76,8.21,31.05,-13.07,263.59,8,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,39,58.97,6.76,8.21,31.05,-13.07,263.59,8,2,0.0,0.0,0.0
modes:v1.4-quality:full,R2_and_any_R3_R4_R5,39,58.97,6.76,8.21,31.05,-13.07,263.59,8,2,2,2,0,2,0.0,-4.7,-4.7,-4.7,-4.7,-9.4,0,37,62.16,7.38,10.1,31.05,-13.07,272.99,8,2,0.62,1.89,3.19
modes:v1.4-quality:full,R4_and_any_R1_R2_R3_R5,39,58.97,6.76,8.21,31.05,-13.07,263.59,8,2,4,4,0,4,0.0,-5.75,-4.7,-0.55,-13.07,-23.02,1,35,65.71,8.19,10.1,31.05,-10.54,286.61,8,1,1.43,1.89,6.74
modes:v1.4-quality:full,risk_count_R1_R6>=2,39,58.97,6.76,8.21,31.05,-13.07,263.59,8,2,6,4,0,6,33.33,0.19,-2.62,12.07,-13.07,1.12,1,33,63.64,7.95,10.1,31.05,-10.54,262.47,8,1,1.19,1.89,4.67
modes:v1.4-quality:mature,risk_count_R1_R5>=2,22,77.27,11.18,10.1,31.05,-5.61,246.0,8,0,3,3,0,3,0.0,-3.32,-4.7,-0.55,-4.7,-9.95,0,19,89.47,13.47,12.07,31.05,-5.61,255.95,8,0,2.29,1.97,12.2
