symbol,signal_date,score,pre20_return_pct,pre10_return_pct,pre5_return_pct,drawdown_from_20d_high_pct,close_vs_20d_high_pct,amount,amount_anomaly_20d,signal_return_1d_pct,active_buy_strength,support_pressure_spread,pre20_super_net_ratio,pre20_main_net_ratio,pre10_super_net_ratio,pre10_main_net_ratio,pre20_super_positive_day_ratio,pre20_main_positive_day_ratio,pre5_order_available_ratio,trend_score,fund_score,repair_score,liquidity_score,rank,strategy_name,observe_date,entry_signal_date,buy_point_reason,confirm_date,confirm_return_1d_pct,confirm_amount_anomaly_20d,confirm_super_net_ratio,confirm_main_net_ratio,confirm_super3_ratio,confirm_main3_ratio,confirm_support_pressure_spread,confirm_active_buy_strength,confirm_close_vs_20d_high_pct,confirm_pullback_from_observe_peak_pct,confirm_cancel_buy_ratio,confirm_add_sell_ratio,prior3_amount_anomaly_avg,buy_point_type
sz000048,2026-03-18,59.98,10.95,11.59,-0.92,-21.13,-2.16,291709819.06,1.28808179569554,10.0206611570248,14.557367700833417,2.5813844812852085,0.00979,0.03183,0.00536,0.01708,0.55,0.7,1.0,48.41,75.17,66.79,24.44,11,趋势中继原型,2026-03-18,2026-03-27,回踩均线承接,2026-03-27,2.75,1.086,0.01064,0.03262,0.00084,0.04784,0.34969,3.26248,-6.59,-13.18,0.00051,1.40148,0.78,回踩均线承接
sz000062,2026-03-18,59.07,12.19,18.61,4.35,-20.39,-3.15,1348062401.61,2.7216201573321035,1.097293343087058,1.8257569449756517,-0.3591331035357084,0.03558,0.0202,0.04781,0.04195,0.35,0.2,1.0,54.41,70.0,32.99,100.0,12,趋势中继原型,2026-03-18,2026-03-23,回踩均线承接,2026-03-23,1.83,1.582,0.01283,0.01253,-0.0631,-0.11464,-0.13043,1.25321,-8.2,-11.58,0.00039,1.53094,2.003,回踩均线承接
sh605162,2026-03-19,59.49,10.36,2.92,3.44,-9.26,-3.44,311509681.0,3.1501995981913735,-1.0752688172043112,0.3400590943432036,0.09366914025378231,0.02545,0.02052,0.0428,0.03008,0.35,0.45,1.0,37.52,74.27,69.13,49.62,15,趋势中继原型,2026-03-19,2026-03-23,回踩均线承接,2026-03-23,-2.26,2.97,-0.00476,0.01286,0.00138,0.04556,0.07393,1.28628,-4.76,-12.1,0.32942,0.86148,3.434,回踩均线承接
sh605117,2026-03-20,72.37,35.32,10.41,-4.39,-19.41,0.34,4661435675.6,2.233725961924801,9.913288024373102,8.637012843648833,0.27678716722266633,0.00835,0.01772,0.01379,0.02547,0.5,0.55,1.0,78.99,60.25,70.33,100.0,5,趋势中继原型,2026-03-20,2026-03-26,回踩均线承接,2026-03-26,0.57,0.993,0.01316,0.03623,-0.07954,-0.08193,0.03002,3.62285,-7.56,-10.91,0.39552,0.89668,1.372,回踩均线承接
sh600815,2026-03-20,65.75,10.51,7.1,10.51,-11.68,2.85,674274242.66,3.744763054599316,4.0345821325648235,7.821804195269273,-0.13668750752870423,0.02763,0.05282,0.02803,0.06337,0.55,0.6,1.0,44.14,85.33,60.1,76.17,8,趋势中继原型,2026-03-20,2026-03-24,回踩均线承接,2026-03-24,1.56,2.562,0.03926,0.08527,0.11438,0.24054,-0.02642,8.52701,-1.76,-12.85,0.44504,1.11147,3.509,回踩均线承接
sh600617,2026-03-23,76.24,27.07,10.53,17.7,-18.55,3.01,1300271505.28,3.7493540889573054,3.007518796992481,-8.880127179679747,0.08869298713514923,0.07822,0.06995,0.10448,0.10114,0.7,0.5,1.0,68.49,100.0,42.76,100.0,1,趋势中继原型,2026-03-23,2026-03-24,回踩均线承接,2026-03-24,3.16,2.505,0.00338,0.00707,0.05475,0.00496,-0.03978,0.70659,-3.42,-12.76,0.43061,0.99402,2.638,回踩均线承接
sz002733,2026-03-24,69.49,29.74,5.37,-0.38,-19.81,-8.67,1157160057.35,1.065707442447533,5.71208027788499,4.481056133128888,-0.03861190641363965,0.04677,0.03242,0.05105,0.02925,0.55,0.65,1.0,54.81,93.46,53.79,68.86,4,趋势中继原型,2026-03-24,2026-03-27,回踩均线承接,2026-03-27,1.01,0.624,0.00452,0.00053,-0.06883,-0.05496,-0.06307,0.05304,-10.07,-7.14,0.00115,1.6021,0.871,回踩均线承接
sh601908,2026-03-24,62.32,10.91,6.85,3.07,-9.48,1.58,1177116371.8899999,2.597159352988522,2.9748283752860427,3.082641691724845,-0.09877018218965411,0.02175,0.02172,0.01632,0.02593,0.55,0.55,1.0,44.43,67.61,61.32,100.0,11,趋势中继原型,2026-03-24,2026-03-25,回踩均线承接,2026-03-25,1.56,2.37,-0.00495,-0.0047,0.04386,0.11244,-0.05074,-0.47039,0.88,-9.23,0.43062,0.95622,2.241,回踩均线承接
sz000617,2026-03-24,62.05,14.22,13.84,3.13,-17.27,0.84,5652804256.289999,2.2839228845069965,5.882352941176494,4.1062787951964665,-0.103034058276813,0.0199,0.008,0.03494,0.01703,0.4,0.45,1.0,54.93,62.8,54.36,100.0,13,趋势中继原型,2026-03-24,2026-03-31,回踩均线承接,2026-03-31,-0.1,1.178,0.01272,0.02835,-0.03621,-0.04029,-0.15943,2.83462,-8.11,-12.16,0.00053,1.53147,1.237,回踩均线承接
sh603026,2026-03-24,59.19,16.25,16.75,2.59,-18.97,-1.38,1607691847.32,1.6332459415392442,3.7586024351508707,1.284871389653084,-0.09249028354399758,0.01173,0.01397,0.02501,0.02969,0.4,0.4,1.0,60.13,60.9,44.24,87.77,17,趋势中继原型,2026-03-24,2026-03-25,回踩均线承接,2026-03-25,-1.07,1.509,0.00105,0.03163,-0.03073,0.06266,0.09793,3.16253,-3.64,-6.56,0.39479,0.90582,1.92,回踩均线承接
