variant_id,period,month,top1_days,top1_picks,top1_day1_no_red_rate,top1_day2_still_loss_rate,top1_deep_pain_rate,top1_day1_green_rate,top1_day1_positive_close_rate,top1_day1_avg_mfe_pct,top1_day1_median_mfe_pct,top1_day1_avg_close_return_pct,top1_day2_avg_close_return_pct,top1_day2_median_close_return_pct,top1_hit2_rate,top1_hit3_rate,top1_hit5_rate,top1_hit7_rate,top1_hit10_rate,top3_pick_days,top3_pick_picks,top3_pick_day1_no_red_rate,top3_pick_day2_still_loss_rate,top3_pick_deep_pain_rate,top3_pick_day1_green_rate,top3_pick_day1_positive_close_rate,top3_pick_day1_avg_mfe_pct,top3_pick_day1_median_mfe_pct,top3_pick_day1_avg_close_return_pct,top3_pick_day2_avg_close_return_pct,top3_pick_day2_median_close_return_pct,top3_pick_hit2_rate,top3_pick_hit3_rate,top3_pick_hit5_rate,top3_pick_hit7_rate,top3_pick_hit10_rate,top3_any_day1_green_rate,top3_any_hit3_rate,top3_any_hit5_rate,top3_any_day2_non_loss_rate,stable_month_score,offensive_month_score
lpn_009_hybrid_anti_overfit,final_2026,2026-01,20,20,0.35,0.7,0.75,0.65,0.7,2.5703,1.9891,-0.1931,-2.1464,-1.8498,0.5,0.35,0.25,0.1,0.0,20,60,0.2333,0.6667,0.7333,0.7667,0.6833,4.0107,2.517,0.6202,-1.9371,-3.035,0.6,0.4333,0.3333,0.1833,0.0833,0.95,0.75,0.7,0.65,30.1385,26.0509
lpn_009_hybrid_anti_overfit,final_2026,2026-02,14,14,0.0,0.5,0.7143,1.0,0.5,6.4575,4.6627,1.8082,0.1275,-0.4858,0.7857,0.5,0.5,0.4286,0.2143,14,42,0.0238,0.3571,0.6429,0.9762,0.5714,5.5781,4.1738,1.6317,2.7502,3.4764,0.7857,0.619,0.4286,0.3095,0.1667,1.0,1.0,0.8571,1.0,50.7148,51.0623
lpn_009_hybrid_anti_overfit,final_2026,2026-03,22,22,0.1364,0.5,0.7727,0.8636,0.4545,4.2834,2.5854,0.2588,0.6133,-0.5017,0.5455,0.4091,0.3182,0.2273,0.1364,22,66,0.0606,0.4848,0.7424,0.9394,0.5303,4.9771,3.6898,0.9245,0.6734,0.2679,0.6515,0.5606,0.3939,0.2727,0.1364,1.0,0.8636,0.8636,0.8636,43.926,40.4463
lpn_009_hybrid_anti_overfit,final_2026,2026-04,8,8,0.125,0.375,0.75,0.875,0.5,2.9662,1.2092,-1.8473,-0.956,2.771,0.375,0.375,0.375,0.25,0.0,8,24,0.0417,0.3333,0.6667,0.9583,0.5,4.7687,5.1006,0.2778,1.3695,2.2266,0.6667,0.6667,0.5,0.3333,0.0833,1.0,1.0,0.75,0.75,44.3558,38.442
lpn_010_lowpain_heat,internal_2025,2025-10,17,17,0.0,0.4706,0.1176,1.0,0.5882,2.5742,0.9159,1.2783,0.5915,0.7614,0.3529,0.2941,0.2353,0.1765,0.0,17,51,0.0392,0.5098,0.1569,0.9608,0.6078,2.1675,1.4241,0.8054,0.3881,-0.098,0.3922,0.2157,0.1176,0.0784,0.0,1.0,0.4706,0.2941,0.8235,56.9894,43.8144
lpn_010_lowpain_heat,internal_2025,2025-11,20,20,0.05,0.35,0.3,0.95,0.7,1.7832,1.2489,0.3928,-0.29,0.7845,0.3,0.1,0.05,0.05,0.0,20,60,0.1333,0.4833,0.2833,0.8667,0.4833,1.2798,0.8317,-0.1377,-0.4246,0.0,0.15,0.0833,0.05,0.0333,0.0,0.95,0.2,0.15,0.75,52.0222,34.9618
lpn_010_lowpain_heat,internal_2025,2025-12,23,23,0.0,0.6087,0.087,1.0,0.4783,1.566,0.9804,0.1723,0.4181,-0.2591,0.1739,0.087,0.087,0.087,0.0,23,69,0.0145,0.5507,0.1884,0.9855,0.5942,1.5445,1.0836,0.1989,0.0294,-0.2591,0.2319,0.087,0.058,0.0435,0.0,1.0,0.1304,0.087,0.7826,51.6809,35.7561
lpn_010_lowpain_heat,final_2026,2026-01,20,20,0.1,0.7,0.6,0.9,0.45,2.1198,0.9959,-0.6403,-3.2571,-2.4264,0.35,0.25,0.1,0.1,0.0,20,60,0.0333,0.5333,0.4,0.9667,0.6,2.6072,1.2469,0.5508,-0.2593,-0.6279,0.4,0.3,0.15,0.1167,0.05,1.0,0.6,0.35,0.8,36.5884,26.7071
lpn_010_lowpain_heat,final_2026,2026-02,14,14,0.0,0.5714,0.2857,1.0,0.5,2.4247,2.1683,0.4341,0.6545,-0.8088,0.5714,0.2143,0.1429,0.0714,0.0,14,42,0.0476,0.5238,0.2381,0.9524,0.5238,1.8439,1.089,0.2566,0.3266,-0.4116,0.3333,0.1429,0.0952,0.0476,0.0,1.0,0.4286,0.2857,0.6429,51.0147,38.0079
lpn_010_lowpain_heat,final_2026,2026-03,22,22,0.0455,0.5455,0.3636,0.9545,0.5,1.5709,1.0212,0.0282,-0.6075,-0.6961,0.3182,0.0909,0.0455,0.0455,0.0,22,66,0.0303,0.5152,0.3939,0.9697,0.5,1.9374,1.2549,0.0543,-0.0885,-0.3065,0.4091,0.197,0.0758,0.0303,0.0,1.0,0.4545,0.1818,0.7273,46.1136,31.0984
