variant_id,period,trade_date,rank,symbol,name,final_score,model_score,entry_date,exit_date,entry_buyable,entry_gap_pct,entry_open,close_return_pct,max_runup_pct,max_drawdown_pct,hit_2pct,hit_3pct,loss_3pct,positive_close
blitz_005_raw_full,final_2026,2026-01-19,3,sz002718,sz002718,8.340676155445308,8.340676155445308,2026-01-20,2026-01-21,1,4.2895,63.7,-0.471,3.438,-5.6515,1,1,1,0
blitz_005_raw_full,final_2026,2026-01-20,1,sh600785,sh600785,8.606637067899802,8.606637067899802,2026-01-21,2026-01-22,1,1.9816,22.13,-0.1356,5.7388,-5.061,1,1,1,0
blitz_005_raw_full,final_2026,2026-01-20,2,sh601616,sh601616,8.584633939652154,8.584633939652154,2026-01-21,2026-01-22,1,2.3466,5.67,2.6455,17.9894,-0.8818,1,1,0,1
blitz_005_raw_full,final_2026,2026-01-20,3,sz002112,sz002112,8.583234315372374,8.583234315372374,2026-01-21,2026-01-22,1,-4.1485,21.95,-0.7745,2.5057,-4.3736,1,0,1,0
blitz_005_raw_full,final_2026,2026-01-21,1,sh601616,sh601616,9.171846851591418,9.171846851591418,2026-01-22,2026-01-23,1,9.3596,6.66,-12.6126,-8.7087,-14.7147,0,0,1,0
blitz_005_raw_full,final_2026,2026-01-21,2,sh603926,sh603926,9.134682120446882,9.134682120446882,2026-01-22,2026-01-23,1,-8.6369,22.32,9.0054,19.1756,8.0197,1,1,0,1
blitz_005_raw_full,final_2026,2026-01-21,3,sz002498,sz002498,8.393045195819214,8.393045195819214,2026-01-22,2026-01-23,1,-5.0967,5.4,10.0,16.6667,4.4444,1,1,0,1
blitz_005_raw_full,final_2026,2026-01-22,1,sh603608,sh603608,8.221455406394815,8.221455406394815,2026-01-23,2026-01-26,1,2.2407,12.32,-5.0325,0.0,-5.276,0,0,1,0
blitz_005_raw_full,final_2026,2026-01-22,2,sh601616,sh601616,8.126735388281011,8.126735388281011,2026-01-23,2026-01-26,1,-2.4055,5.68,-6.162,5.4577,-6.6901,1,1,1,0
blitz_005_raw_full,final_2026,2026-01-22,3,sz002716,sz002716,7.818515521230898,7.818515521230898,2026-01-23,2026-01-26,1,6.7333,16.01,12.9294,12.9294,8.8695,1,1,0,1
blitz_005_raw_full,final_2026,2026-01-23,1,sz002636,sz002636,8.202419524022133,8.202419524022133,2026-01-26,2026-01-27,1,-0.4292,25.52,4.8589,7.9154,-1.2147,1,1,0,1
blitz_005_raw_full,final_2026,2026-01-23,2,sz002201,sz002201,7.900827484051592,7.900827484051592,2026-01-26,2026-01-27,1,3.6486,15.34,-2.0209,0.9126,-4.4329,0,0,1,0
blitz_005_raw_full,final_2026,2026-01-23,3,sh603608,sh603608,7.736063719187739,7.736063719187739,2026-01-26,2026-01-27,1,-2.0903,11.71,-2.7327,0.5978,-6.9172,0,0,1,0
blitz_005_raw_full,final_2026,2026-01-26,1,sh600986,sh600986,10.015945332487986,10.015945332487986,2026-01-27,2026-01-28,1,6.9382,14.18,-11.6361,-3.385,-11.9887,0,0,1,0
blitz_005_raw_full,final_2026,2026-01-26,2,sh603078,sh603078,9.670036542132554,9.670036542132554,2026-01-27,2026-01-28,1,-0.6803,29.2,-7.5342,2.0548,-9.1438,1,0,1,0
blitz_005_raw_full,final_2026,2026-01-26,3,sh601212,sh601212,9.484964166976889,9.484964166976889,2026-01-27,2026-01-28,1,0.0,11.41,21.0342,21.0342,10.2542,1,1,0,1
blitz_005_raw_full,final_2026,2026-01-27,1,sh601212,sh601212,8.971512987109653,8.971512987109653,2026-01-28,2026-01-29,1,0.239,12.58,20.7472,20.7472,11.4467,1,1,0,1
blitz_005_raw_full,final_2026,2026-01-27,2,sz000506,sz000506,8.762153477818988,8.762153477818988,2026-01-28,2026-01-29,1,6.4489,25.09,13.6708,13.6708,1.1957,1,1,0,1
blitz_005_raw_full,final_2026,2026-01-27,3,sz001337,sz001337,8.297341355108012,8.297341355108012,2026-01-28,2026-01-29,1,5.2978,64.0,14.8906,14.9219,-1.8594,1,1,0,1
blitz_005_raw_full,final_2026,2026-01-28,1,sz002342,sz002342,9.01716765219091,9.01716765219091,2026-01-29,2026-01-30,1,2.4776,14.89,-1.276,2.1491,-8.2606,1,0,1,0
blitz_005_raw_full,final_2026,2026-01-28,2,sz002218,sz002218,8.52266067978376,8.52266067978376,2026-01-29,2026-01-30,1,-0.2899,6.88,-14.2442,-3.9244,-14.2442,0,0,1,0
blitz_005_raw_full,final_2026,2026-01-28,3,sz002995,sz002995,8.425782961120069,8.425782961120069,2026-01-29,2026-01-30,1,5.4348,30.07,14.7655,14.7655,2.7602,1,1,0,1
blitz_005_raw_full,final_2026,2026-01-29,1,sz000506,sz000506,9.035962716162732,9.035962716162732,2026-01-30,2026-02-02,1,-9.993,25.67,-10.0117,-10.0117,-10.0117,0,0,1,0
blitz_005_raw_full,final_2026,2026-01-29,2,sh600916,sh600916,8.866998611374147,8.866998611374147,2026-01-30,2026-02-02,1,-1.8519,13.25,-0.3019,-0.3019,-0.3019,0,0,0,0
blitz_005_raw_full,final_2026,2026-01-29,3,sh600759,sh600759,8.813190293043018,8.813190293043018,2026-01-30,2026-02-02,1,2.4605,5.83,-15.7804,-15.7804,-15.7804,0,0,1,0
