symbol,runup_pct,runup_start_date,runup_end_date,runup_start_price,runup_end_price,drawdown_pct,drawdown_start_date,drawdown_end_date,drawdown_start_price,drawdown_end_price,period_return_pct,amount_avg,name,strategy_candidate_count,candidate_dates,has_pullback_confirm_candidate,v1_3_trade_count,v1_3_best_return,v1_3_entry_dates,v1_4_balanced_trade_count,v1_4_balanced_best_return,v1_4_quality_trade_count,v1_4_quality_best_return,balanced_filter_reasons,nearest_date,setup_score_at_anchor,candidate_ok_at_anchor,anchor_pre20_return_pct,anchor_pre20_super_price_divergence,anchor_pre20_main_price_divergence,anchor_pre5_return_pct,anchor_pre5_super_price_divergence,anchor_total_amount,anchor_launch_start,anchor_launch_end,anchor_pullback_confirm_date,anchor_pullback_reason,anchor_launch3_return_pct,anchor_launch3_max_drawdown_pct,anchor_launch3_super_net_ratio,anchor_launch3_main_net_ratio,anchor_pullback_super_net_ratio,anchor_pullback_main_net_ratio,anchor_pullback_support_spread_avg,anchor_confirm_distribution_score,primary_miss_reason_at_anchor
sh603115,130.72,2026-03-09,2026-04-24,26.82,61.88,-16.24,2026-04-01,2026-04-13,48.35,40.5,89.29,500325022.6,海星股份,0,,False,0,,,0,,0,,,2026-03-09,19.26,False,26.25,-0.22989,-0.22798,-6.18,0.08726,309620479.0,2026-03-09,2026-03-11,2026-03-12,pullback_absorption_confirm,10.62,0.0,0.05756,0.03192,0.00741,0.06219,0.03288,36.0,setup_score<50;前20日涨幅>12
sh600488,129.35,2026-03-23,2026-04-08,3.68,8.44,-30.45,2026-04-08,2026-04-14,8.44,5.87,46.41,473031475.75,津药药业,0,,False,0,,,0,,0,,,2026-03-23,43.46,False,-6.76,0.06684,0.0257,-4.76,0.03381,61254057.12,2026-03-23,2026-03-25,,no_pullback_confirm,7.32,0.0,0.01847,0.05313,,,,,成交额<2.5亿;setup_score<50
sh603629,124.23,2026-03-09,2026-04-23,53.08,119.02,-23.25,2026-03-20,2026-03-24,71.88,55.17,69.99,2504073679.42,利通电子,0,,False,0,,,0,,0,,,2026-03-09,48.95,False,36.44,-0.3444,-0.3655,-12.8,0.11469,2530242018.3900003,2026-03-09,2026-03-11,2026-03-16,pullback_absorption_confirm,8.62,-1.26,0.05972,0.0771,0.00732,-0.01676,-0.002,43.19,setup_score<50;前20日涨幅>12
sh600683,124.22,2026-03-02,2026-04-24,6.4,14.35,-25.98,2026-03-24,2026-04-07,11.47,8.49,99.56,376822579.56,京投发展,0,,False,0,,,0,,0,,,2026-03-02,26.59,False,47.91,-0.45422,-0.46354,-6.66,0.08813,220982861.32999998,2026-03-06,2026-03-10,2026-03-11,pullback_absorption_confirm,4.14,0.0,0.0176,-0.00024,-0.01526,0.02063,-0.02074,36.93,成交额<2.5亿;setup_score<50;前20日涨幅>12
sz002297,122.5,2026-03-23,2026-04-24,10.09,22.45,-30.37,2026-03-02,2026-03-23,14.49,10.09,66.05,700273974.18,博云新材,0,,False,0,,,0,,0,,,2026-03-23,57.77,True,-13.92,0.11887,0.10159,-7.91,0.03235,290613011.9,,,,no_launch,,,,,,,,,候选通过但未找到启动3日
sz002082,122.06,2026-03-04,2026-04-07,16.32,36.24,-24.39,2026-04-07,2026-04-23,36.24,27.4,55.31,977933847.54,万邦德,0,,False,0,,,0,,0,,,2026-03-04,30.71,False,2.69,-0.01707,-0.01349,-8.15,0.05199,158675194.35000002,2026-03-05,2026-03-09,2026-03-19,pullback_absorption_confirm,11.74,0.0,0.09567,0.11595,0.02755,0.04498,0.00184,12.0,成交额<2.5亿;setup_score<50
sz002361,121.81,2026-03-24,2026-04-23,10.73,23.8,-25.64,2026-03-02,2026-03-24,14.43,10.73,56.19,3128932019.79,神剑股份,1,2026-03-18,True,0,,,0,,0,,2026-03-18:v1_3_ladder_pull_filter,2026-03-24,79.77,True,-18.84,0.1981,0.17677,-9.17,0.06496,623815626.05,2026-03-24,2026-03-26,2026-03-27,pullback_absorption_confirm,11.71,0.0,0.13814,0.13531,0.26169,0.23961,1.31472,21.76,锚点附近链路可通过
sz002432,119.36,2026-03-02,2026-04-23,43.28,94.94,-23.31,2026-04-10,2026-04-17,94.8,72.7,66.99,2712494917.8,九安医疗,0,,False,0,,,0,,0,,,2026-03-02,18.76,False,3.93,-0.04184,-0.0566,6.12,-0.04003,2443508391.8199997,2026-03-02,2026-03-04,2026-03-09,pullback_absorption_confirm,4.42,0.0,0.08174,0.04952,0.03914,0.07485,0.03007,18.33,setup_score<50;资金价格背离不足
sz002957,116.96,2026-03-23,2026-04-21,23.76,51.55,-24.98,2026-03-03,2026-03-23,31.67,23.76,61.34,941242862.1,科瑞技术,0,,False,0,,,0,,0,,,2026-03-23,52.07,True,-15.4,0.16343,0.14819,-1.19,0.00891,485251854.28000003,2026-03-26,2026-03-30,2026-03-31,pullback_absorption_confirm,6.14,0.0,-0.00387,0.01441,0.00715,0.01608,-0.08524,45.64,锚点附近链路可通过
sh601869,115.62,2026-03-09,2026-04-23,196.12,422.88,-22.92,2026-03-02,2026-03-09,254.44,196.12,51.87,5240256218.6,长飞光纤,0,,False,0,,,0,,0,,,2026-03-09,37.54,False,34.07,-0.34286,-0.37352,-12.05,0.11156,2733032113.12,2026-03-09,2026-03-11,2026-03-12,pullback_absorption_confirm,17.64,0.0,0.08321,0.05336,-0.04409,-0.04989,0.06604,65.93,setup_score<50;前20日涨幅>12
sz002990,114.55,2026-03-04,2026-04-24,25.22,54.11,-18.33,2026-04-20,2026-04-21,54.05,44.14,103.88,402661304.2,盛视科技,0,,False,0,,,0,,0,,,2026-03-04,69.5,False,-11.23,0.09288,0.10196,-9.22,0.05504,62343192.0,,,,no_launch,,,,,,,,,成交额<2.5亿
sz002328,113.62,2026-03-24,2026-04-17,6.24,13.33,-17.33,2026-04-17,2026-04-24,13.33,11.02,60.46,673768095.3,新朋股份,0,,False,0,,,0,,0,,,2026-03-24,73.08,False,-10.64,0.11359,0.11098,-5.2,0.09711,222799419.48000002,2026-03-25,2026-03-27,,no_pullback_confirm,5.77,-3.85,0.12207,0.09597,,,,,成交额<2.5亿
sh603687,113.11,2026-03-16,2026-04-17,9.76,20.8,-19.71,2026-04-17,2026-04-24,20.8,16.7,52.09,995412971.16,大胜达,0,,False,0,,,0,,0,,,2026-03-16,39.33,False,-15.43,0.11853,0.09172,-1.98,-0.05929,145306931.0,2026-03-16,2026-03-18,,no_pullback_confirm,11.27,0.0,0.03649,0.0017,,,,,成交额<2.5亿;setup_score<50
sz002428,112.97,2026-03-19,2026-04-23,38.86,82.76,-20.69,2026-03-11,2026-03-19,49.0,38.86,68.83,4435436847.11,云南锗业,0,,False,0,,,0,,0,,,2026-03-19,36.63,False,15.8,-0.1517,-0.17562,-9.79,0.06089,1359013011.98,2026-03-23,2026-03-25,2026-03-27,pullback_absorption_confirm,19.29,0.0,0.08015,0.09196,0.15505,0.11179,0.6694,12.0,setup_score<50;前20日涨幅>12
sh600666,112.64,2026-03-04,2026-04-20,3.56,7.57,-22.06,2026-04-20,2026-04-24,7.57,5.9,54.78,2483240659.07,奥瑞德,0,,False,0,,,0,,0,,,2026-03-04,34.32,False,-2.15,0.0304,-0.0011,-7.61,0.05536,394487186.4,2026-03-04,2026-03-06,,no_pullback_confirm,11.05,0.0,0.10991,0.10357,,,,,setup_score<50
sh600105,111.53,2026-03-24,2026-04-24,24.11,51.0,-23.46,2026-03-02,2026-03-24,31.5,24.11,60.37,4824155111.02,永鼎股份,1,2026-03-27,False,0,,,0,,0,,,2026-03-24,60.7,True,-8.89,0.09039,0.0783,-6.46,0.03839,2254752936.9,2026-03-26,2026-03-30,2026-04-01,pullback_absorption_confirm,9.06,0.0,0.05742,0.05229,0.1749,0.16715,-0.16151,52.0,锚点附近链路可通过
sz003036,109.02,2026-03-04,2026-04-24,16.07,33.59,-18.63,2026-03-31,2026-04-03,28.88,23.5,91.94,318153260.37,泰坦股份,0,,False,0,,,0,,0,,,2026-03-04,38.72,False,2.57,-0.00853,-0.00499,-10.5,0.06797,75161012.62,2026-03-04,2026-03-06,2026-03-25,pullback_absorption_confirm,8.61,-1.26,0.05827,0.05383,-0.00836,0.01386,-0.06079,22.0,成交额<2.5亿;setup_score<50
sh605299,106.55,2026-03-04,2026-04-08,11.61,23.98,-26.81,2026-04-08,2026-04-14,23.98,17.55,72.83,673781758.51,舒华体育,0,,False,0,,,0,,0,,,2026-03-04,0.09,False,7.34,-0.0973,-0.11064,-5.66,0.02668,80759575.0,,,,no_launch,,,,,,,,,成交额<2.5亿;setup_score<50
sh603773,104.84,2026-04-07,2026-04-23,32.22,66.0,-28.53,2026-03-17,2026-04-07,45.08,32.22,46.7,708861023.05,沃格光电,0,,False,0,,,0,,0,,,2026-04-07,41.94,False,-11.25,0.11536,0.09912,-0.15,-0.01854,265543063.59,2026-04-07,2026-04-09,,no_pullback_confirm,19.21,0.0,0.12086,0.12448,,,,,setup_score<50
sz002528,103.24,2026-03-04,2026-04-20,2.78,5.65,-19.27,2026-03-13,2026-03-23,3.84,3.1,80.57,139117236.06,ST英飞拓,0,,False,0,,,0,,0,,,2026-03-04,7.58,False,20.58,-0.19408,-0.15421,0.34,-0.00771,98615333.91,2026-03-04,2026-03-06,,no_pullback_confirm,5.98,0.0,-0.00187,0.05444,,,,,成交额<2.5亿;setup_score<50;前20日涨幅>12;资金价格背离不足
