symbol,signal_date,score,pre20_return_pct,pre10_return_pct,pre5_return_pct,drawdown_from_20d_high_pct,close_vs_20d_high_pct,amount,amount_anomaly_20d,signal_return_1d_pct,active_buy_strength,support_pressure_spread,pre20_super_net_ratio,pre20_main_net_ratio,pre10_super_net_ratio,pre10_main_net_ratio,pre20_super_positive_day_ratio,pre20_main_positive_day_ratio,pre5_order_available_ratio,trend_score,fund_score,repair_score,liquidity_score,rank,strategy_name,entry_signal_date,entry_date,gross_entry_price,exit_signal_date,exit_date,gross_exit_price,return_pct,net_return_pct,max_runup_pct,max_drawdown_pct,holding_days,exit_reason,final_cum_super_amount,final_cum_main_amount,final_cum_super_ratio,final_cum_main_ratio,final_super_peak_drawdown_pct,final_super_decline_streak,rule,future_days_available,is_mature_trade
sz002531,2026-03-04,72.93,39.84,7.95,5.2,-13.41,-3.45,517803353.48,0.8387029377329727,0.4844961240309864,7.782845929667509,-0.1193311208873555,0.05253,0.04363,0.05124,0.03896,0.8,0.65,0.4,79.9,100.0,45.45,26.01,1,趋势中继原型,2026-03-04,2026-03-05,10.62,2026-03-20,2026-03-23,11.07,4.24,3.72,26.18,-4.9,12,cum_super_peak_dd_20pct_3d,195974241.3,155698872.28,0.01635,0.01299,42.45,3,no_early,34,True
sh600236,2026-03-04,72.69,20.98,15.05,16.96,-20.06,3.63,436361274.94000006,3.153457015685979,10.040567951318469,10.48925706945318,0.2076912652307686,0.01966,0.04153,0.02408,0.0321,0.6,0.65,0.4,64.7,86.16,69.0,58.76,2,趋势中继原型,2026-03-04,2026-03-05,11.08,2026-03-11,2026-03-12,9.99,-9.84,-10.29,7.76,-11.55,5,hard_stop_8pct,28426762.56,-169012559.92,0.00977,-0.05809,7.6,1,no_early,34,True
sh600681,2026-03-04,72.53,12.0,12.8,12.0,-15.34,-1.47,773000677.0000001,4.06588080097584,-1.470588235294101,5.774269752677078,0.1663174572355512,0.06127,0.0276,0.10322,0.0747,0.7,0.65,0.4,51.14,100.0,55.37,83.39,3,趋势中继原型,2026-03-04,2026-03-05,4.53,2026-03-25,2026-03-26,4.75,4.86,4.33,12.58,-6.4,15,cum_super_peak_dd_20pct_3d,-146995767.8,-187007772.78,-0.02542,-0.03234,556.4,3,no_early,34,True
sz000070,2026-03-04,69.28,55.52,4.12,1.76,-18.96,-4.67,2191677022.1099997,1.1904506037355582,4.062838569880833,1.682324779976149,0.0242762056604379,0.03907,0.01597,0.01173,-0.01986,0.5,0.5,0.4,80.82,66.21,58.24,73.02,4,趋势中继原型,2026-03-04,2026-03-05,19.65,2026-03-05,2026-03-06,17.55,-10.69,-11.13,1.02,-11.45,1,hard_stop_8pct,-83969237.4,-291614879.62,-0.03346,-0.11621,0.0,0,no_early,34,True
sz002536,2026-03-04,68.3,15.27,19.33,14.57,-20.01,-1.29,2418326785.11,1.6411364683630152,2.9824561403508643,4.215043221107251,0.0392556216945185,0.03225,0.04404,0.04872,0.05861,0.45,0.45,0.4,61.18,78.57,54.57,88.04,5,趋势中继原型,2026-03-04,2026-03-05,35.6,2026-03-13,2026-03-16,36.78,3.31,2.8,17.05,-7.81,7,cum_super_peak_dd_20pct_3d,144876247.22,-340724535.42,0.00929,-0.02186,56.33,3,no_early,34,True
sz002267,2026-03-04,66.8,13.14,14.58,15.31,-15.49,-3.98,664357071.16,4.183501140110499,-3.9823008849557473,6.930753019547641,0.0403071285043203,0.04576,0.03521,0.07636,0.07533,0.6,0.45,0.4,50.48,91.43,48.45,75.44,6,趋势中继原型,2026-03-04,2026-03-05,8.59,2026-03-17,2026-03-18,7.98,-7.1,-7.56,2.68,-8.38,9,cum_super_peak_dd_20pct_3d,-27965795.45,-121230286.87,-0.01253,-0.05432,1285.33,3,no_early,34,True
sz002380,2026-03-04,65.0,13.43,10.84,6.86,-16.12,-5.09,378584406.07,1.7275627747424471,0.589101620029453,0.7501097257225489,-0.0233821751452785,0.023,0.0356,0.04089,0.06876,0.55,0.75,0.4,45.44,100.0,47.27,45.45,7,趋势中继原型,2026-03-04,2026-03-05,35.5,2026-03-13,2026-03-16,37.5,5.63,5.11,21.13,-3.38,7,cum_super_peak_dd_20pct_3d,37678718.78,43124340.21,0.0076,0.00869,66.18,3,no_early,34,True
sz002162,2026-03-04,63.26,13.79,0.36,4.93,-10.65,4.47,513389807.4999999,2.18898990727848,9.945750452079572,18.739917040522876,1.3313820629171729,0.01737,0.01212,0.02086,0.01658,0.6,0.45,0.4,42.34,62.94,88.36,64.39,8,趋势中继原型,2026-03-04,2026-03-05,6.41,2026-03-06,2026-03-09,5.72,-10.76,-11.21,0.62,-9.2,2,hard_stop_8pct,-34408417.5,-122511821.3,-0.02904,-0.10339,0.0,1,no_early,34,True
sh600330,2026-03-04,63.15,42.12,4.54,3.04,-13.16,-8.32,2579464564.9799995,0.9942589490505784,-2.952646239554302,2.8309483100251853,-0.0258090594357579,0.03141,0.01758,0.0305,0.01335,0.55,0.5,0.4,70.65,68.76,44.98,66.48,9,趋势中继原型,2026-03-04,2026-03-05,17.81,2026-03-06,2026-03-09,15.7,-11.85,-12.29,0.95,-9.6,2,hard_stop_8pct,-281640420.89,-510593165.01,-0.05604,-0.1016,0.0,1,no_early,34,True
sz002041,2026-03-04,62.41,13.64,10.05,6.48,-16.34,0.57,1239553461.66,2.0602566776826583,7.043478260869573,0.1026611372046772,-0.0219149701729046,0.02544,0.01583,-0.00052,-0.0019,0.55,0.45,0.4,50.8,62.0,61.87,100.0,10,趋势中继原型,2026-03-04,2026-03-05,11.59,2026-03-23,2026-03-24,10.5,-9.4,-9.86,8.71,-12.25,13,hard_stop_8pct,-47798469.71,-297612469.52,-0.00686,-0.04273,0.0,1,no_early,34,True
