signal_date,symbol,entry_date,exit_signal_date,net_return_pct,exit_reason,cum_l2_super_net_ratio_entry_to_exit_signal,cum_l2_main_net_ratio_entry_to_exit_signal,cum_l2_super_net_entry_to_exit_signal,cum_l2_main_net_entry_to_exit_signal,neg_super_day_ratio,neg_main_day_ratio,holding_observed_days
2026-03-26,sh603115,2026-03-30,2026-04-03,-1.72,distribution_confirmed_2d,-0.0253,-0.0515,-83773373.9,-170512814.69,0.8,0.8,5
2026-03-26,sz000037,2026-04-01,2026-04-02,-16.41,stop_loss_8pct,-0.05007,-0.10089,-80489678.89,-162186944.67,1.0,1.0,2
2026-03-26,sh603601,2026-03-31,2026-04-10,-9.76,stop_loss_8pct,-0.02779,-0.04512,-904400164.97,-1468418998.44,0.875,1.0,8
2026-03-26,sh603026,2026-03-30,2026-03-31,-8.05,stop_loss_8pct,-0.05502,-0.09231,-262947294.78,-441124276.52,1.0,1.0,2
2026-03-26,sh603016,2026-03-31,2026-04-02,10.3,panic_distribution,-0.03527,-0.052,-57954221.0,-85442108.0,1.0,1.0,3
2026-03-27,sh600513,2026-04-02,2026-04-03,-10.9,panic_distribution,-0.05772,-0.07623,-157541976.31,-208080546.92,1.0,1.0,2
2026-03-27,sz002263,2026-04-01,2026-04-17,15.11,distribution_confirmed_2d,0.00858,-0.01425,211710434.61,-351519133.5,0.7273,0.7273,11
2026-03-27,sz000720,2026-04-01,2026-04-09,9.08,panic_distribution,0.01155,-0.04919,106958500.46,-455423630.45,0.6667,0.6667,6
2026-03-27,sz002294,2026-04-02,2026-04-17,-10.96,stop_loss_8pct,-0.01342,-0.04238,-112871073.07,-356354497.46,0.9,0.8,10
2026-03-27,sh603272,2026-03-31,2026-03-31,-7.83,stop_loss_8pct,-0.11013,-0.11196,-49206537.0,-50024458.78,1.0,1.0,1
2026-03-27,sh600110,2026-04-08,2026-04-24,-0.7,window_end,-0.02597,-0.05226,-676484437.46,-1361230169.28,0.6364,0.8182,11
2026-03-27,sh605299,2026-04-01,2026-04-10,-11.05,stop_loss_8pct,-0.00161,-0.03524,-13919667.84,-305496393.51,0.5714,0.5714,7
2026-03-30,sh600488,2026-04-01,2026-04-09,15.42,distribution_confirmed_2d,-0.03484,-0.09876,-198850496.41,-563628032.81,0.5,0.5,6
2026-03-30,sz002361,2026-04-01,2026-04-07,-9.75,stop_loss_8pct,-0.01161,-0.04566,-248450100.67,-977152314.32,0.5,1.0,4
2026-03-30,sz002705,2026-04-02,2026-04-24,23.96,window_end,0.0204,0.02796,151213850.35,207277004.1,0.5,0.5,14
2026-03-30,sh603937,2026-04-02,2026-04-14,-6.82,panic_distribution,0.01309,-0.0078,18003349.0,-10728700.24,0.375,0.75,8
2026-03-30,sh600513,2026-04-02,2026-04-03,-10.9,panic_distribution,-0.05772,-0.07623,-157541976.31,-208080546.92,1.0,1.0,2
2026-03-31,sh603826,2026-04-09,2026-04-17,26.72,panic_distribution,-0.01662,-0.01649,-50932806.45,-50545327.02,0.5,0.5,6
2026-03-31,sz002263,2026-04-03,2026-04-17,7.32,distribution_confirmed_2d,-0.01013,-0.03025,-205322561.0,-613325849.68,0.7778,0.7778,9
2026-03-31,sh605299,2026-04-03,2026-04-10,-12.61,stop_loss_8pct,-0.00036,-0.03747,-2162354.5,-222601177.43,0.6,0.6,5
2026-03-31,sh605162,2026-04-02,2026-04-17,-5.33,panic_distribution,0.01238,-0.01105,77712345.02,-69356939.82,0.6,0.6,10
2026-03-31,sh600250,2026-04-08,2026-04-10,-8.47,distribution_confirmed_2d,-0.02931,-0.09642,-49197816.8,-161823830.07,1.0,1.0,3
2026-03-31,sz002361,2026-04-09,2026-04-24,27.25,window_end,0.03524,0.00707,2060798916.37,413779104.03,0.2,0.6,10
2026-03-31,sz002821,2026-04-02,2026-04-03,-1.65,panic_distribution,-0.02182,-0.11093,-138626930.24,-704800934.75,1.0,1.0,2
