rule,count,win_rate,avg_return,median_return,max_return,min_return,score
pull_to_entry_add_sell_ratio <= 1.26733,41,56.1,3.04,2.82,59.71,-18.38,7.916
pull_to_entry_buy_support_avg <= 1.38542,41,56.1,2.98,2.82,45.49,-11.9,7.904
discover_to_entry_super_positive_day_ratio <= 0.6,54,61.11,3.16,2.37,59.71,-18.38,7.8908000000000005
hold_add_sell_ratio <= 1.47169,65,55.38,3.16,2.82,59.71,-18.38,7.8824000000000005
discover_to_entry_sell_pressure_avg <= 1.42543,53,54.72,3.36,2.82,45.49,-18.38,7.869599999999999
launch_to_entry_max_daily_main_outflow_ratio <= -0.036009,53,56.6,4.1,2.52,59.71,-18.38,7.868
launch_to_entry_sell_pressure_avg <= 1.42724,53,54.72,3.16,2.82,45.49,-18.38,7.829599999999999
launch_to_entry_active_buy_strength_avg <= 3.09795,41,58.54,3.11,2.52,45.49,-11.36,7.825200000000001
launch_to_entry_cvd_ratio <= 0.03083,65,58.46,3.11,2.52,59.71,-18.38,7.8187999999999995
launch_to_entry_cvd_ratio <= -0.009055,41,56.1,2.52,2.82,30.9,-18.38,7.811999999999999
launch_to_entry_oib_ratio >= -0.05982,67,58.21,3.09,2.52,59.71,-18.38,7.7948
launch_to_entry_add_buy_ratio <= 1.4304,53,56.6,2.23,2.82,45.49,-11.9,7.7940000000000005
discover_to_entry_active_buy_strength_avg <= 3.41257,53,56.6,3.69,2.52,59.71,-14.52,7.786
discover_to_entry_amount_anomaly_avg <= 1.07027,53,60.38,3.54,2.22,59.71,-14.52,7.7584
pull_to_entry_super_net_ratio >= 0.02633,41,53.66,4.67,2.52,59.71,-18.38,7.7467999999999995
pull_to_entry_max_daily_super_outflow_ratio >= 0.02633,41,53.66,4.67,2.52,59.71,-18.38,7.7467999999999995
pull_to_entry_super_price_divergence >= 0.02633,41,53.66,4.67,2.52,59.71,-18.38,7.7467999999999995
discover_to_entry_amount_sum <= 1.08757e+10,41,58.54,4.12,2.22,59.71,-11.9,7.7272
pullback_depth_from_launch_peak_pct <= -6.15,41,58.54,1.06,2.82,45.49,-18.38,7.715199999999999
hold_oib_ratio >= -0.050748,53,54.72,4.05,2.52,59.71,-14.52,7.707600000000001
pull_to_entry_positive_l2_bar_ratio_avg <= 0.64945,41,53.66,1.94,2.99,45.49,-14.24,7.6708
hold_order_event_count_sum >= 399007,66,59.09,2.85,2.37,59.71,-18.38,7.667200000000001
hold_amount_anomaly_avg >= 0.94566,53,54.72,3.84,2.52,59.71,-18.38,7.6656
launch_to_entry_support_spread_avg <= 0.00355,44,61.36,1.89,2.37,45.49,-11.9,7.6568000000000005
