feature,importance
close_book_depth_ratio,0.0033925038152994866
amount_ratio_20d,0.0033723502026209947
hot_theme_l2_main_net_yi,0.0033094509037637945
sh_index_return_5d_pct,0.003218145908780042
market_amount_ratio_20d,0.003155957543566967
hs300_dist_ma20_pct,0.0030779504173152703
gem_index_return_5d_pct,0.002931386197644962
csi1000_return_5d_pct,0.002856008525282205
hot_theme_member_count,0.002698482766534187
close_bid_ask_resting_spread_yi,0.0026225193142167553
trade_count_signed_log,0.002540716637177799
hs300_return_5d_pct,0.0024871055004508477
trade_count_ratio_20d,0.0024785700723950884
csi500_return_5d_pct,0.0024104452926485415
csi1000_return_1d_pct,0.002129891026359328
gem_index_return_1d_pct,0.0020576225785718335
close_book_imbalance_ratio,0.0019381416586914887
l1_main_net_yi_signed_log,0.0019205589866118729
l1_super_net_yi_signed_log,0.001871296055654603
oib_ratio,0.0018385184777739243
support_pressure_spread,0.001816433627516566
oib_delta_yi_signed_log,0.0018125805306514224
oib_delta_yi,0.0017252162288252566
l2_main_net_yi,0.0016693715890169771
open_60m_oib_ratio,0.0015815622959668473
cvd_ratio,0.0015617620106082883
bid_dominant_bar_ratio,0.0015298719247532123
sh_index_above_ma20,0.0015297858216349789
avg_book_depth_ratio,0.0015128904184459843
avg_book_imbalance_ratio,0.001443630543940452
l2_super_net_yi_signed_log,0.0014104281059183243
csi500_return_1d_pct,0.001370319642245667
cvd_delta_yi,0.0013502134778651624
sh_index_return_1d_pct,0.001343076039937949
cvd_delta_yi_signed_log,0.001315919124613177
last_30m_oib_ratio,0.001270314534162253
oib_top3_concentration_ratio,0.001256702924105572
l1_super_net_yi,0.001218000959895485
csi500_above_ma20,0.0012174825827875521
l1_main_net_ratio,0.0011872472600573923
hs300_return_1d_pct,0.001144246223628305
l1_main_net_yi,0.0011320217999649127
ask_dominant_bar_ratio,0.0011101776661551197
last_30m_l2_main_net_ratio,0.0011041376496342228
active_buy_strength,0.001037786793713524
open_60m_cvd_ratio,0.0010199411716627063
close_bid_ask_amount_ratio,0.0010106921848268985
l1_super_net_ratio,0.0009532227103779145
positive_cvd_bar_ratio,0.0008901729336410781
l2_super_net_ratio,0.0008587199125853838
positive_oib_bar_ratio,0.0008295095936073084
open_30m_l2_main_net_ratio,0.0008239156538983785
gem_index_above_ma20,0.000823811034076042
l2_super_net_yi,0.0008067289903632869
limit_up_first_touch_early_score,0.0007762882267494948
touch_limit_up,0.0007761935763824173
am_l2_main_net_ratio,0.0007460939315728339
market_advancer_ratio,0.0007182970628346629
l2_main_net_yi_signed_log,0.0007070567203965322
market_median_return_pct,0.0006850104801820459
last_30m_cvd_ratio,0.0006580592030538298
l2_main_net_ratio,0.0006336321543659831
market_broken_limit_up_ratio,0.0006279269911036144
hs300_above_ma20,0.0005984546678055077
positive_l2_bar_ratio,0.0005134244337377004
pm_l2_main_net_ratio,0.0003709064761983723
is_limit_down_close,0.0003240646027534535
first_touch_limit_up_min,0.0003114519763450614
limit_up_touch_span_min,0.00028844334753714055
thin_book_bar_ratio,0.00023989464855326176
positive_oib_streak_max,0.0001869201961383783
hot_theme_is_continuing_hot,0.0001595784441447903
csi1000_above_ma20,0.00015248521602060136
hot_theme_is_fading,0.0001366436026443237
last_touch_limit_up_min,0.00010879317933869884
is_limit_up_close,6.563408303138883e-05
hot_theme_is_top10,0.0
market_cap_signed_log,0.0
hot_theme_is_new_hot,0.0
touch_limit_down,0.0
broken_limit_down,0.0
broken_limit_up,0.0
hot_theme_is_climax_hot,0.0
